"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does a two-way table summarize?","two numerical variables in one display","two categorical variables in one display","one categorical variable in one display","one numerical variable in one display",20,2,,,,,,,,,,,,,,,,,,
2,"What can appear in the cells of a two-way table?","only counts for each category","only percents for each group","counts or relative frequencies","counts or summary statistics",20,3,,,,,,,,,,,,,,,,,,
3,"What is a joint relative frequency?","a cell count divided by the table total","a cell count divided by its row total","a cell count divided by its column total","a row total divided by the table total",20,1,,,,,,,,,,,,,,,,,,
4,"Why use percents within each group before graphing?","to hide the original sample sizes","to change categories into numbers","to force each graph to look equal","to compare groups with different sizes",20,4,,,,,,,,,,,,,,,,,,
5,"How are categories shown in a side-by-side bar graph?","as one bar split into sections","as separate bars placed side by side","as bar widths based on group size","as cell shares of the whole table",20,2,,,,,,,,,,,,,,,,,,
6,"How is a segmented bar graph built from side-by-side bars?","by widening bars to match totals","by replacing percents with counts","by stacking each group's bars to 100%","by drawing one bar for each cell",20,3,,,,,,,,,,,,,,,,,,
7,"What does a mosaic plot add beyond a segmented bar graph?","it shows group size through bar width","it shows group size through bar height","it shows the whole table as one bar","it shows only counts with no percents",20,1,,,,,,,,,,,,,,,,,,
8,"In a mosaic plot what determines bar width?","the percent in the tallest section","the size of that group overall","the number of levels displayed","the order of the categories used",20,2,,,,,,,,,,,,,,,,,,
9,"How do graphs suggest an association?","the bars all reach the same count","the widths all look nearly equal","the table has totals on each side","the group distributions look different",20,4,,,,,,,,,,,,,,,,,,
10,"If the distributions match across groups what is suggested?","a strong association is present","the sample sizes were too small","little or no association is shown","a numerical pattern was hidden",20,3,,,,,,,,,,,,,,,,,,
11,"Which display best keeps percents and also shows group size?","a mosaic plot display","a segmented bar display","a side-by-side display","a two-way table display",20,1,,,,,,,,,,,,,,,,,,
12,"Which mistake confuses joint relative frequency?","using counts instead of labels","dividing by a row or column total","stacking bars to reach 100%","placing categories side by side",20,2,,,,,,,,,,,,,,,,,,
13,"In a segmented bar graph each full bar should represent","the total count for one category","the total width for one group","the joint share of the whole table","the full distribution for one group",20,4,,,,,,,,,,,,,,,,,,
14,"What should be found before drawing a segmented bar graph?","percents within each group","counts for the entire table","one average for each group","one total for the tallest bar",20,1,,,,,,,,,,,,,,,,,,
15,"Why can raw counts be misleading across groups?","they remove the link between variables","they ignore differences in group size","they always create equal bar widths","they force every category to 100%",20,2,,,,,,,,,,,,,,,,,,
16,"Which pair can be displayed in a two-way table?","a variable and one average","a variable and one spread","two categorical variables","two numerical variables",20,3,,,,,,,,,,,,,,,,,,
17,"In these displays one categorical variable is often","broken down by levels of another","replaced by the table total","converted into a numerical score","hidden to reduce the graph width",20,1,,,,,,,,,,,,,,,,,,
18,"What does association mean for two categorical variables?","each category has the same total","one variable causes the other","the bars all have equal width","one variable helps predict the other",20,4,,,,,,,,,,,,,,,,,,
19,"Which display can be made from relative frequencies alone?","only a two-way table display","any of the three bar displays","only a mosaic plot display","only a side-by-side display",20,2,,,,,,,,,,,,,,,,,,
20,"Why do mosaic plot widths differ from one group to another?","they track the tallest segment","they mark the graph scale used","they reflect different group sizes","they show which group came first",20,3,,,,,,,,,,,,,,,,,,
21,"When checking for association what should be compared?","the distributions across the groups","the widths across the categories","the totals across the displays","the labels across the variables",20,1,,,,,,,,,,,,,,,,,,
22,"What pattern would suggest no association?","segments differ sharply by group","one group has much greater width","the table has large total counts","segments look similar across groups",20,4,,,,,,,,,,,,,,,,,,
23,"Which graph makes each group one bar totaling 100 percent?","a side-by-side bar graph","a segmented bar graph","a mosaic plot graph","a one-way bar graph",20,2,,,,,,,,,,,,,,,,,,
24,"Why is a two-way table called a contingency table?","it displays only conditional percents","it shows one variable at a time","it cross-classifies two variables","it orders values from low to high",20,3,,,,,,,,,,,,,,,,,,
25,"Which denominator is used for a joint relative frequency?","the total of the entire table","the total of that cell row","the total of that cell column","the total of the largest group",20,1,,,,,,,,,,,,,,,,,,
26,"When finding percents within groups you divide by","the grand total for the table","the count from the chosen cell","the height of the tallest bar","the total for that group only",20,4,,,,,,,,,,,,,,,,,,
27,"Which graph comes directly from stacking group bars together?","a two-way table display","a mosaic plot display","a side-by-side display","a segmented bar display",20,4,,,,,,,,,,,,,,,,,,
28,"If knowing a person's group changes the likely category then","the graph must use raw counts","the variables are numerical","the variables are associated","the bar widths must be equal",20,3,,,,,,,,,,,,,,,,,,
