"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Which statement correctly defines a Type I error?","A Type I error occurs when the null hypothesis is false and the test fails to reject it.","A Type I error occurs when the null hypothesis is true and the test rejects it.","A Type I error occurs when the alternative hypothesis is true and the test rejects the null correctly.","A Type I error occurs when the p-value is greater than alpha and the sample size is small.",20,2,,,,,,,,,,,,,,,,,,
2,"Which statement correctly defines a Type II error?","A Type II error occurs when the null hypothesis is true and the test rejects it.","A Type II error occurs when the null hypothesis is true and the test correctly fails to reject it.","A Type II error occurs when the alternative hypothesis is false and the test rejects the null.","A Type II error occurs when the null hypothesis is false and the test fails to reject it.",20,4,,,,,,,,,,,,,,,,,,
3,"In significance testing, what is a false positive?","A false positive is a Type I error because the test claims evidence for the alternative when the null is actually true.","A false positive is a Type II error because the test misses a real effect.","A false positive is a correct decision because the test rejected a false null hypothesis.","A false positive is the same thing as choosing a large significance level.",20,1,,,,,,,,,,,,,,,,,,
4,"In significance testing, what is a false negative?","A false negative is a Type I error because the test rejects a true null hypothesis.","A false negative is a correct decision because the test fails to reject a true null hypothesis.","A false negative is a Type II error because the test misses a real alternative hypothesis.","A false negative is the same thing as using a p-value equal to alpha.",20,3,,,,,,,,,,,,,,,,,,
5,"If the p-value is less than or equal to alpha, what is the correct conclusion?","The correct conclusion is to fail to reject the null hypothesis because the result could happen by chance.","The correct conclusion is to accept the null hypothesis because the p-value is small.","The correct conclusion is to say both the null and alternative hypotheses are supported equally.","The correct conclusion is to reject the null hypothesis and say there is convincing statistical evidence for the alternative hypothesis.",20,4,,,,,,,,,,,,,,,,,,
6,"If the p-value is greater than alpha, what is the correct conclusion?","The correct conclusion is to fail to reject the null hypothesis because there is not convincing statistical evidence for the alternative hypothesis.","The correct conclusion is to reject the null hypothesis because a large p-value shows the alternative is likely.","The correct conclusion is to accept the null hypothesis because the data proved it to be true.","The correct conclusion is to reject the alternative hypothesis because the sample was not extreme enough.",20,1,,,,,,,,,,,,,,,,,,
7,"Which outcome occurs when the null hypothesis is true and the test fails to reject it?","This outcome is a Type I error because the test should have rejected the null hypothesis.","This outcome is a correct decision because the test did not reject a null hypothesis that was actually true.","This outcome is a Type II error because the alternative hypothesis must be true.","This outcome is power because the test avoided a false positive.",20,2,,,,,,,,,,,,,,,,,,
8,"Which outcome occurs when the alternative hypothesis is true and the test rejects the null hypothesis?","This outcome is a Type I error because the test rejected the null hypothesis.","This outcome is a Type II error because the test made a decision under uncertainty.","This outcome is a correct decision because the test rejected a false null hypothesis.","This outcome is impossible because the true state of nature can never match the decision.",20,3,,,,,,,,,,,,,,,,,,
9,"How should a Type I error be interpreted in context?","A Type I error means we found convincing evidence for the alternative claim in context even though that claim is not actually true.","A Type I error means we proved the null hypothesis is true in the context of the study.","A Type I error means we found the sample statistic exactly equal to the null value in context.","A Type I error means we should describe the result only with symbols and not with the study wording.",20,1,,,,,,,,,,,,,,,,,,
10,"Which hypotheses match the green-cup lemonade study?","The hypotheses are H0: p > 0.50 and Ha: p = 0.50, where p is the proportion of all students who would choose the green cup.","The hypotheses are H0: p = 0.64 and Ha: p = 0.45, where p is the power of the test.","The hypotheses are H0: p = 0.50 and Ha: p is not equal to 0.50, where p is the proportion of all students who would choose the white cup.","The hypotheses are H0: p = 0.50 and Ha: p > 0.50, where p is the proportion of all students who would choose the green cup.",20,4,,,,,,,,,,,,,,,,,,
