"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Which situation calls for a 2-sample t-interval?","Estimating one population mean with one sample","Estimating a difference between two population means","Testing one population proportion with a null value","Estimating a difference between two proportions",20,2,,,,,,,,,,,,,,,,,,
2,"Why is it called a 2-sample procedure?","It uses two statistics from one matched sample","It combines two variables for each individual","It turns two means into a single proportion","It compares two groups of quantitative responses",20,4,,,,,,,,,,,,,,,,,,
3,"Why do we use a t-distribution here instead of a normal model?","Population SDs are unknown so sample SDs are used","A t-model is required whenever there are two groups","A normal model is only for one-sample procedures","A t-model is used only when sample means are equal",20,1,,,,,,,,,,,,,,,,,,
4,"What must be checked before building this interval?","That the interval will be centered at zero","That the sample means are already far apart","That 2-sample t conditions are reasonable","That the p-value is below the confidence level",20,3,,,,,,,,,,,,,,,,,,
5,"In a randomized experiment with two groups what supports independence?","The boxplots look similar for both groups","Random assignment was used for the two groups","The two groups have the same sample size","The sample means are close to each other",20,2,,,,,,,,,,,,,,,,,,
6,"When sampling without replacement how is the 10% condition checked?","Compare the combined sample to one population","Check only the group with the larger sample","Use the total sample size for both groups","Check each sample against its own population",20,4,,,,,,,,,,,,,,,,,,
7,"Why can sample sizes of 18 and 18 not be treated as one sample of 36?","Each sample must satisfy conditions on its own","Confidence intervals require unequal sample sizes","The procedure works only when totals exceed 50","Combining them would force the same mean value",20,1,,,,,,,,,,,,,,,,,,
8,"If both samples are larger than 30 what is the main benefit?","It guarantees the two population means are equal","It makes the 10% condition irrelevant to the study","It reduces concern about sample shape checks","It turns the design into a paired comparison",20,3,,,,,,,,,,,,,,,,,,
9,"If both samples are small what should be examined in each distribution?","Whether the two sample means are almost equal","Whether there is extreme skewness or outliers","Whether the two standard deviations are identical","Whether each graph is perfectly bell shaped",20,2,,,,,,,,,,,,,,,,,,
10,"Why do outliers matter for a 2-sample t-interval with small samples?","They can weaken the normality condition","They prove the groups are not independent","They replace the need for a 10% check","They force the confidence level to be lower",20,1,,,,,,,,,,,,,,,,,,
