"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What do expected counts represent in a chi-square test?","Counts created by matching every row total","Counts predicted if the null model is true","Counts observed after rounding each cell","Counts used only when the p-value is small",20,2,,,,,,,,,,,,,,,,,,
2,"In a chi-square test for independence what does the null say?","The variables have different means in the population","The variables were measured in separate samples","The variables have matching category totals overall","The variables are independent in the population",20,4,,,,,,,,,,,,,,,,,,
3,"In a chi-square test for homogeneity what does the alternative say?","The distributions differ across the populations","The distributions match across the populations","The variables are independent within one sample","The variables share one mean across groups",20,1,,,,,,,,,,,,,,,,,,
4,"For a chi-square test the p-value is the probability of getting","a smaller statistic if the alternative is true","the same statistic if the sample size doubles","that statistic or larger if the null is true","any statistic if the expected counts are equal",20,3,,,,,,,,,,,,,,,,,,
5,"How are degrees of freedom found for homogeneity or independence?","Add rows minus 1 to columns minus 1","Multiply rows minus 1 by columns minus 1","Add rows and columns and subtract 2","Multiply rows by columns and subtract 1",20,2,,,,,,,,,,,,,,,,,,
6,"When finding degrees of freedom in a two-way table what is excluded?","The first row and the first column","The smallest row and the smallest column","The largest row and the largest column","The total row and the total column",20,4,,,,,,,,,,,,,,,,,,
7,"Why can degrees of freedom be smaller than the number of cells?","Some expected counts are fixed once others are known","Some observed counts are dropped after rounding","Some row totals are ignored when p is large","Some column totals are hidden in Table C",20,1,,,,,,,,,,,,,,,,,,
8,"What does Table C usually provide for a chi-square test?","An exact statistic based on every cell","An exact alpha level for the procedure","A range of p-values around the statistic","A range of sample sizes for the table",20,3,,,,,,,,,,,,,,,,,,
9,"Why might a calculator be preferred over Table C for the p-value?","It avoids checking the conditions before testing","It gives the exact p-value instead of a range","It changes the degrees of freedom automatically","It removes the need to state the hypotheses",20,2,,,,,,,,,,,,,,,,,,
10,"In chi-squared CDF on a calculator what is the lower bound?","The observed chi-square statistic","The chosen significance level","The smallest expected count","The table degrees of freedom",20,1,,,,,,,,,,,,,,,,,,
11,"In chi-squared CDF on a calculator why is the upper bound very large?","It forces the degrees of freedom to stay fixed","It makes the expected counts easier to read","It rounds the statistic to the nearest tenth","It captures the entire right-tail area",20,4,,,,,,,,,,,,,,,,,,
12,"Which statement best matches a correct p-value interpretation?","Assuming the null is true there is a p chance the null itself is false","Assuming the null is true there is a p chance the sample itself was biased","Assuming the null is true there is a p chance of a statistic this large or larger","Assuming the null is true there is a p chance the alternative itself is true",20,3,,,,,,,,,,,,,,,,,,
13,"What is wrong with saying p is the probability that the null is true?","It treats p as a condition check instead of a result","It treats p as a hypothesis probability instead of a tail area","It treats p as a degrees of freedom count instead of a result","It treats p as an expected count instead of an observed count",20,2,,,,,,,,,,,,,,,,,,
14,"If p-value <= alpha what is the correct decision?","Accept the null and stop the procedure","Fail to reject and restate the null","Reject the null and support the null","Reject the null and support the alternative",20,4,,,,,,,,,,,,,,,,,,
15,"If p-value > alpha what does the conclusion say?","Fail to reject and lack convincing evidence","Reject and claim the effect must be real","Reject and claim the null was impossible","Accept and claim the null was proven",20,1,,,,,,,,,,,,,,,,,,
16,"If a problem gives no significance level what is usually used?","alpha equals 0.10 by default","alpha equals 0.05 by default","alpha equals 0.01 by default","alpha equals 0.50 by default",20,2,,,,,,,,,,,,,,,,,,
17,"In a full chi-square test what should come before the test statistic?","Interpret the p-value and state the conclusion","Find the largest contribution and explain it","Name the procedure and check the conditions","Compare the statistic to the shaded graph",20,3,,,,,,,,,,,,,,,,,,
18,"What wording often signals that a full significance test is needed?","Provide convincing statistical evidence","Report the table with its totals","Find the missing expected counts","Compare the row and column labels",20,1,,,,,,,,,,,,,,,,,,
19,"Which condition must be checked before a chi-square test is used?","All observed counts are at least 10","All row totals are exactly equal","All column totals are exactly equal","All expected counts are at least 5",20,4,,,,,,,,,,,,,,,,,,
20,"Why is the 10 percent condition included in these tests?","To keep the counts from becoming decimals","To justify treating observations as independent","To force the p-value below the chosen alpha","To make the chi-square graph symmetric",20,2,,,,,,,,,,,,,,,,,,
21,"What does a large p-value suggest about the observed statistic?","It is impossible under the null model","It is proof of the alternative model","It is plausible under the null model","It is unusually high under every model",20,3,,,,,,,,,,,,,,,,,,
22,"What does a small p-value suggest about the observed statistic?","It is unusual under the null model","It is proof that the null model is true","It is caused by random choice alone","It is typical under the null model",20,1,,,,,,,,,,,,,,,,,,
23,"After rejecting the null what is a useful follow-up analysis?","Recompute the row totals and compare them","Average the expected counts across the table","Replace the p-value with the sample size","Find the largest cell contribution and explain it",20,4,,,,,,,,,,,,,,,,,,
24,"What does the largest contribution usually point to?","The cell that best proves the null","The cell where observed and expected differ most","The cell with the most balanced counts","The cell where totals were counted twice",20,2,,,,,,,,,,,,,,,,,,
25,"What makes a conclusion truly in context for a chi-square test?","It reports only the p-value and degrees of freedom","It reports only the test name and sample size","It states the decision and the alternative in context","It states only the largest contribution value",20,3,,,,,,,,,,,,,,,,,,
26,"Which step is optional unless the problem specifically asks for it?","Interpreting the p-value","Checking the expected counts","Calculating the test statistic","Writing the test conclusion",20,1,,,,,,,,,,,,,,,,,,
27,"How is the chi-square statistic formula related to goodness-of-fit?","It uses the same null statement format","It uses the same basic sum formula","It uses the same degrees of freedom rule","It uses the same expected count condition",20,2,,,,,,,,,,,,,,,,,,
28,"When using Table C what does finding the statistic between two entries mean?","The sample size must be less than 10 percent","The degrees of freedom must be recalculated","The expected counts must be rounded again","The p-value falls between two tail probabilities",20,4,,,,,,,,,,,,,,,,,,
