"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does an expected count represent in a chi-square GOF test?","The count predicted by the null model for a category","The count produced by the sample for a category","The count removed from the sample for a category","The count that makes all categories equally likely",20,1,,,,,,,,,,,,,,,,,,
2,"Why compare observed and expected counts category by category?","To convert each count into a percentage first","To measure how far the sample misses the model","To make the sample size cancel from the test","To force every category to use equal weight",20,2,,,,,,,,,,,,,,,,,,
3,"Why are the category differences squared in the statistic?","To make every expected count an integer value","To guarantee the p-value uses both tails","To prevent canceling and weight larger gaps","To remove the effect of category labels",20,3,,,,,,,,,,,,,,,,,,
4,"Why is each squared difference divided by the expected count?","To put every category on the same count scale","To avoid stating the null model for the test","To guarantee bigger samples give smaller values","To judge each gap against the category scale",20,4,,,,,,,,,,,,,,,,,,
5,"In chi-square GOF work what is a contribution?","A category mean centered by the overall mean","A category term added into the final statistic","A category rate multiplied by the sample size","A category graph compared with the null curve",20,2,,,,,,,,,,,,,,,,,,
6,"What does a small chi-square statistic usually suggest?","The observed counts fit the model fairly well","The expected counts were too large to use","The sample size was too small for inference","The category probabilities had to be equal",20,1,,,,,,,,,,,,,,,,,,
7,"Which value can a chi-square statistic never take?","A value that is written as a whole number","A value that is written as a decimal number","A value that is extremely close to zero","A value that is smaller than zero",20,4,,,,,,,,,,,,,,,,,,
8,"What determines the degrees of freedom in chi-square GOF?","The total sample size minus one value","The largest expected count minus one value","The number of categories minus one value","The total number of subjects minus one value",20,3,,,,,,,,,,,,,,,,,,
9,"Why is the p-value found in the upper tail of the distribution?","Because small statistics show stronger evidence","Because large statistics show worse fit to the model","Because negative statistics are most unusual","Because both tails mean the same kind of mismatch",20,2,,,,,,,,,,,,,,,,,,
10,"If observed counts equal expected counts in every category then the chi-square statistic is what?","Undefined because every difference is zero","Negative because the sample fits too well","Zero because every contribution is zero","One because the model is perfectly scaled",20,3,,,,,,,,,,,,,,,,,,
11,"Which calculator input setup matches a chi-square GOF test?","Observed counts in one list and expected in another list","Expected counts in one list and p-values in another list","Sample means in one list and counts in another list","Residual plots in one list and counts in another list",20,1,,,,,,,,,,,,,,,,,,
12,"When using chi-square CDF what should the lower bound be?","Zero because the curve begins at zero","The degrees of freedom for the test","The largest expected count in the table","The test statistic from the sample",20,4,,,,,,,,,,,,,,,,,,
13,"When using chi-square CDF what should the upper bound be?","A very large number to capture the right tail","The observed total because counts must add up","One because probabilities cannot exceed one","The degrees of freedom because shape matters",20,1,,,,,,,,,,,,,,,,,,
14,"Why does Table C only estimate the chi-square p-value?","It uses the sample size instead of the model","It brackets the statistic between listed cutoffs","It assumes all expected counts are identical","It rounds every category count to a whole",20,2,,,,,,,,,,,,,,,,,,
15,"Which statement best explains why chi-square GOF is one-sided?","The null can be rejected only for equal counts","The test always compares exactly two groups","Only the right tail represents stronger mismatch","The alternative always makes one tail larger",20,3,,,,,,,,,,,,,,,,,,
