"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,Two researchers each randomly sample 50 students from the same school and get different mean GPAs. Best explanation?,Sampling variability — different samples produce different statistics,One of the researchers made a calculation error,The population changed between the two samples,The sample size was too small to produce any useful information,20,1,,,,,,,,,,,,,,,,,,
2,"One poll of 1,000 voters finds 48% support Candidate A; another poll of 1,000 finds 52%. What can we conclude?",This is expected — sample proportions vary from sample to sample,At least one of the polls must be wrong,The true support must be exactly 50%,"Polls with 1,000 people are never reliable",20,1,,,,,,,,,,,,,,,,,,
3,"If you take MANY random samples of the same size from a population, the sample means will:",Form a predictable distribution centered around the population mean,All be exactly equal to the population mean,Be completely random with no recognizable pattern,Always be larger than the population mean,20,1,,,,,,,,,,,,,,,,,,
4,A single sample statistic is MOST similar to:,"A dice roll — unpredictable alone, but part of a predictable pattern",A calculator output — always gives the exact right answer,A thermometer reading — always accurate within small error,A census result — captures the entire population perfectly,20,1,,,,,,,,,,,,,,,,,,
5,Why is a single random sample NOT enough to know the true population parameter?,Sampling variability means any one sample could be far from the truth,Random samples are always biased,You need at least 100 samples to get any useful information,Single samples always overestimate the parameter,20,1,,,,,,,,,,,,,,,,,,
6,The distribution of ALL possible sample means (for a given sample size) from a population is called a:,Sampling distribution,Population distribution,Sample distribution,Frequency distribution,20,1,,,,,,,,,,,,,,,,,,
7,What is the key difference between a 'sample distribution' and a 'sampling distribution'?,One sample's data vs the pattern of a statistic across many samples,They mean the same thing — the terms are interchangeable,A sample distribution is always normal; a sampling distribution is skewed,A sampling distribution uses smaller sample sizes,20,1,,,,,,,,,,,,,,,,,,
8,"A student's sample of 30 has mean 72, so they claim the population mean MUST be 72. What's wrong?",Any single sample mean may differ from the population mean by chance,Nothing — 30 is a large enough sample to know the population mean exactly,The problem is that 30 is too small; they need at least 100,The student should have used the median instead of the mean,20,1,,,,,,,,,,,,,,,,,,
9,Why do sample statistics from the SAME population still vary?,Random sampling means each sample contains different individuals by chance,The population secretly changes each time we sample,Researchers always introduce bias into their sampling,Measurement tools become less accurate with repeated use,20,1,,,,,,,,,,,,,,,,,,
10,A number that summarizes data from a SAMPLE (like x̄ or p̂) is called a:,Statistic,Parameter,Population,Census,20,1,,,,,,,,,,,,,,,,,,
11,A number that describes an entire POPULATION (like μ or p) is called a:,Parameter,Statistic,Sample,Residual,20,1,,,,,,,,,,,,,,,,,,
12,"In statistics notation, the symbol x̄ stands for the:",Sample mean,Population mean,Sample proportion,Population standard deviation,20,1,,,,,,,,,,,,,,,,,,
13,The symbol μ stands for the:,Population mean,Sample mean,Sample proportion,Margin of error,20,1,,,,,,,,,,,,,,,,,,
