"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does an expected count in a two-way table describe?","The count predicted if the variables are unrelated","The count recorded from the actual sample table","The count created by adding two row totals","The count required to make all cells identical",20,1,,,,,,,,,,,,,,,,,,
2,"Why are expected counts based on no relationship?","Because totals cannot be computed without that idea","Because expected counts come from the null model","Because each observed count must stay unchanged","Because every cell should have equal probability",20,2,,,,,,,,,,,,,,,,,,
3,"Before computing any expected count what should you find?","A graph for each row and each column","A percent for every single observed cell","The row totals column totals and table total","The largest gap between two observed counts",20,3,,,,,,,,,,,,,,,,,,
4,"Which expression matches the expected count formula for one cell?","Observed count times row total over table total","Row total times table total over column total","Column total times observed count over row total","Row total times column total over table total",20,4,,,,,,,,,,,,,,,,,,
5,"Why does the formula use both a row total and a column total?","It turns each observed count into a percent first","It matches the cell to both variables at once","It forces each row and column to be equal","It removes the need to use the grand total",20,2,,,,,,,,,,,,,,,,,,
6,"If there is no relationship between the variables what should stay consistent?","The biggest cell in each column","The gaps between nearby cells","The row proportions across the columns","The order of rows from top to bottom",20,3,,,,,,,,,,,,,,,,,,
7,"How do observed counts differ from expected counts?","Observed counts are rounded and expected counts are exact","Observed counts use totals and expected counts use rates","Observed counts appear only after subtraction is used","Observed counts come from data and expected counts from a model",20,4,,,,,,,,,,,,,,,,,,
8,"Why can expected counts be decimals?","They are model values rather than raw people","They are averages taken from nearby cells","They are rounded before totals are checked","They are used only with uneven columns",20,1,,,,,,,,,,,,,,,,,,
9,"Which mistake is a common error when finding expected counts?","Using subtraction after enough cells are known","Using both a row total and a column total","Using the observed cell count inside the formula","Using the grand total from the whole table",20,3,,,,,,,,,,,,,,,,,,
10,"Why can subtraction find the last missing expected count in a row or column?","Because observed and expected counts must always match","Because one missing cell can be copied from another row","Because the formula works only for the first two cells","Because expected counts must add to the known total",20,4,,,,,,,,,,,,,,,,,,
11,"What does a two-way table summarize?","Counts for two categorical variables together","Means for two quantitative variables together","Rates for one variable at two time points","Scores for one sample under two treatments",20,1,,,,,,,,,,,,,,,,,,
12,"Why are expected counts not written for the totals cells?","Because totals are always observed values only","Because totals are used to create the expected cells","Because totals belong to only one variable","Because totals must be rounded to whole numbers",20,2,,,,,,,,,,,,,,,,,,
13,"If one expected count in a row is known what is needed for a row shortcut?","The observed count from the target cell","The largest expected count in the table","The number of rows in the full table","The row total and the known expected count",20,4,,,,,,,,,,,,,,,,,,
14,"What is the table total in a two-way table?","The sum of all counts in the full table","The sum of all row labels in the table","The average of the row and column totals","The biggest count found in any single cell",20,1,,,,,,,,,,,,,,,,,,
15,"Which statement best describes the no relationship idea?","Each row must contain the same raw count","The row pattern stays similar across columns","Each column must contain the same raw count","The largest cell must sit on the diagonal",20,2,,,,,,,,,,,,,,,,,,
16,"Why is the grand total in the denominator of the formula?","It turns every row total into the same size","It removes the need to know any column total","It scales the row and column totals to the whole table","It guarantees each expected count is a whole number",20,3,,,,,,,,,,,,,,,,,,
17,"Why is a key useful when expected counts are shown in parentheses?","It tells readers those values are not observed counts","It tells readers those values are the row totals","It tells readers those values are rounded errors","It tells readers those values are sample percents",20,1,,,,,,,,,,,,,,,,,,
18,"Which shortcut is valid after several expected counts are filled in?","Replace blanks with the largest observed count","Use subtraction with the row or column totals","Average the observed counts from the same row","Copy the value from the opposite corner cell",20,2,,,,,,,,,,,,,,,,,,
19,"Which statement is a misconception about expected counts?","They are based on totals from the table","They can be found with a general formula","They must make every cell exactly equal","They reflect a no relationship model",20,3,,,,,,,,,,,,,,,,,,
20,"If a row total is much larger than another row total what usually happens?","Its expected counts become smaller in each column","Its expected counts stay equal in each column","Its expected counts ignore the column sizes","Its expected counts tend to be larger overall",20,4,,,,,,,,,,,,,,,,,,
21,"What makes a two-way table different from a one-variable count table?","It always includes data from two different years","It classifies cases by two categorical variables","It replaces counts with percents in every cell","It requires every row total to match exactly",20,2,,,,,,,,,,,,,,,,,,
22,"Which value should never replace the table total in the formula?","The total from that cell's row only","The total from that cell's column only","The observed count from the cell itself","The total from the whole table",20,3,,,,,,,,,,,,,,,,,,
23,"Why is it useful to compute some expected counts with the formula before using subtraction?","The formula makes the table total unnecessary later","The formula changes observed counts into percents","The formula identifies which row labels are correct","The formula provides starting values subtraction needs",20,4,,,,,,,,,,,,,,,,,,
24,"When two variables are unrelated what do expected counts model?","What the table should look like by chance alone","What the table looked like in the raw sample","What the table would show after removing totals","What the table becomes if all cells match",20,1,,,,,,,,,,,,,,,,,,
25,"Which missing piece would make expected counts impossible to find?","The labels used for the rows","The labels used for the columns","The grand total for the table","The order used for the rows",20,3,,,,,,,,,,,,,,,,,,
26,"Why does each cell need its own expected count?","Each cell uses a different observed count","Each cell must be rounded in a different way","Each cell belongs to a different sample size","Each cell combines a specific row and column",20,4,,,,,,,,,,,,,,,,,,
27,"Which statement about row totals and column totals is true?","They anchor expected counts so margins stay fixed","They replace the need for a no relationship model","They matter only after all expected counts are found","They are used only to label the outside cells",20,1,,,,,,,,,,,,,,,,,,
28,"What is the best reason to calculate totals before using the shortcut method?","Totals reveal which observed count is the largest","Totals give the values subtraction must preserve","Totals show whether each cell should be rounded","Totals prove the variables are not related",20,2,,,,,,,,,,,,,,,,,,
