"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,What does the B in BINS stand for when checking binomial conditions?,Binary - two possible outcomes,Basic - simple random process,Balanced - equal probabilities,Bounded - limited number of trials,20,1,,,,,,,,,,,,,,,,,,
2,A binomial setting requires outcomes that are:,Success or failure (two options only),Equally likely to occur,Continuously distributed,Dependent on previous trials,20,1,,,,,,,,,,,,,,,,,,
3,What does the I in BINS stand for?,Independent trials,Identical outcomes,Infinite possibilities,Increasing probability,20,1,,,,,,,,,,,,,,,,,,
4,"In a binomial setting, 'independent trials' means:",Knowing one outcome doesn't affect the probability of another,All trials have exactly the same outcome,Each trial depends on the previous result,The trials must occur simultaneously,20,1,,,,,,,,,,,,,,,,,,
5,What does the N in BINS stand for?,Fixed Number of trials,Normal distribution required,Natural outcomes only,Negative results excluded,20,1,,,,,,,,,,,,,,,,,,
6,A binomial distribution requires that the number of trials is:,Fixed and known in advance (n),Variable depending on outcomes,Determined after the experiment,Always greater than 30,20,1,,,,,,,,,,,,,,,,,,
7,What does the S in BINS stand for?,Same probability of success for each trial,Standard deviation is constant,Sample size is large,Symmetric distribution shape,20,1,,,,,,,,,,,,,,,,,,
8,"In a binomial setting, the probability p must:",Remain constant for every trial,Change based on previous results,Equal exactly 0.5,Be greater than the probability of failure,20,1,,,,,,,,,,,,,,,,,,
9,What is a binomial random variable?,The count of successes in n independent trials,The probability of a single success,The average outcome over time,The standard deviation of trials,20,1,,,,,,,,,,,,,,,,,,
10,"The probability a tropical storm becomes a hurricane is 0.53. If 6 storms form, what is n?",6,0.53,0.47,53,20,1,,,,,,,,,,,,,,,,,,
11,"The probability a tropical storm becomes a hurricane is 0.53. If 6 storms form, what is p?",0.53,6,0.47,5.3,20,1,,,,,,,,,,,,,,,,,,
12,"In the binomial formula P(X=x) = C(n,x) · p^x · (1-p)^(n-x), what does C(n,x) represent?",The number of ways to choose x successes from n trials,The probability of exactly x successes,The expected value of X,The standard deviation of X,20,1,,,,,,,,,,,,,,,,,,
13,"In the binomial formula, p^x represents:",The probability that the x success trials all occur,The number of successes in the sample,The expected number of successes,The variance of the number of successes,20,1,,,,,,,,,,,,,,,,,,
14,"In the binomial formula, (1-p)^(n-x) represents:",The probability that the remaining n-x trials are all failures,The probability of success on a single trial,The expected number of failures,The total number of trials,20,1,,,,,,,,,,,,,,,,,,
15,"To find P(X = 5) when n=6 and p=0.53, which formula setup is correct?","C(6,5) · (0.53)^5 · (0.47)^1","C(5,6) · (0.53)^6 · (0.47)^5",6 · (0.53)^5 · (0.47)^6,"C(6,5) · (0.53)^1 · (0.47)^5",20,1,,,,,,,,,,,,,,,,,,
16,"What is C(6,5) equal to?",6,5,30,720,20,1,,,,,,,,,,,,,,,,,,
17,A cumulative binomial probability involves:,Finding P(X ≥ k) or P(X ≤ k) by summing multiple values,Finding the exact probability P(X = k),Calculating only the mean,Finding the mode of the distribution,20,1,,,,,,,,,,,,,,,,,,
18,"To find P(X ≥ 16), you would calculate:",P(X=16) + P(X=17) + P(X=18) + ... up to n,P(X=16) only,P(X=0) + P(X=1) + ... + P(X=15),1 - P(X=16),20,1,,,,,,,,,,,,,,,,,,
19,"To find P(X ≥ 16) using binomcdf, you would calculate:","1 - binomcdf(n, p, 15)","binomcdf(n, p, 16)","binomcdf(n, p, 15)","1 - binomcdf(n, p, 16)",20,1,,,,,,,,,,,,,,,,,,
20,"On the AP exam, writing only 'binompdf(6, 0.53, 5)' will:",NOT earn credit - you must show the distribution and parameters,Earn full credit for the calculation,Earn partial credit,Be accepted as complete work,20,1,,,,,,,,,,,,,,,,,,
21,"When solving binomial problems on the AP exam, you must:","Define the variable, identify distribution, show formula setup",Only write the calculator command,Only state the final numerical answer,Draw a histogram of the distribution,20,1,,,,,,,,,,,,,,,,,,
22,"For binomial, the possible values of X are:","0, 1, 2, 3, ... up to n","1, 2, 3, 4, ... (no upper limit)",Only 0 and n,Any real number,20,1,,,,,,,,,,,,,,,,,,
23,Which mnemonic lists the four conditions for a binomial setting?,BINS,SOCS,LINER,CLT,20,1,,,,,,,,,,,,,,,,,,
24,"For 6 tropical storms, 'exactly 5 become hurricanes' translates to which probability?",P(X = 5),P(X ≥ 5),P(X ≤ 5),P(X = 6),20,1,,,,,,,,,,,,,,,,,,
25,Which calculator function finds an EXACT binomial probability such as P(X = 5)?,binompdf,binomcdf,normalcdf,invNorm,20,1,,,,,,,,,,,,,,,,,,
26,"binomcdf(n, p, k) on the calculator computes:",P(X ≤ k),P(X = k),P(X ≥ k),P(X > k),20,1,,,,,,,,,,,,,,,,,,
27,"In the hurricane example, the probability that exactly 5 of the 6 predicted tropical storms become hurricanes is about:","0.118","0.0486","0.882","0.418",30,1,,,,,,,,,,,,,,,,,,
28,Which scenario is a binomial setting?,Counting heads in 20 flips of a fair coin,Recording the exact height of 20 students,Counting aces when drawing 5 cards from 10 without replacement,Recording the number rolled on each of 20 dice,20,1,,,,,,,,,,,,,,,,,,
29,"If the probability of success is p = 0.53, the probability of failure is:",0.47,0.53,1.53,0.047,20,1,,,,,,,,,,,,,,,,,,
30,Rolling a die 10 times and recording the NUMBER rolled fails which binomial condition?,Binary - there are more than two outcomes,Independent trials,Fixed number of trials,Same probability on each trial,20,1,,,,,,,,,,,,,,,,,,
31,"With n = 6 trials and x = 5 successes, the exponent on (1 - p) in the formula is:",1,5,6,0,20,1,,,,,,,,,,,,,,,,,,
32,"Besides the binomial formula, which method can estimate binomial probabilities?",Simulation,Linear regression,Taking a census,Making a boxplot,20,1,,,,,,,,,,,,,,,,,,
33,"Why does P(X ≥ 16) equal 1 - binomcdf(22, 0.53, 15)?","binomcdf gives P(X ≤ 15), the complement of X ≥ 16",binomcdf gives P(X = 15) only,Subtracting from 1 converts a pdf into a cdf,binomcdf only works when p = 0.5,20,1,,,,,,,,,,,,,,,,,,
34,A fair coin is flipped 3 times. What is P(exactly 2 heads)?,3/8,1/8,1/2,2/3,30,1,,,,,,,,,,,,,,,,,,
