"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"A sampling distribution shows:","The distribution of a statistic from ALL possible samples of the same size","The distribution of individual values in one sample","The distribution of the entire population","The shape of any random variable",25,1,,,,,,,,,,,,,,,,,,
2,"Why is it usually impossible to construct an ACTUAL sampling distribution?","There are far too many possible samples to collect them all","Sampling distributions don't actually exist in real life","You would need to know the population mean first","It requires expensive equipment",20,1,,,,,,,,,,,,,,,,,,
3,"If we can't get all possible samples, how can we study sampling distributions?","We can SIMULATE them by taking many random samples from the population","We just guess what they look like","We ignore them and use the population instead","We only use samples of size 1",20,1,,,,,,,,,,,,,,,,,,
4,"The Central Limit Theorem says that when sample size is large enough, the sampling distribution of the mean will be:","Approximately normal, regardless of the population's shape","Exactly the same shape as the population","Skewed in the opposite direction of the population","Impossible to predict",25,1,,,,,,,,,,,,,,,,,,
5,"What makes the Central Limit Theorem 'amazing' according to statisticians?","It works no matter what the population distribution looks like","It requires very small sample sizes to work","It only applies to normal populations","It gives exact answers instead of approximations",25,1,,,,,,,,,,,,,,,,,,
6,"A population is strongly skewed right. For the sampling distribution of the mean to be approximately normal, you need:","A sufficiently large sample size","The population to first become normal","A sample size of exactly 30","To remove all outliers from the population",25,1,,,,,,,,,,,,,,,,,,
7,"If a population is already normally distributed, the sampling distribution of the mean will be:","Approximately normal, even with small sample sizes","Skewed for small samples, normal for large samples","Unpredictable regardless of sample size","Uniform instead of normal",25,1,,,,,,,,,,,,,,,,,,
8,"As sample size INCREASES, the standard deviation of the sampling distribution:","Decreases — sample means cluster more tightly around the population mean","Increases — more data means more variability","Stays the same — it only depends on the population","Becomes unpredictable",25,1,,,,,,,,,,,,,,,,,,
9,"Compared to n = 5, a sampling distribution with n = 50 would be:","Narrower (less spread) and more likely to be approximately normal","Wider (more spread) and more skewed","Exactly the same shape and spread","Impossible to compare without more information",25,1,,,,,,,,,,,,,,,,,,
10,"A population has a bimodal (two-peaked) distribution. With n = 2, the sampling distribution will probably be:","NOT approximately normal — small samples from non-normal populations stay non-normal","Perfectly normal — the CLT always works","Exactly bimodal like the population","Uniform",25,1,,,,,,,,,,,,,,,,,,
11,"That same bimodal population with n = 100 would have a sampling distribution that is:","Approximately normal — large samples make CLT work even for unusual populations","Still bimodal, just narrower","Impossible to describe","Skewed right",25,1,,,,,,,,,,,,,,,,,,
12,"For CLT to apply, the sample values must be:","Independent of each other","Exactly normally distributed","All positive numbers","Collected at the same time",20,1,,,,,,,,,,,,,,,,,,
13,"A randomization distribution is created by:","Repeatedly reassigning response values to treatment groups at random","Taking many samples from the same population","Calculating the mean of one sample many times","Measuring the same subjects repeatedly",25,1,,,,,,,,,,,,,,,,,,
14,"The purpose of a randomization distribution is to show:","What results would look like if there were NO real treatment effect (chance alone)","The exact effect of the treatment","How the population is distributed","Whether the sample size was large enough",25,1,,,,,,,,,,,,,,,,,,
