"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What is the main role of the null hypothesis in a test for a population proportion?","It states the status assumed true unless the data give strong evidence otherwise","It states the sample result that researchers hope to observe in the study","It states the value of p-hat that must appear after the survey is finished","It states the direction of the effect after the sample has already been seen",20,1,,,,,,,,,,,,,,,,,,
2,"Which symbolic statement is the standard null hypothesis for a population proportion?","H0: p-hat = p0 for the sample proportion being studied","H0: p = p0 for the population proportion being studied","Ha: p = p0 for the population proportion being studied","H0: x = p0 for the count of successes being studied",20,2,,,,,,,,,,,,,,,,,,
3,"A study asks whether a population proportion differs from a benchmark value. Which alternative fits?","Use Ha: p > p0 because only larger values would support the question","Use Ha: p < p0 because only smaller values would support the question","Use Ha: p not equal to p0 because either direction would count as evidence","Use H0: p = p0 because difference should appear in the null statement",20,3,,,,,,,,,,,,,,,,,,
4,"Which wording in a research question most clearly points to a one-sided alternative?","whether the proportion is equal to the benchmark","whether the proportion differs from the benchmark","whether the proportion matches the benchmark","whether the proportion is greater than the benchmark",20,4,,,,,,,,,,,,,,,,,,
5,"Why does the null hypothesis include an equality reference?","The test is anchored to a specific benchmark value for the parameter","The sample proportion must exactly match the benchmark to use z methods","The data must produce equal counts of success and failure in the sample","The alternative cannot be written until the null is first rejected",20,1,,,,,,,,,,,,,,,,,,
6,"What makes an alternative hypothesis two-sided?","It focuses only on values below the null benchmark","It treats values above or below the benchmark as evidence","It uses the sample statistic instead of the parameter value","It requires the null to include a greater than sign",20,2,,,,,,,,,,,,,,,,,,
7,"Which definition of p uses the parameter correctly in context?","p is the proportion of sampled adults in the town who said football was favorite","p is the proportion of adults asked in the sample who would say football is favorite","p is the proportion of all adults in the town who would say football is favorite","p is the proportion of one adult in the town who would say football is favorite",20,3,,,,,,,,,,,,,,,,,,
8,"Which choice shows a common error when writing hypotheses for a population proportion?","Defining p as a proportion for the full population of interest","Choosing the direction of Ha from the research question","Using the hypothesized value p0 as the benchmark in H0","Writing the hypotheses with p-hat instead of the population p",20,4,,,,,,,,,,,,,,,,,,
9,"Which inference procedure matches a significance test about one population proportion?","A one-sample z test for a population proportion","A one-sample t test for a population mean","A two-sample z test for two population proportions","A chi square test for association between variables",20,1,,,,,,,,,,,,,,,,,,
