"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What makes a data set bivariate quantitative?","two numeric variables per individual","two category labels per individual","one numeric measure per group","one category label per group",20,1,,,,,,,,,,,,,,,,,,
2,"When is a scatterplot the best display?","when one variable is categorical","when both variables are quantitative","when both variables are summaries","when one variable is a category",20,2,,,,,,,,,,,,,,,,,,
3,"What does each point in a scatterplot represent?","one group with two totals","one variable with two units","one individual with two values","one sample with two graphs",20,3,,,,,,,,,,,,,,,,,,
4,"An explanatory variable is best described as","the variable used to label points","the variable used to count samples","the variable used to sort bars","the variable used to explain or predict",20,4,,,,,,,,,,,,,,,,,,
5,"On a standard scatterplot the explanatory variable belongs on the","horizontal axis of the graph","vertical axis of the graph","title line of the graph","legend area of the graph",20,1,,,,,,,,,,,,,,,,,,
6,"On a standard scatterplot the response variable belongs on the","horizontal axis of the graph","vertical axis of the graph","caption line of the graph","right margin of the graph",20,2,,,,,,,,,,,,,,,,,,
7,"Before choosing a scatterplot what should you check first?","whether both variables share units","whether both variables have equal ranges","whether both variables are quantitative","whether both variables have equal means",20,3,,,,,,,,,,,,,,,,,,
8,"Why can a scatterplot help more than a raw table?","it turns all values into percents","it proves the variables are linked","it removes unusual observations","it lets patterns appear more clearly",20,4,,,,,,,,,,,,,,,,,,
9,"Which graph feature helps prevent a misleading display?","clear scales with tick marks","a decorative color scheme","a detailed data source","equal numbers of x values",20,1,,,,,,,,,,,,,,,,,,
10,"Why should axes be labeled with variable names and units?","to make the graph look balanced","to show what each scale represents","to guarantee a stronger pattern","to keep every point centered",20,2,,,,,,,,,,,,,,,,,,
11,"Why should a scatterplot have a descriptive title?","to show the sample size used","to force equal axis scales","to display the graph context","to mark every unusual point",20,3,,,,,,,,,,,,,,,,,,
12,"A positive association means that as x increases","y tends to stay constant","y tends to become categorical","y tends to decrease","y tends to increase",20,4,,,,,,,,,,,,,,,,,,
13,"A negative association means that as x increases","y tends to decrease","y tends to increase","y tends to stay fixed","y tends to curve upward",20,1,,,,,,,,,,,,,,,,,,
14,"In a scatterplot direction describes","the units shown on each axis","the overall y trend as x rises","the graph size on the page","the order of the data table",20,2,,,,,,,,,,,,,,,,,,
15,"A linear form means the points","split into equal size groups","repeat the same x value","follow a roughly straight pattern","form perfect square regions",20,3,,,,,,,,,,,,,,,,,,
16,"A nonlinear form means the points","have matching x values always","use different units on axes","show no variation at all","trace a curved pattern overall",20,4,,,,,,,,,,,,,,,,,,
17,"Strength in a scatterplot describes","how tightly points follow a pattern","how many points are shown","how large the x values are","how far axes extend outward",20,1,,,,,,,,,,,,,,,,,,
18,"A strong association is present when","points cover similar y values","points stay close to the pattern","points use the same x scale","points line up in one row",20,2,,,,,,,,,,,,,,,,,,
19,"A weak association is present when","points share the same two units","points use small x values only","points vary a lot around the pattern","points create one exact slope",20,3,,,,,,,,,,,,,,,,,,
20,"Which is an unusual feature in a scatterplot?","a labeled horizontal axis","a positive overall trend","a scale with tick marks","a cluster of nearby points",20,4,,,,,,,,,,,,,,,,,,
21,"A point far from the overall pattern is often called","an apparent outlier","a matched pair point","a response variable","an axis label value",20,1,,,,,,,,,,,,,,,,,,
22,"A complete description of a scatterplot should include","center spread shape and median","direction form strength and features","title units scale and sample size","slope residual range and mean",20,2,,,,,,,,,,,,,,,,,,
23,"When describing a scatterplot in context you should","replace both variables with numbers","report the graph without any labels","name the actual variables involved","describe only one axis at a time",20,3,,,,,,,,,,,,,,,,,,
24,"Which statement best identifies the response variable?","it is used to explain x values","it is used to label axis scales","it is used to determine sample size","it is used for values being predicted",20,4,,,,,,,,,,,,,,,,,,
25,"Which statement best identifies the explanatory variable?","it is used to explain response values","it is used to label unusual points","it is used because it has more spread","it is used for values being predicted",20,1,,,,,,,,,,,,,,,,,,
26,"Which mistake shows confusion about plot type?","using points to show paired values","using a scatterplot for two categories","using x for the explanatory variable","using y for the response variable",20,2,,,,,,,,,,,,,,,,,,
27,"A student says strong means the points rise quickly. What is wrong?","strength is based on slope size","strength is based on axis length","strength is based on point closeness","strength is based on matching units",20,3,,,,,,,,,,,,,,,,,,
28,"A student says positive means the graph goes up exactly. What is the better idea?","positive means y exactly doubles","positive means x values get larger","positive means every point rises","positive means y tends to rise with x",20,4,,,,,,,,,,,,,,,,,,
29,"Which question is most helpful before naming an explanatory variable?","which variable might predict the other","which variable has the widest range","which variable has the neatest units","which variable was written first",20,1,,,,,,,,,,,,,,,,,,
30,"Which statement about scatterplots is most accurate?","they display one value for each group","they show paired values for each case","they compare category counts with bars","they summarize one variable with bins",20,2,,,,,,,,,,,,,,,,,,
31,"If points follow a line somewhat but not very closely the association is best described as","weak and nonlinear","strong and linear","moderate in strength","missing in direction",20,3,,,,,,,,,,,,,,,,,,
