"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"The first step in determining if evidence for a claim is convincing is to:","Show that the observed results are consistent with the claim being investigated","Prove that the population parameter exactly equals the value of the sample statistic","Calculate the population proportion directly from the raw data that were collected","Demonstrate that the sample was collected using a stratified random sampling method",25,1,,,,,,,,,,,,,,,,,,
2,"In significance testing, the two possible explanations for an observed result are:","The result occurred by random chance alone, or there is a real underlying effect","The sample was too small for the study, or the sample was too large for the test","The population is normally distributed, or the population is not normally distributed","The parameter is equal to the statistic, or the parameter differs from the statistic",25,1,,,,,,,,,,,,,,,,,,
3,"A simulation in significance testing helps us determine:","How likely the observed result is to occur by chance if there were no real effect","The exact numerical value of the population parameter we are trying to estimate","Whether the data were collected using an appropriately randomized sampling method","How many additional observations are needed to reach a definitive final conclusion",25,1,,,,,,,,,,,,,,,,,,
4,"If a simulation shows that the observed result happens frequently by chance alone, we conclude:","The evidence is not convincing because random chance is a plausible explanation","The evidence is convincing because many simulated trials confirmed the observed result","The experiment was poorly designed and needs to be repeated with many more subjects","The treatment definitely has no real effect on the outcome that is being measured",25,1,,,,,,,,,,,,,,,,,,
5,"Evidence for a claim is considered 'convincing' when:","Random chance can be eliminated as a plausible explanation for the observed result","The sample proportion is at least somewhat larger than the hypothesized proportion","At least half of all simulated results closely match the observed result obtained","The sample size exceeds 30 and the collected data appear normally distributed",25,1,,,,,,,,,,,,,,,,,,
6,"A simulation shows that only 2 out of 1000 trials produced a result as extreme as what was observed. This suggests:","The observed result is very unlikely by chance alone, providing convincing evidence","The simulation was most likely done incorrectly and should be carefully repeated","The researcher needs a much larger sample before drawing any meaningful conclusions","The observed result is consistent with what we would expect if there were no effect",25,1,,,,,,,,,,,,,,,,,,
7,"A simulation shows that 320 out of 1000 trials produced a result as extreme as what was observed. This suggests:","The observed result could easily have occurred by chance, so evidence is not convincing","The evidence is moderately convincing since fewer than half of all trials matched it","The treatment has a 32% probability of working on members of the general population","The sample size was approximately the correct amount needed for this particular study",25,1,,,,,,,,,,,,,,,,,,
8,"In significance testing, we compare our observed result to what would happen:","If there were no real effect and any observed differences were due to chance alone","If the treatment worked on every single subject in exactly the same measurable way","If we used a much larger sample that was selected from a different target population","If we repeated the identical experiment under perfectly controlled laboratory conditions",25,1,,,,,,,,,,,,,,,,,,
9,"'By chance alone' in significance testing means the result that would occur if:","The claim were false and the observed differences are due only to random variation","We made a computational error when calculating the sample statistic from raw data","The population parameter shifted in value between the time of sampling and analysis","Our sample happened to be biased due to an unintentional flaw in the study design",25,1,,,,,,,,,,,,,,,,,,
