"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does a percentile describe about a data value?","the percent at or below that value","the distance from mu in sigma units","the count beyond the upper quartile","the spread across the middle half",20,1,,,,,,,,,,,,,,,,,,
2,"Why does AP Statistics include equal to in the percentile definition?","it counts tied values at that score","it makes all z-scores nonnegative","it guarantees a symmetric graph","it converts counts into percents",20,1,,,,,,,,,,,,,,,,,,
3,"A value at the 80th percentile means which statement is best?","About 80% lie above that value","About 80% lie at or below it","Its z-score must equal positive 0.80","Exactly 20% have that same value",20,2,,,,,,,,,,,,,,,,,,
4,"What does a z-score tell you about a value?","what percent lie at or below it","which quartile contains the value","how many sd units from the mean","how wide the middle half appears",20,3,,,,,,,,,,,,,,,,,,
5,"What does the sign of a z-score show?","whether the data are symmetric","whether the value is a percentile","whether the graph is approximately normal","whether the value is above or below mu",20,4,,,,,,,,,,,,,,,,,,
6,"What does the size of a z-score tell you?","how many data points were collected","how far the value is from mean in sd units","how skewed the whole distribution is","how many quartiles are represented",20,2,,,,,,,,,,,,,,,,,,
7,"Which statement about z-scores is correct?","They only apply to perfectly normal data","They replace the need for a mean","They can be computed for any distribution","They always match a percentile exactly",20,3,,,,,,,,,,,,,,,,,,
8,"Why is it a mistake to assume a z-score means data are normal?","A z-score uses quartiles instead of means","A z-score requires only sorted values","A z-score measures only the sample size","A z-score can exist for any distribution",20,4,,,,,,,,,,,,,,,,,,
9,"In AP Statistics what is a parameter?","a numerical summary of a population","a numerical summary of one sample","a graph used to display a variable","a procedure used to randomize data",20,1,,,,,,,,,,,,,,,,,,
10,"Which description matches a normal distribution?","left skewed with one long tail","mound shaped and symmetric overall","uniform with equal height bars","bimodal with two clear clusters",20,2,,,,,,,,,,,,,,,,,,
11,"Why is the mean at the center of a normal distribution?","the middle half always has equal width","the standard deviation fixes the center","the tails stop at three deviations out","the distribution is symmetric around it",20,4,,,,,,,,,,,,,,,,,,
12,"Which pair determines a normal distribution?","sample size and study design","median and middle half spread","population mean and population sd","minimum and maximum values",20,3,,,,,,,,,,,,,,,,,,
13,"Why can normal distributions model many real variables?","many quantitative variables are roughly normal","all quantitative variables are exactly normal","most categorical variables are roughly normal","every small data set is bell shaped",20,1,,,,,,,,,,,,,,,,,,
14,"What does the empirical rule summarize?","the chance of every possible z-score","the shape of any skewed distribution","the meaning of quartiles and medians","the percent within 1 2 and 3 sd units",20,4,,,,,,,,,,,,,,,,,,
15,"Before using the empirical rule what should you check?","whether the sample size is very large","whether the distribution is approximately normal","whether the median equals the mean exactly","whether every data value is an integer",20,2,,,,,,,,,,,,,,,,,,
16,"Why is the empirical rule useful?","It finds the exact percentile of any value","It avoids using the mean and the sd","It gives quick approximate proportions","It proves a variable is a population",20,3,,,,,,,,,,,,,,,,,,
17,"When is the empirical rule most directly applicable?","when values are sorted from least to greatest","when the interval uses quartiles as boundaries","when the variable has several clear clusters","when bounds are 1 2 or 3 sd units from mean",20,4,,,,,,,,,,,,,,,,,,
18,"If a boundary value is not a whole number of sd units from mu what should you use?","a z-score with Table A or technology","the empirical rule with no adjustment","a box plot with quartile subtraction","a percentile rank from ordered counts",20,1,,,,,,,,,,,,,,,,,,
19,"What does Table A provide for a z-score?","the distance from mu in raw units","the number of values at that score","the area to the left of that z-score","the area between the quartiles only",20,3,,,,,,,,,,,,,,,,,,
20,"How do you find area to the right of a value in a normal model?","subtract the z-score from the mean","take one minus the area to the left","double the area from the lower tail","average the two nearest table values",20,2,,,,,,,,,,,,,,,,,,
21,"How do you find area between two values in a normal model?","subtract the smaller left area from the larger","add the two left tail areas together","multiply both z-scores and divide by two","use only the value farthest from mu",20,1,,,,,,,,,,,,,,,,,,
22,"When working backward from an upper tail percent what must happen first?","round the percent to the nearest tenth","convert the z-score into a percentile","divide the mean by the standard deviation","change the right tail area to a left area",20,4,,,,,,,,,,,,,,,,,,
23,"What common table mistake should students avoid?","treating the area as a left tail","searching the z-score margin for 0.90","using the mean before the standard deviation","drawing a picture before finding a z-score",20,2,,,,,,,,,,,,,,,,,,
24,"Why is a sketch recommended before normal calculations?","It shows the exact answer from the curve","It removes the need for a z-score","It identifies the region and boundaries","It proves the data are from a sample",20,3,,,,,,,,,,,,,,,,,,
25,"Why are percentiles useful for relative position within one data set?","They show spread using raw measurement units","They compare means across several variables","They describe the shape of the whole graph","They tell what share is at or below a value",20,4,,,,,,,,,,,,,,,,,,
26,"Why are z-scores useful for comparing values from different data sets?","They put values on a common sd scale","They convert any graph into normal form","They ignore differences in center and spread","They replace proportions with raw counts",20,1,,,,,,,,,,,,,,,,,,
27,"Which comparison is best supported by percentiles or z-scores?","deciding whether a graph has outliers","estimating the population parameter directly","judging which value is more relatively unusual","proving that two variables have equal means",20,3,,,,,,,,,,,,,,,,,,
28,"Which statement best contrasts percentile and z-score?","Percentile uses mu and sigma; z-score uses counts","Percentile gives percent below; z-score gives sd distance","Percentile requires normality; z-score requires symmetry","Percentile compares shapes; z-score compares quartiles",20,2,,,,,,,,,,,,,,,,,,
29,"What does a positive z-score mean in context?","The value is above every other value","The value is in the right tail only","The value has a percentile above 99","The value is above the mean",20,4,,,,,,,,,,,,,,,,,,
30,"What does a negative z-score mean in context?","The value is below the mean","The value has a negative percentile","The value cannot appear in normal data","The value lies outside the data set",20,1,,,,,,,,,,,,,,,,,,
31,"After finding the needed z-score from an area what lets you solve for the raw value?","the sample size and the range","the mean and the standard deviation","the percentile and the median","the quartiles and the outliers",20,2,,,,,,,,,,,,,,,,,,
32,"For an approximately normal distribution which statement is correct?","About 50% lie within 1 sd of mean","About 68% lie within 2 sd of mean","About 95% lie within 2 sd of mean","About 99.7% lie within 1 sd of mean",20,3,,,,,,,,,,,,,,,,,,
