"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Why is a confidence interval preferred over a single estimate for mu?","It records how the data were measured in the sample.","It reflects sampling variability around the estimate.","It proves the sample mean equals the true mean.","It avoids the need to verify inference conditions.",20,2,,,,,,,,,,,,,,,,,,
2,"When the goal is to estimate the mean of one population which procedure fits?","a one-sample t-interval for a population mean","a one-sample z-interval for a population proportion","a two-sample t-interval for a difference in means","a significance test for a claim about one mean",20,1,,,,,,,,,,,,,,,,,,
3,"How does a confidence interval differ from a significance test?","A confidence interval uses data but a test uses theory.","A confidence interval gives certainty but a test gives doubt.","A confidence interval needs z but a test needs t.","A confidence interval estimates while a test evaluates a claim.",20,4,,,,,,,,,,,,,,,,,,
4,"What should come before calculating a one-sample t-interval?","Choose the confidence level and report the interval.","Compute the margin of error and justify later.","Identify the procedure and verify its conditions.","Look up a critical value and skip the graph.",20,3,,,,,,,,,,,,,,,,,,
5,"Why does AP Stats require a random sample or randomized experiment?","It makes the sample mean equal the parameter.","It supports independence so inference is more trustworthy.","It guarantees the graph of data will be symmetric.","It makes the margin of error the same each time.",20,2,,,,,,,,,,,,,,,,,,
6,"Why is the 10% condition checked when sampling without replacement?","It keeps the sample mean close to the population mean.","It makes the t distribution perfectly symmetric.","It forces the critical value to come from Table B.","It helps justify treating observations as independent.",20,4,,,,,,,,,,,,,,,,,,
7,"When sampling without replacement what additional condition should hold?","The sample size should be at most 10% of the population.","The sample size should be at least 30 every time.","The sample standard deviation should be very small.","The confidence level should be at least 95%.",20,1,,,,,,,,,,,,,,,,,,
8,"If the sample size is less than 30 what should you examine in the data?","Whether the interval will be narrower than expected.","Whether the sample mean is near the median value.","Whether strong skewness or outliers appear in a graph.","Whether the confidence level matches the study goal.",20,3,,,,,,,,,,,,,,,,,,
9,"If a graph is not provided for a small sample what should you do?","Assume the shape condition is fine from the summary.","Create a graph to check for skewness and outliers.","Use a larger confidence level to protect the method.","Replace the t procedure with a z procedure.",20,2,,,,,,,,,,,,,,,,,,
10,"If one required condition fails what is the correct conclusion?","The conditions for the interval are not fully met.","The interval can still be used with no comment.","The missing condition only affects interpretation.","The failure matters only when n is very small.",20,1,,,,,,,,,,,,,,,,,,
11,"Why does a one-sample interval for a mean use a t critical value?","The population mean is always centered at zero.","The sample comes from one group instead of two.","The margin of error must match all sample sizes.","The population standard deviation is usually unknown.",20,4,,,,,,,,,,,,,,,,,,
12,"What does the standard error of x-bar estimate?","The spread of the raw data in the sample.","The distance from x-bar to the population mean.","The standard deviation of the sampling distribution.","The effect of changing the confidence level.",20,3,,,,,,,,,,,,,,,,,,
13,"For a one-sample t procedure for mu what are the degrees of freedom?","They equal the confidence level minus one.","They equal the sample size minus one.","They equal the population size minus one.","They equal the standard error minus one.",20,2,,,,,,,,,,,,,,,,,,
14,"Compared with a standard normal curve how does a t distribution look?","It has no center and no clear spread.","It is flat in the middle and sharp on the ends.","It is always narrower with thinner tails.","It has fatter tails and a lower peak.",20,4,,,,,,,,,,,,,,,,,,
15,"As degrees of freedom increase what happens to the t distribution?","It becomes closer to the standard normal curve.","It becomes more skewed to the right side.","It becomes centered at the sample mean.","It becomes less useful for inference work.",20,1,,,,,,,,,,,,,,,,,,
16,"For a confidence interval for mu what does t-star represent?","The midpoint of the sample data distribution.","The number of standard errors in the sample.","The boundaries of the middle C% of a t distribution.","The amount of skewness allowed in the data.",20,3,,,,,,,,,,,,,,,,,,
17,"If Table B does not list the exact degrees of freedom what should you use?","The next higher row above the desired value.","The highest row below the desired value.","The row that gives the smallest critical value.","The row that matches the sample mean best.",20,2,,,,,,,,,,,,,,,,,,
18,"If technology and Table B give slightly different critical values what is best?","Prefer the technology value when it uses the exact df.","Prefer the table value because it is always exact.","Average the two values before continuing.","Choose the larger value without explaining why.",20,1,,,,,,,,,,,,,,,,,,
19,"If you must use Table B with a nearby df what should you note?","That the table value replaces the sample mean.","That the confidence level becomes a hypothesis test.","That the population standard deviation is now known.","That Table B was used and which df row was chosen.",20,4,,,,,,,,,,,,,,,,,,
20,"What is the general structure of a confidence interval?","point estimate times a standard error value","point estimate minus a population value","point estimate plus or minus margin of error","point estimate divided by the sample size",20,3,,,,,,,,,,,,,,,,,,
21,"Which expression describes margin of error for a mean interval?","sample mean times sample size","critical value times standard error","confidence level times degrees of freedom","population mean minus sample mean",20,2,,,,,,,,,,,,,,,,,,
22,"Why is s used in the standard error instead of sigma?","Because sigma must equal the sample mean.","Because sigma changes with the confidence level.","Because sigma is only used for proportions.","Because sigma is usually unknown in practice.",20,4,,,,,,,,,,,,,,,,,,
23,"What does a 95% confidence level describe?","The long-run capture rate of the interval method.","The chance that one finished interval is correct.","The percent of data values inside the interval.","The share of samples with no outliers at all.",20,1,,,,,,,,,,,,,,,,,,
24,"Which statement is a common error when interpreting a confidence level?","About C% of intervals from repeated samples capture mu.","The interpretation should refer to the population context.","This single interval has a 95% chance to capture mu.","The confidence level describes the method over many samples.",20,3,,,,,,,,,,,,,,,,,,
25,"Why should an interpretation of confidence level be written in context?","It shows the table row used for the critical value.","It identifies the population and parameter being discussed.","It proves the interval conditions were all satisfied.","It replaces the need to state the confidence level.",20,2,,,,,,,,,,,,,,,,,,
26,"How is interval width related to margin of error?","The width is twice the margin of error.","The width is half the margin of error.","The width is the same as the sample size.","The width is unrelated to the margin of error.",20,1,,,,,,,,,,,,,,,,,,
27,"If everything else stays the same how can margin of error be reduced?","Use a more variable sample from the population.","Use a wider interval around the point estimate.","Use a smaller sample to speed up data collection.","Use a larger sample size for the procedure.",20,4,,,,,,,,,,,,,,,,,,
28,"Why does a larger sample size shrink the margin of error?","It makes the confidence level automatically lower.","It changes the center of the t distribution.","It decreases the standard error through sqrt n.","It guarantees the sample has no outliers.",20,3,,,,,,,,,,,,,,,,,,
