"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,The area under a normal curve between two values represents:,The probability that a randomly selected value falls in that interval,The number of data points in that interval,The mean of the values in that interval,The standard deviation of the values in that interval,20,1,,,,,,,,,,,,,,,,,,
2,A continuous random variable can take:,Any value within a specified domain,Only whole-number values,Only values that appear in a probability table,Only positive values,20,1,,,,,,,,,,,,,,,,,,
3,The TOTAL area under any normal curve equals:,1 — representing 100% of the probability,The mean μ,The standard deviation σ,A larger value when the curve is more spread out,20,1,,,,,,,,,,,,,,,,,,
4,Which formula gives the z-score of a value x from a normal distribution with mean μ and SD σ?,z = (x − μ) / σ,z = (μ − x) / σ,z = (x − μ) / σ²,z = σ(x − μ),20,1,,,,,,,,,,,,,,,,,,
5,A z-score of 2.0 means the value is:,2 standard deviations above the mean,2 times the mean,In the top 2% of the distribution,Twice as likely as the mean value,20,1,,,,,,,,,,,,,,,,,,
6,A z-score of −1.5 tells you that the value is:,1.5 standard deviations BELOW the mean,Negative and therefore impossible,In the bottom 1.5% of the distribution,1.5 times smaller than the average,20,1,,,,,,,,,,,,,,,,,,
7,A value in a normal distribution has a z-score of 0. This means the value:,Is exactly equal to the mean,Is one standard deviation above the mean,Is the largest value in the distribution,Is at the edge of the distribution,20,1,,,,,,,,,,,,,,,,,,
8,"Test scores are N(70, 5). A score of 60 has a z-score of:",−2.0,2.0,−10,−0.5,30,1,,,,,,,,,,,,,,,,,,
9,"If package weights are N(16 oz, 0.5 oz), a package weighing 17.0 oz has a z-score of:",2.0 — it's 2 standard deviations above the mean,1.0 — it's 1 ounce above the mean,0.5 — it's half a standard deviation above,17.0 — the z-score equals the raw value,30,1,,,,,,,,,,,,,,,,,,
10,Student A scored z = 1.8; Student B scored z = 1.2 in different classes. Who did better RELATIVE to their class?,Student A — a higher z-score means further above their class mean,Student B — a lower z-score is always better,Cannot determine without knowing the actual scores,Cannot determine without knowing both class means,20,1,,,,,,,,,,,,,,,,,,
11,"In a normal distribution, approximately what percent of values fall within 2 standard deviations of the mean?",95%,68%,99.7%,50%,20,1,,,,,,,,,,,,,,,,,,
12,"In a normal distribution, about 99.7% of values fall within:",3 standard deviations of the mean,2 standard deviations of the mean,1 standard deviation of the mean,6 standard deviations of the mean,20,1,,,,,,,,,,,,,,,,,,
13,"If adult heights are normally distributed with μ = 67 inches and σ = 3 inches, about 68% of adults are between:",64 and 70 inches,61 and 73 inches,58 and 76 inches,67 and 70 inches,30,1,,,,,,,,,,,,,,,,,,
14,P(Z > 1.0) ≈ 0.16. About what percent of values are more than 1 SD above the mean?,16%,84%,34%,50%,20,1,,,,,,,,,,,,,,,,,,
15,"On an AP Statistics exam, when solving a normal probability problem, you must ALWAYS:",Show that you're using a normal distribution and identify the parameters,Just write the final numerical answer,Only use calculator syntax like normalcdf(...),Draw a picture but skip the z-score calculation,20,1,,,,,,,,,,,,,,,,,,
16,"A student writes only normalcdf(10, 1E99, 12, 2) with no explanation. On the AP exam, this would:","Lose credit — you must name the distribution, parameters, and direction",Receive full credit — calculator syntax is sufficient,Receive partial credit — the answer is all that matters,Be marked wrong because calculators aren't allowed,20,1,,,,,,,,,,,,,,,,,,
17,An 'inverse normal' problem is different from a regular normal problem because:,You're given the probability/area and asked to find the value,You use a different formula for the z-score,The distribution is skewed instead of symmetric,You work with proportions instead of means,20,1,,,,,,,,,,,,,,,,,,
