"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"When comparing two quantitative distributions which set of features should be discussed?","sample size labels and graph details","shape center spread and unusual features","trend form direction and strength","sampling plan design and wording",20,2,,,,,,,,,,,,,,,,,,
2,"Why are comparative words important in a response?","They show how one group differs from another","They show where the data were collected","They show that no context is needed","They show why every graph is skewed",20,1,,,,,,,,,,,,,,,,,,
3,"Why should context appear in the comparison?","It proves the graph came from random data","It replaces the need to compare centers","It guarantees the samples are independent","It ties the statements to the real variable",20,4,,,,,,,,,,,,,,,,,,
4,"Why say appears fairly symmetric instead of is symmetric from a box plot?","The box plot marks means not medians","The box plot hides values within quartiles","The box plot ignores minimum values","The box plot requires equal sample sizes",20,2,,,,,,,,,,,,,,,,,,
5,"Which measure of center can a box plot show directly?","the median through the line in the box","the mean through the box midpoint","the mode through the tallest section","the variance through the whisker length",20,1,,,,,,,,,,,,,,,,,,
6,"Which pair best describes variability from side-by-side box plots?","the mean and the center line","the mode and the cluster count","the skew and the sample size","the range and the IQR widths",20,4,,,,,,,,,,,,,,,,,,
7,"What does a larger IQR in one group mean?","Its lowest value sits much farther out","Its middle half is more spread out","Its overall shape must be symmetric","Its sample size must be much larger",20,2,,,,,,,,,,,,,,,,,,
8,"If two box plots have similar box widths but different whisker lengths what may be true?","the medians differ while the ranges match","the means match while the shapes disappear","the ranges differ while the IQRs stay alike","the modes match while the samples double",20,3,,,,,,,,,,,,,,,,,,
9,"Which unusual features are worth comparing when visible?","outliers gaps and clusters","titles labels and legends","causes treatments and claims","rounding units and colors",20,1,,,,,,,,,,,,,,,,,,
10,"Which response shows a common comparison error?","It compares medians and IQRs directly","It describes each group with no comparison","It names the variable in the first line","It notes an outlier in only one group",20,2,,,,,,,,,,,,,,,,,,
11,"If two groups have the same median but different ranges what is the best conclusion?","Their centers differ and spreads match","Their shapes match and spread is irrelevant","Their outliers must be identical","Their centers align but spreads differ",20,4,,,,,,,,,,,,,,,,,,
12,"Which sentence uses comparison language correctly?","Each group has a median in its box","The median is the line inside the box","Group A has about the same median as Group B","A median exists whenever a box is drawn",20,3,,,,,,,,,,,,,,,,,,
13,"Why is Group A has a median a weak comparison sentence?","It lacks context and direct comparison","It uses a measure box plots cannot show","It confuses variability with outliers","It assumes the graph must be symmetric",20,1,,,,,,,,,,,,,,,,,,
14,"Which graphical display can compare two independent quantitative samples?","a scatterplot of the two variables","side-by-side histograms or box plots","a pie chart with category shares","a bar chart of one sample mean",20,2,,,,,,,,,,,,,,,,,,
15,"Which statement about numerical summaries is correct?","Only raw data can compare two samples","Only medians can compare two samples","Only box plots can compare two samples","Numerical summaries can compare two samples",20,4,,,,,,,,,,,,,,,,,,
16,"If you are given only box plots why is using the mean risky?","The mean only works for small samples","The mean equals the IQR in box plots","The mean is hidden but the median is shown","The mean cannot compare two groups",20,3,,,,,,,,,,,,,,,,,,
17,"What should come before claiming one group is better?","estimate every missing raw value","replace the plot with a formula","cite a visible feature and explain it","assume the tallest point is typical",20,3,,,,,,,,,,,,,,,,,,
18,"A valid reason to prefer a group with high outliers is that","its median must be the highest value","its IQR must be the smallest spread","its sample must be the largest group","it offers a chance at especially high values",20,4,,,,,,,,,,,,,,,,,,
19,"A valid reason to prefer a group with a higher minimum is that","its lowest outcomes seem less low","its shape must be more symmetric","its outliers must be more extreme","its center must be exactly the same",20,1,,,,,,,,,,,,,,,,,,
20,"What makes a comparison complete on an AP style response?","using one graph detail with a personal opinion","using exact arithmetic for each visible quartile","using all four features with context and comparison","using only center because it seems most stable",20,3,,,,,,,,,,,,,,,,,,
21,"Which claim is too strong from box plots alone?","the groups have similar medians","one group is certainly bimodal","the spreads look different","one group has visible outliers",20,2,,,,,,,,,,,,,,,,,,
22,"If side-by-side histograms are used instead of box plots what can still be compared?","center spread shape and outliers","causation treatment and bias","sampling frames and wording","legends fonts and titles",20,1,,,,,,,,,,,,,,,,,,
23,"Which pair is a reasonable numerical comparison of center and variability?","title and axis direction","color and bar spacing","label and sample story","mean and standard deviation",20,4,,,,,,,,,,,,,,,,,,
24,"Which pair is also a reasonable numerical comparison of center and variability?","mode and response rate","median and IQR together","cluster and gap size","title and sample year",20,2,,,,,,,,,,,,,,,,,,
25,"When two graphs look similar in center and shape what should you still check?","whether the font sizes match","whether the labels are centered","variability and unusual features","whether the bins use color",20,3,,,,,,,,,,,,,,,,,,
26,"Which statement best compares unusual features?","Group A has outliers while Group B does not","Each sample has values on the scale","Both plots have boxes and whiskers","The variable is measured in one unit",20,1,,,,,,,,,,,,,,,,,,
27,"What is a common mistake when comparing two quantitative distributions?","using comparative words with context","checking spread along with center","treating separate descriptions as a comparison","noting visible gaps or outliers",20,3,,,,,,,,,,,,,,,,,,
28,"Which statement best links evidence to interpretation?","The graph is clean so the group is better","The sample is large so the graph must fit","The title is clear so the choice is obvious","The minimum is higher so low outcomes seem safer",20,4,,,,,,,,,,,,,,,,,,
