"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What is DECLARATIVE KNOWLEDGE?","Statements of fact - what is true","A procedure for how to do something","Rules for valid program syntax","The meaning of an expression",20,1,,,,,,,,,,,,,,,,,,
2,"Statements of fact that tell us 'what is true' describe which type of knowledge?","Imperative Knowledge","Declarative Knowledge","Procedural Knowledge","Semantic Knowledge",20,2,,,,,,,,,,,,,,,,,,
3,"What is IMPERATIVE KNOWLEDGE?","A procedure for how to do something","Statements of fact about the world","Rules for which strings are legal","The result of an expression",20,1,,,,,,,,,,,,,,,,,,
4,"A recipe or procedure that tells us HOW to do something describes which type of knowledge?","Declarative Knowledge","Syntactic Knowledge","Imperative Knowledge","Static Knowledge",20,3,,,,,,,,,,,,,,,,,,
5,"What are the THREE parts of an ALGORITHM?","Sequence of steps, flow of control, and stopping condition","Input, processing, and output","Variables, operators, and expressions","Syntax, semantics, and pragmatics",20,1,,,,,,,,,,,,,,,,,,
6,"A recipe for computation with steps, flow of control, and a stopping condition is called a(n):","Expression","Algorithm","Variable","Binding",20,2,,,,,,,,,,,,,,,,,,
7,"What is a FIXED-PROGRAM COMPUTER?","A computer that can only do one specific task","A computer that can run any program","A computer with permanent memory","A computer that never crashes",20,1,,,,,,,,,,,,,,,,,,
8,"A computer that can only perform one specific task (like a calculator) is called a:","Stored-Program Computer","Universal Computer","Fixed-Program Computer","Turing Machine",20,3,,,,,,,,,,,,,,,,,,
9,"What is a STORED-PROGRAM COMPUTER?","A computer that treats instructions as data so it can run many programs","A computer that can only run one program","A computer with very large storage","A computer that saves all its work",20,1,,,,,,,,,,,,,,,,,,
10,"A computer that treats instructions as data, allowing it to run different programs, is called a:","Fixed-Program Computer","Stored-Program Computer","Static Computer","Hardware Computer",20,2,,,,,,,,,,,,,,,,,,
11,"What does TURING COMPLETENESS mean?","Anything computable in one language is computable in any other Turing-complete language","A program that never has errors","A computer that can solve any problem instantly","A language that is easy to learn",20,1,,,,,,,,,,,,,,,,,,
12,"The principle that simple primitives can compute anything computable is called:","Moore's Law","Turing Completeness","Von Neumann Architecture","Boolean Logic",20,2,,,,,,,,,,,,,,,,,,
13,"What is SYNTAX in programming?","Rules for which strings or forms are legal in a language","The meaning of a valid expression","Errors that crash the program","The speed of program execution",20,1,,,,,,,,,,,,,,,,,,
14,"The rules that determine which strings are valid in a programming language describe the language's:","Semantics","Static Semantics","Syntax","Logic",20,3,,,,,,,,,,,,,,,,,,
15,"What is STATIC SEMANTICS?","Rules for which syntactically valid strings have meaning","Rules for which strings are grammatically correct","The output of running a program","The speed of compilation",20,1,,,,,,,,,,,,,,,,,,
16,"Determining whether a syntactically valid expression has meaning is part of:","Syntax checking","Static Semantics","Runtime Semantics","Type Inference",20,2,,,,,,,,,,,,,,,,,,
17,"What is SEMANTICS in programming?","The meaning of a syntactically valid expression","The rules for valid grammar","The speed of execution","The size of the program",20,1,,,,,,,,,,,,,,,,,,
18,"The actual meaning of a valid program statement describes the program's:","Syntax","Static Semantics","Semantics","Pragmatics",20,3,,,,,,,,,,,,,,,,,,
19,"What is a SYNTACTIC ERROR?","An error that violates the grammar rules of the language","An error where the program runs but gives wrong results","An error where valid code has no meaning","An error that occurs randomly",20,1,,,,,,,,,,,,,,,,,,
20,"An error that violates the grammar rules (like missing parentheses) is called a:","Semantic Error","Syntactic Error","Logic Error","Runtime Error",20,2,,,,,,,,,,,,,,,,,,
21,"What is a STATIC SEMANTIC ERROR?","Code that is grammatically correct but meaningless (like adding a string to a number)","Code that violates grammar rules","Code that runs but gives wrong output","Code that runs too slowly",20,1,,,,,,,,,,,,,,,,,,
22,"The expression 'hi' + 5 is an example of which error type in Python?","Syntactic Error","Static Semantic Error","Logic Error","Compilation Error",20,2,,,,,,,,,,,,,,,,,,
23,"What is a SEMANTIC (LOGICAL) ERROR?","The program runs but produces incorrect results","The program won't start due to bad grammar","The program has no meaning","The program runs too slowly",20,1,,,,,,,,,,,,,,,,,,
24,"Which error type is HARDEST to find and fix?","Syntactic errors - the interpreter can't help","Static semantic errors - they crash immediately","Semantic/logical errors - the program runs but gives wrong results","All error types are equally difficult",20,3,,,,,,,,,,,,,,,,,,
25,"In Python, what is an INT?","A whole number (integer) like 5 or -3","A decimal number like 3.14","A True or False value","A special 'nothing' value",20,1,,,,,,,,,,,,,,,,,,
26,"The Python type for whole numbers like 42 or -7 is called:","float","bool","int","str",20,3,,,,,,,,,,,,,,,,,,
27,"In Python, what is a FLOAT?","A decimal (real) number like 3.14 or -2.5","A whole number like 5 or -3","A True or False value","A text string",20,1,,,,,,,,,,,,,,,,,,
28,"The Python type for decimal numbers like 2.718 is called:","int","float","decimal","real",20,2,,,,,,,,,,,,,,,,,,
29,"In Python, what is a BOOL?","A True or False value","A whole number","A decimal number","A text string",20,1,,,,,,,,,,,,,,,,,,
30,"The Python type that can only be True or False is called:","binary","boolean","bool","bit",20,3,,,,,,,,,,,,,,,,,,
31,"In Python, what is NONETYPE?","The type of the special value None (represents absence of value)","The type for negative numbers","The type for empty strings","The type for zero",20,1,,,,,,,,,,,,,,,,,,
32,"The special Python value that represents 'nothing' or absence of a value is:","Null","Empty","None","Void",20,3,,,,,,,,,,,,,,,,,,
