"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Why do statisticians often prefer a random sample to a census?","It avoids defining the population","It is usually easier to collect","It guarantees the exact value","It removes random variation",20,2,,,,,,,,,,,,,,,,,,
2,"What makes a sample a simple random sample?","Each person has the same chance to respond","Each cluster has the same number of cases","Each sample of that size is equally likely","Each stratum is included in full each time",20,3,,,,,,,,,,,,,,,,,,
3,"Which step fits a common way to select an SRS?","Number all subjects and randomly pick labels","Choose one cluster and survey everyone","Choose a fixed interval after one start","Sample one person from every stratum",20,1,,,,,,,,,,,,,,,,,,
4,"What does sampling without replacement mean?","A selected item is measured twice later","A selected item starts a new subgroup","A selected item can return to the pool","A selected item cannot be chosen again",20,4,,,,,,,,,,,,,,,,,,
5,"What does sampling with replacement mean?","A chosen item is removed from the pool","A chosen item may be selected again","A chosen item must stay in its stratum","A chosen item counts for every cluster",20,2,,,,,,,,,,,,,,,,,,
6,"Which description best matches a census?","A study using a fixed interval from one list","A study using one sample from each group","A study measuring every subject in the population","A study using random labels from a full list",20,3,,,,,,,,,,,,,,,,,,
7,"Why is a random sample useful for learning about a population?","It can better represent the population","It can eliminate all sample variation","It can make any method easy to carry out","It can guarantee the exact parameter value",20,1,,,,,,,,,,,,,,,,,,
8,"Which situation is best suited for a systematic random sample?","Subjects live across many distant blocks","Subjects fall into clear trait groups","Subjects must all be surveyed at once","Subjects appear in an ordered line",20,4,,,,,,,,,,,,,,,,,,
9,"What must happen first in a systematic random sample?","Select every case in one chosen cluster","Choose a random starting position","Sample one case from every stratum","Measure the whole population first",20,2,,,,,,,,,,,,,,,,,,
10,"What is the main difference between cluster and stratified sampling?","Cluster selects groups first while stratified builds groups first","Cluster samples by location while stratified samples by interval","Cluster takes whole groups while stratified samples within groups","Cluster uses one random draw while stratified uses many random draws",20,3,,,,,,,,,,,,,,,,,,
11,"In a stratified random sample the strata should be","similar within each group","near each other in place","selected after the sample","equal in size each time",20,1,,,,,,,,,,,,,,,,,,
12,"In a cluster sample the selected clusters are used by","sampling one person from each cluster","sampling only the cluster averages","sampling every other person there","sampling all people in those clusters",20,4,,,,,,,,,,,,,,,,,,
13,"Which grouping is ideal for effective cluster sampling?","Groups are homogeneous and distinct","Groups are mixed within and similar across","Groups are equal in size and all chosen","Groups are small in size and hard to reach",20,2,,,,,,,,,,,,,,,,,,
14,"Why can stratified sampling reduce variability?","It avoids any random choice inside groups","It keeps every cluster exactly the same","It includes some cases from each similar group","It makes every estimate equal the parameter",20,3,,,,,,,,,,,,,,,,,,
15,"Why can cluster sampling have high variability in some settings?","Chosen clusters may differ a lot from each other","Chosen strata may all use the same interval","Chosen subjects may all come from one list","Chosen samples may all include replacement",20,1,,,,,,,,,,,,,,,,,,
16,"Which method is most appropriate when travel across a city is difficult?","A census across the full city","An SRS across the full city","A stratified sample in all regions","A cluster sample in a few regions",20,4,,,,,,,,,,,,,,,,,,
17,"Which method is most appropriate when each subgroup should be represented?","Use one cluster and survey everyone","Use a stratified sample across groups","Use a fixed interval from one long list","Use a nearby sample from each area",20,2,,,,,,,,,,,,,,,,,,
18,"Which statement about random sampling is most accurate?","It removes the need for caution in conclusions","It makes all sampling methods equally precise","It helps reduce systematic favoritism in selection","It guarantees estimates land on the true value",20,3,,,,,,,,,,,,,,,,,,
19,"Which statement shows a misunderstanding of stratified sampling?","One whole stratum can serve as the full sample","Strata are based on shared characteristics","Sampling occurs within each stratum first","Selected cases are combined into one sample",20,1,,,,,,,,,,,,,,,,,,
20,"Which statement shows a misunderstanding of cluster sampling?","Clusters are often formed from nearby cases","Selected clusters include all their cases","Clusters should each resemble mini populations","Every cluster must be sampled by SRS inside",20,4,,,,,,,,,,,,,,,,,,
21,"Why is numbering subjects helpful before taking an SRS?","It creates homogeneous groups automatically","It lets random labels identify the sample","It turns the sample into a census of the list","It prevents any need to define the population",20,2,,,,,,,,,,,,,,,,,,
22,"Which description does NOT fit a simple random sample?","A random number generator can be used","Every sample of that size is equally likely","Only one subgroup needs to appear each time","Repeated labels are ignored without replacement",20,3,,,,,,,,,,,,,,,,,,
23,"Why might a census still be difficult even though it uses all subjects?","It can take too much time and effort","It can only be used for tiny groups","It can never describe a parameter","It can never avoid repeated selection",20,1,,,,,,,,,,,,,,,,,,
24,"A principal wants opinions by choosing every 15th student after a random start. Which method is this?","Cluster random sample","Stratified random sample","Simple random sample","Systematic random sample",20,4,,,,,,,,,,,,,,,,,,
25,"A researcher divides voters by party and randomly samples within each party. Which method is this?","Cluster random sample","Stratified random sample","Systematic random sample","Simple random sample",20,2,,,,,,,,,,,,,,,,,,
26,"A city is divided into blocks and a few blocks are randomly chosen. Everyone on those blocks is surveyed. Which method is this?","Systematic random sample","Simple random sample","Cluster random sample","Stratified random sample",20,3,,,,,,,,,,,,,,,,,,
27,"Why is stratified sampling often more complicated to carry out?","It requires sampling inside every stratum","It requires measuring the whole population","It requires removing all random choice","It requires choosing only nearby subjects",20,1,,,,,,,,,,,,,,,,,,
28,"Which question should you ask before choosing a sampling method?","Will this method make all answers match","Will this method remove all chance error","Will this method avoid defining the group","Will this method fit the population structure",20,4,,,,,,,,,,,,,,,,,,
29,"What feature makes systematic sampling easier to collect?","It uses all subjects in one chosen group","It follows one fixed pattern after one start","It guarantees each group is homogeneous","It makes every estimate equally precise",20,2,,,,,,,,,,,,,,,,,,
30,"Which statement best explains why method choice matters?","Different methods change only how the survey is worded","Different methods remove the need for careful random selection","Different methods change how representative the sample may be","Different methods make the population definition unimportant",20,3,,,,,,,,,,,,,,,,,,
