"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does correlation r summarize?","direction and strength of a linear association","center and spread of one distribution","shape and spread of one histogram","count and percent of one category",20,1,,,,,,,,,,,,,,,,,,
2,"For a negative r what happens?","larger x tends to pair with larger y","larger x tends to pair with smaller y","smaller x tends to pair with any y","smaller x tends to force larger y",20,2,,,,,,,,,,,,,,,,,,
3,"Which r value suggests the strongest linear association?","r = 0.12","r = -0.28","r = -0.91","r = 0.44",20,3,,,,,,,,,,,,,,,,,,
4,"If r is close to 0 what can you conclude?","the variables must have equal means","the graph must show no pattern at all","the variables must use matching units","there is little or no linear association",20,4,,,,,,,,,,,,,,,,,,
5,"Why is r called unit-free?","changing measurement units does not change r","changing sample size does not change r","changing graph titles does not change r","changing causal order does not change r",20,1,,,,,,,,,,,,,,,,,,
6,"Which data set is appropriate for correlation?","class period and lunch preference","height in inches and arm span in inches","school name and attendance group","favorite sport and practice level",20,2,,,,,,,,,,,,,,,,,,
7,"Why do students usually use technology to find r?","technology changes weak data to strong","technology removes the need for graphs","technology is the common way to compute r","technology guarantees a causal conclusion",20,3,,,,,,,,,,,,,,,,,,
8,"What does r = 1 mean?","a weak increasing linear association","a strong decreasing linear association","no visible linear association at all","a perfect increasing linear association",20,4,,,,,,,,,,,,,,,,,,
9,"What does r = -1 mean?","a perfect decreasing linear association","a perfect increasing linear association","no measurable linear association","a moderate curved association",20,1,,,,,,,,,,,,,,,,,,
10,"Which claim goes too far from a strong correlation alone?","the variables have a clear direction","changing x will cause y to change","the linear pattern seems fairly strong","the variables move together in data",20,2,,,,,,,,,,,,,,,,,,
11,"Why should you still examine the scatterplot after finding r?","to decide whether the units should match","to make sure the sample size is zero","to check form and unusual features","to turn the relationship into causation",20,3,,,,,,,,,,,,,,,,,,
12,"Which feature cannot be learned from r alone?","whether the sign is positive or negative","whether the linear strength is weak or strong","whether the value lies between -1 and 1","whether a strange outlier is present",20,4,,,,,,,,,,,,,,,,,,
13,"When r is positive what trend is described?","larger x tends to go with larger y","larger x tends to go with smaller y","larger x tends to fix the value of y","larger x tends to remove all scatter",20,1,,,,,,,,,,,,,,,,,,
14,"Which statement best uses the magnitude of r?","the sign tells whether the line bends","the magnitude tells how strong the linear trend is","the magnitude tells whether x causes y","the magnitude tells how many points were sampled",20,2,,,,,,,,,,,,,,,,,,
15,"A large |r| does not guarantee a good linear model because","r changes whenever the axis labels change","r only works when the sample is tiny","r does not show form or unusual features","r must always be exactly 1 or -1",20,3,,,,,,,,,,,,,,,,,,
16,"Which statement about correlation values is true?","they can be any positive number","they can be any negative number","they always stay between 0 and 1","they always stay between -1 and 1",20,4,,,,,,,,,,,,,,,,,,
17,"Which student statement correctly interprets r = 0?","there is no linear association","there is no relationship of any kind","there is a perfect curved association","there is a weak positive association",20,1,,,,,,,,,,,,,,,,,,
18,"Which question should come before reporting r?","Did both variables use the same unit?","Are both variables quantitative?","Was the sample size a multiple of ten?","Do the variables have matching means?",20,2,,,,,,,,,,,,,,,,,,
19,"Which phrase best distinguishes direction from strength?","direction uses units and strength uses labels","direction uses sample size and strength uses means","direction comes from sign and strength comes from magnitude","direction comes from graphs and strength comes from causation",20,3,,,,,,,,,,,,,,,,,,
20,"Which description is most consistent with a strong negative r?","points rise and spread far from a line","points fall but spread far from a line","points rise and stay close to a line","points fall and stay close to a line",20,4,,,,,,,,,,,,,,,,,,
21,"Why is correlation useful for prediction with a linear model?","it summarizes how tightly points follow a line","it guarantees the response will change by a set amount","it proves the explanatory variable is the cause","it replaces the need to inspect the graph",20,1,,,,,,,,,,,,,,,,,,
22,"Which statement is a common correlation mistake?","A negative r shows a downward trend","A strong r proves a cause and effect link","A weak r shows little linear pattern","A positive r shows an upward trend",20,2,,,,,,,,,,,,,,,,,,
23,"If two variables have a perfect linear association then","r must be close to 0","r must be between 0 and 0.5","r must be exactly 1 or exactly -1","r must be larger than 1",20,3,,,,,,,,,,,,,,,,,,
24,"Which statement about the formula for r matches AP Stats practice?","students avoid technology and use only algebra","students estimate r from the graph only","students round r before checking the plot","students most often use technology to find r",20,4,,,,,,,,,,,,,,,,,,
25,"Which graph detail requires more than the value of r?","whether the pattern curves in the middle","whether the sign is positive or negative","whether the strength is weak or strong","whether the value can equal -1",20,1,,,,,,,,,,,,,,,,,,
26,"A correlation near -0.05 suggests","a strong decreasing linear association","little or no linear association","a perfect increasing linear association","a moderate positive linear association",20,2,,,,,,,,,,,,,,,,,,
27,"Which revision makes this claim safer: 'r is large so x causes y'","r is small so x still causes y","r is large so no graph is needed","r is large so x and y are strongly associated","r is large so the line must fit every point",20,3,,,,,,,,,,,,,,,,,,
28,"Why might a scatterplot matter even when r is impressive?","it can change the units in both variables","it can force a perfect causal conclusion","it can move r outside its allowed range","it can reveal unusual points or nonlinearity",20,4,,,,,,,,,,,,,,,,,,
