"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does a residual compare in a regression setting?","the actual response and the predicted response","the explanatory value and the response value","the slope estimate and the intercept estimate","the observed x value and the predicted x value",20,1,,,,,,,,,,,,,,,,,,
2,"What is the main reason residual is defined as y minus y-hat?","so positive values mean the slope is increasing","so positive values mean the model predicted too low","so negative values mean the x value is unusual","so zero values mean the sample is very large",20,2,,,,,,,,,,,,,,,,,,
3,"What does a residual of zero tell you about one data point?","the fitted line has no overall association","the selected model used a curved equation","the predicted response matched the actual response","the observed point sits at the average x value",20,3,,,,,,,,,,,,,,,,,,
4,"Which quantity is plotted on the y-axis of a residual plot?","the observed response for each point","the predicted response for each point","the explanatory value for each point","the residual value for each point",20,4,,,,,,,,,,,,,,,,,,
5,"Which quantity often remains on the x-axis of a residual plot?","the explanatory value for each point","the residual value for each point","the slope from the fitted model","the average response for the sample",20,1,,,,,,,,,,,,,,,,,,
6,"What must you do before you can build a residual plot?","compare the groups with a side by side graph","calculate the residual for each observed point","remove all points with negative residuals","round each predicted value to a whole number",20,2,,,,,,,,,,,,,,,,,,
7,"Why do statisticians examine a residual plot after fitting a line?","to decide whether the sample was random","to measure whether the slope is positive","to see whether the model missed a pattern","to count how many points were collected",20,3,,,,,,,,,,,,,,,,,,
8,"Which residual plot pattern best supports using a linear model?","a curved band that rises and then falls","a cluster that stays only above zero","a wave pattern across the x values","a random scatter centered near zero",20,4,,,,,,,,,,,,,,,,,,
9,"Which residual plot feature is the strongest warning sign for a line?","a clear curved pattern across x values","points scattered on both sides of zero","small changes from one point to the next","residuals centered close to zero overall",20,1,,,,,,,,,,,,,,,,,,
10,"If residuals are mostly positive in one region of x then the model","tends to overpredict in that region","tends to underpredict in that region","proves a causal link in that region","uses the wrong x units in that region",20,2,,,,,,,,,,,,,,,,,,
11,"If residuals are mostly negative in one region of x then the model","tends to underpredict in that region","shows no association in that region","tends to overpredict in that region","shows equal spread in that region",20,3,,,,,,,,,,,,,,,,,,
12,"What does apparent randomness in a residual plot usually suggest?","the response values have no variation","the model predicts every point exactly","the explanatory values were randomly chosen","the linear form is a reasonable choice",20,4,,,,,,,,,,,,,,,,,,
13,"What does a visible pattern in residuals usually suggest?","the selected model missed some structure","the selected model captured every trend","the selected model proves causation","the selected model has no uncertainty",20,1,,,,,,,,,,,,,,,,,,
14,"How does a residual plot differ from the original scatterplot?","it replaces x values with residual values","it replaces y values with residual values","it removes points below the fitted line","it turns the data into bar heights",20,2,,,,,,,,,,,,,,,,,,
15,"Which statement about a positive residual is incorrect?","the actual response was above the prediction","the model predicted too low for that point","the model predicted too high for that point","the point lies above the fitted line",20,3,,,,,,,,,,,,,,,,,,
16,"What does a large residual in absolute value usually mean?","the explanatory value is far from the mean","the fitted slope is far from one unit","the collected sample has many data points","the prediction was far from the actual value",20,4,,,,,,,,,,,,,,,,,,
17,"When residuals follow an up down up pattern the best conclusion is","a linear model may be missing curvature","a linear model fits the pattern very well","the residuals are just random noise","the points should be deleted before fitting",20,1,,,,,,,,,,,,,,,,,,
18,"What does centering around zero mean in a residual plot?","all residuals equal the same number","residuals balance above and below zero","predictions always exceed observations","x values cluster near the sample mean",20,2,,,,,,,,,,,,,,,,,,
19,"Which question is a residual plot designed to help answer?","Was the collected sample size large enough","Was the population normally distributed","Was the selected model appropriate","Was the association definitely causal",20,3,,,,,,,,,,,,,,,,,,
20,"Which graph focuses on prediction errors instead of raw responses?","a scatterplot of x and observed responses","a boxplot of response values by group","a histogram of explanatory values","a residual plot for the fitted model",20,4,,,,,,,,,,,,,,,,,,
21,"If a residual plot shows random scatter but not exact zeros then","the leftover variation still looks random","the fitted model is useless for prediction","the association must be strongly nonlinear","the residuals were computed in reverse",20,1,,,,,,,,,,,,,,,,,,
22,"Which description fits residuals from a good linear model?","they follow a smooth curved path","they vary randomly around zero","they stay on one side of zero","they increase steadily with x",20,2,,,,,,,,,,,,,,,,,,
23,"Why might a nonlinear model be considered after checking residuals?","the plot shows random scatter near zero","the plot uses predicted values on an axis","the plot shows a systematic pattern","the plot contains positive and negative values",20,3,,,,,,,,,,,,,,,,,,
24,"Which statement about residual plots is true?","they prove the chosen line is correct","they replace the need for a scatterplot","they require all residuals to be positive","they plot errors against x or predicted values",20,4,,,,,,,,,,,,,,,,,,
25,"What does the vertical distance from a point to the fitted line represent?","the residual for that observed point","the average response for that sample","the explanatory value for that point","the slope of the fitted regression",20,1,,,,,,,,,,,,,,,,,,
26,"Which residual plot would most clearly reject a linear model?","one with random scatter near zero","one with a repeating curved band","one with points on both sides of zero","one with a few small positive values",20,2,,,,,,,,,,,,,,,,,,
27,"Why can a residual plot make model problems easier to notice?","it doubles the number of points shown","it turns the sample into categories","it isolates the prediction errors","it forces every residual to be positive",20,3,,,,,,,,,,,,,,,,,,
28,"When using residual plots what evidence supports a linear form?","a clear trend moving away from zero","a cluster only at the largest x values","a smooth curve across the entire plot","no clear pattern around zero overall",20,4,,,,,,,,,,,,,,,,,,
