"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"In a large high school, 30% of students have a driver's license. You take a random sample of 50 students and calculate p-hat. What does p-hat represent?","The proportion of students with a license in your sample","The proportion of students with a license in the population","The number of students with a license in your sample","The number of students with a license in the population",25,1,,,,,,,,,,,,,,,,,,
2,"You take a random sample of 50 students and get p-hat = 0.24. A classmate takes a different sample of 50 and gets p-hat = 0.38. Why are the values different?","Sampling variability — different samples naturally give different results","One of the samples must have been collected incorrectly","The population proportion must have changed between samples","The sample size of 50 is too small to give consistent results",25,1,,,,,,,,,,,,,,,,,,
3,"What is the mean of the sampling distribution of p-hat?","It equals p, the true population proportion","It equals p-hat, the sample proportion from one sample","It equals the average of all collected sample proportions","It equals the standard deviation divided by the sample size",25,1,,,,,,,,,,,,,,,,,,
4,"The formula for the standard deviation of p-hat is √(p(1−p)/n). What does n represent?","The size of each random sample taken from the population","The total number of samples taken from the population","The size of the entire population being studied","The number of successes observed in a single sample",25,1,,,,,,,,,,,,,,,,,,
5,"For the standard deviation formula σ_p-hat = √(p(1−p)/n) to be valid, what condition must be met?","The sample size must be less than 10% of the population size","The sample size must be greater than 10% of the population","The sample must contain at least 10 successes and 10 failures","The population must follow an approximately normal distribution",25,1,,,,,,,,,,,,,,,,,,
6,"In a high school with 2,000 students, 30% have a driver's license. For a random sample of n = 50 students, what is the mean of the sampling distribution of p̂?","0.30","0.065","15","50",20,1,,,,,,,,,,,,,,,,,,
7,"A high school has 2,000 students with p = 0.30. For n = 50, what is σ_p-hat?","0.065","0.300","0.030","0.210",20,1,,,,,,,,,,,,,,,,,,
8,"For n = 50 and p = 0.30, is the 10% condition met if the population has 2,000 students?","Yes, because 50 is less than 10% of 2,000 (which is 200)","No, because 50 is more than 10% of 2,000 (which is 20)","Yes, because 2,000 is more than 10 times the sample mean","No, because the population must be at least 50,000 students",25,1,,,,,,,,,,,,,,,,,,
9,"What is the Large Counts condition for the sampling distribution of p-hat to be approximately normal?","np ≥ 10 and n(1 − p) ≥ 10","n ≥ 30 and the population is symmetric","np ≥ 30 and n(1 − p) ≥ 30","n ≥ 10 and the sample is randomly selected",25,1,,,,,,,,,,,,,,,,,,
10,"For n = 50 and p = 0.30, what is the value of np?","15","35","0.30","50",20,1,,,,,,,,,,,,,,,,,,
11,"For n = 50 and p = 0.30, what is the value of n(1 − p)?","35","15","0.70","50",20,1,,,,,,,,,,,,,,,,,,
12,"For n = 50 and p = 0.30, is the Large Counts condition met?","Yes, because np = 15 ≥ 10 and n(1−p) = 35 ≥ 10","Yes, because the sample size 50 is greater than 30","No, because 50 is not large enough for any proportion","No, because np must be at least 30 for normality",25,1,,,,,,,,,,,,,,,,,,
13,"When the Large Counts condition is met, the sampling distribution of p-hat is:","Approximately normal in shape","Exactly normal in shape","Skewed toward the proportion p","Uniformly spread across all proportions",20,1,,,,,,,,,,,,,,,,,,
14,"What does μ_p-hat = 0.30 tell us in the driver's license example?","The average of all possible sample proportions from samples of this size is 0.30","Every sample of 50 students will have exactly 30% with a license","The standard deviation of the sample proportions is 0.30","The probability of a student having a license is exactly 0.30",25,1,,,,,,,,,,,,,,,,,,
15,"When interpreting σ_p-hat = 0.065, which word is ESSENTIAL to include?","Typically — sample proportions typically vary by about 0.065 from p","Exactly — sample proportions are exactly 0.065 away from p","Always — sample proportions always differ by 0.065 from p","Possibly — sample proportions could possibly vary by 0.065",25,1,,,,,,,,,,,,,,,,,,
16,"A correct interpretation of σ_p-hat = 0.065 must reference:","All possible random samples of this size from the population","The one specific sample that was actually collected","The entire population of 2,000 students at the school","The probability of any individual student having a license",25,1,,,,,,,,,,,,,,,,,,
17,"Josh Tabor says knowing how much a statistic typically varies is important because it connects to:","Confidence intervals in later units of AP Statistics","Finding the population parameter with perfect accuracy","Proving that every sample gives the correct answer","Calculating the exact size of the population",25,1,,,,,,,,,,,,,,,,,,
18,"To find P(p-hat ≤ 0.12) when μ = 0.30 and σ = 0.065, the first step is to:","Draw a normal curve centered at 0.30 and shade left of 0.12","Calculate 0.12 / 0.30 to get the relative proportion","Subtract 0.12 from 1 to find the complement probability","Multiply 0.12 by 50 to convert to a count of students",25,1,,,,,,,,,,,,,,,,,,
19,"What is the z-score for p-hat = 0.12 when μ_p-hat = 0.30 and σ_p-hat = 0.065?","−2.77","−1.85","2.77","1.85",20,1,,,,,,,,,,,,,,,,,,
20,"A z-score of −2.77 means that p-hat = 0.12 is:","2.77 standard deviations below the mean of the sampling distribution","2.77 percent below the population proportion of 0.30","0.12 standard deviations below the center of the distribution","2.77 times less likely than the most common sample proportion",25,1,,,,,,,,,,,,,,,,,,
21,"Using Table A or technology, P(p-hat ≤ 0.12) ≈ 0.0028. How do we interpret this?","About 0.28% of all samples of size 50 would give p-hat ≤ 0.12","About 28% of all samples of size 50 would give p-hat ≤ 0.12","There is a 2.8% chance the population proportion is 0.12","Exactly 0.28 students out of 50 would have a driver's license",25,1,,,,,,,,,,,,,,,,,,
22,"Since P(p-hat ≤ 0.12) = 0.0028, getting p-hat = 0.12 from this population would be:","Very unusual — it happens in less than 1% of all possible samples","Fairly common — it happens in about 28% of all possible samples","Impossible — a probability this small means it cannot ever occur","Expected — all sample proportions near 0.12 are equally likely",25,1,,,,,,,,,,,,,,,,,,
23,"Knowing which values of a statistic are unusual connects to which concept in later units?","Significance tests for making conclusions about populations","Calculating exact population parameters from sample data","Proving that all samples give the same sample proportion","Eliminating all sampling variability from future studies",25,1,,,,,,,,,,,,,,,,,,
24,"A polling company surveys n = 100 people from a large city where 40% support a new policy. What is the mean of the sampling distribution of p̂?","0.40","0.049","40","100",20,1,,,,,,,,,,,,,,,,,,
25,"For p = 0.40 and n = 100, what is σ_p-hat?","√(0.40 × 0.60 / 100) ≈ 0.049","√(0.40 × 0.60 × 100) ≈ 4.90","0.40 × 0.60 / 100 = 0.0024","0.40 / √100 = 0.040",25,1,,,,,,,,,,,,,,,,,,
26,"For p = 0.40 and n = 100, check the Large Counts condition: np = ? and n(1−p) = ?","np = 40 and n(1−p) = 60","np = 0.40 and n(1−p) = 0.60","np = 4 and n(1−p) = 6","np = 100 and n(1−p) = 100",20,1,,,,,,,,,,,,,,,,,,
27,"If np = 40 and n(1−p) = 60, is the sampling distribution of p-hat approximately normal?","Yes, because both 40 ≥ 10 and 60 ≥ 10 are satisfied","Yes, because the sample size of 100 is greater than 30","No, because np must be at least 50 for approximate normality","No, because the population proportion is not close to 0.50",25,1,,,,,,,,,,,,,,,,,,
28,"A factory has a 5% defect rate (p = 0.05). For n = 200, np = 200(0.05) = 10. What should you note about this?","It just barely meets the Large Counts condition (np = 10 exactly)","It clearly exceeds the Large Counts condition by a wide margin","It fails the Large Counts condition since np must exceed 10","It means the sampling distribution will be perfectly normal",25,1,,,,,,,,,,,,,,,,,,
29,"When calculating a z-score for a sampling distribution of p-hat, the denominator should be:","The standard deviation of the sampling distribution","The population proportion used in the formula","The observed sample proportion from the data","The total number of individuals in the sample",25,1,,,,,,,,,,,,,,,,,,
30,"A student calculates σ_p-hat = p(1−p)/n (without the square root). What did they do wrong?","They forgot to take the square root — the formula is √(p(1−p)/n)","They used the wrong value of p in the numerator of the formula","They should have used n−1 instead of n in the denominator","They should have multiplied by n instead of dividing by n",25,1,,,,,,,,,,,,,,,,,,
31,"When calculating the z-score for a sampling distribution, a student uses p-hat = 0.08 instead of p = 0.05 for σ. What's wrong?","The standard deviation uses the POPULATION proportion p, not p-hat","The standard deviation uses the SAMPLE proportion p-hat, not p","Both p and p-hat give the same result so it doesn't matter","You should use the average of p and p-hat for the standard deviation",25,1,,,,,,,,,,,,,,,,,,
32,"Suppose p = 0.50 and n = 100. Compare this to p = 0.50 and n = 400. What happens to σ_p-hat?","It decreases — larger samples produce less variability in p-hat","It increases — larger samples capture more of the population spread","It stays the same — σ_p-hat depends only on p, not on n","It doubles — σ_p-hat is directly proportional to the sample size",25,1,,,,,,,,,,,,,,,,,,
33,"Which of these would make the sampling distribution of p-hat WIDER (more spread out)?","Using a smaller sample size while keeping p the same","Using a larger sample size while keeping p the same","Increasing the population size while keeping n the same","Taking more samples from the same population",25,1,,,,,,,,,,,,,,,,,,
34,"The formulas for μ_p-hat and σ_p-hat are given on the AP exam. Where can you find them?","On the formula sheet provided with both sections of the exam","Only on the formula sheet for the free-response section","They are not provided — you must memorize both formulas","In the instructions at the beginning of the multiple-choice section",25,1,,,,,,,,,,,,,,,,,,
35,"A student writes: 'The standard deviation is 0.065.' On the AP exam, what's missing from this interpretation?","Context, reference to all possible samples, and the word 'typically'","Nothing — stating the numerical value is sufficient for full credit","The formula used to calculate the standard deviation value","A comparison to the standard deviation of another distribution",25,1,,,,,,,,,,,,,,,,,,
