"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does a confidence interval for a population mean aim to capture?","It captures the sample mean from this study.","It captures the population mean in context.","It captures the chance the claim is correct.","It captures the percent of random samples.",20,2,,,,,,,,,,,,,,,,,,
2,"Which interpretation correctly describes a 95% confidence interval for a population mean?","There is a 95% chance the interval contains the population mean.","There is a 95% chance the sample mean equals the population mean.","We are 95% confident the sample values fit the model.","We are 95% confident the interval captures the population mean.",20,4,,,,,,,,,,,,,,,,,,
3,"What is a common error when interpreting confidence level?","Treating it as a long run capture rate.","Treating it as a repeated sampling result.","Treating it as a probability for one interval.","Treating it as a feature of the sample size.",20,3,,,,,,,,,,,,,,,,,,
4,"Why should a confidence interval interpretation be written in context?","Context names the parameter the interval targets.","Context makes the margin of error smaller.","Context proves the sample was random.","Context changes the level of confidence.",20,1,,,,,,,,,,,,,,,,,,
5,"Before computing a one-sample t-interval for a mean what should come first?","Round the sample data and find t-star.","State the conclusion and justify it later.","Compare the claim with the margin first.","Check conditions and identify the procedure.",20,4,,,,,,,,,,,,,,,,,,
6,"Which procedure fits estimating one population mean from one sample?","a one-sample z-interval for a proportion","a one-sample t-interval for a mean","a two-sample t-interval for two means","a chi-square interval for a deviation",20,2,,,,,,,,,,,,,,,,,,
7,"Why does AP Stats ask for a random sample or randomized experiment before inference?","It supports using the sample to generalize.","It makes the interval exactly centered.","It guarantees the graph is symmetric.","It forces the margin to stay fixed.",20,1,,,,,,,,,,,,,,,,,,
8,"When sampling without replacement why is the 10% condition checked?","It helps guarantee the sample mean equals the claim.","It helps make the sampling model exactly normal.","It helps justify treating observations as independent.","It helps show the parameter is in the interval.",20,3,,,,,,,,,,,,,,,,,,
9,"If the sample size is small what should you inspect before using a t-interval?","Whether the units are familiar to readers.","Whether the graph shows strong skew or outliers.","Whether the mean and median are identical.","Whether the confidence level is exactly 95%.",20,2,,,,,,,,,,,,,,,,,,
10,"What does the plus or minus part of a confidence interval represent?","It represents the point estimate.","It represents the sample size.","It represents the population mean.","It represents the margin of error.",20,4,,,,,,,,,,,,,,,,,,
11,"How is interval width related to margin of error?","The width is half the margin of error.","The width is equal to the margin of error.","The width is twice the margin of error.","The width is unrelated to margin of error.",20,3,,,,,,,,,,,,,,,,,,
12,"If everything else stays the same how does a larger sample size affect margin of error?","It makes the margin of error smaller.","It makes the margin of error larger.","It makes the margin of error unchanged.","It makes the margin depend on context.",20,1,,,,,,,,,,,,,,,,,,
13,"If everything else stays the same how does lowering the confidence level affect the interval?","It makes the interval wider and less precise.","It makes the interval narrower and less confident.","It makes the interval wider and more stable.","It makes the interval unchanged in width.",20,2,,,,,,,,,,,,,,,,,,
