"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,What is the key difference between binomial and geometric distributions?,Binomial has fixed n; geometric has no fixed n,Binomial has no fixed n; geometric has fixed n,Both have the same conditions,Neither requires independent trials,20,1,,,,,,,,,,,,,,,,,,
2,A geometric random variable counts:,The number of trials until the first success,The number of successes in n trials,The probability of success,The mean of the distribution,20,1,,,,,,,,,,,,,,,,,,
3,Which conditions do binomial and geometric distributions share?,"Binary outcomes, independent trials, same probability p",Fixed number of trials,Counting total successes,A probability p that changes each trial,20,1,,,,,,,,,,,,,,,,,,
4,'How many tropical storms until the first hurricane?' suggests which distribution?,Geometric - counting trials until first success,Binomial - counting successes in fixed trials,Normal - continuous outcomes,Uniform - equally likely outcomes,20,1,,,,,,,,,,,,,,,,,,
5,'How many of the next 6 storms will become hurricanes?' suggests which distribution?,Binomial - counting successes in fixed n=6 trials,Geometric - counting until first success,Normal - continuous outcomes,Exponential - time between events,20,1,,,,,,,,,,,,,,,,,,
6,What is the formula for geometric probability?,P(X = x) = (1-p)^(x-1) · p,P(X = x) = (1-p)^x · p,P(X = x) = p^(x-1) · (1-p),"P(X = x) = C(n,x) · p^x · (1-p)^(n-x)",20,1,,,,,,,,,,,,,,,,,,
7,"In the geometric formula P(X=x) = (1-p)^(x-1) · p, what does (1-p)^(x-1) represent?",The probability of (x-1) failures before the first success,The probability of x successes,The expected value,The number of trials,20,1,,,,,,,,,,,,,,,,,,
8,"To find P(4th storm is first hurricane) with p=0.41, the setup is:",(0.59)^3 · (0.41),(0.59)^4 · (0.41),(0.41)^3 · (0.59),(0.41)^4,20,1,,,,,,,,,,,,,,,,,,
9,"For H = number of storms until the first hurricane (p = 0.41), P(H=4) = (0.59)^3(0.41) = 0.0842 means:",There's an 8.42% chance the 4th storm is the first hurricane,4 hurricanes will definitely form,The expected number of hurricanes is 0.0842,84.2% of storms become hurricanes,20,1,,,,,,,,,,,,,,,,,,
10,"To find P(first hurricane by 3rd storm), you calculate:",P(H=1) + P(H=2) + P(H=3),P(H=3) only,P(H≥3),1 - P(H=3),20,1,,,,,,,,,,,,,,,,,,
