"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,What is a random variable?,A numerical outcome of random behavior,A fixed constant,A letter of the alphabet,A probability value,20,1,,,,,,,,,,,,,,,,,,
2,Random variables are labeled with which type of letters?,Capital letters (X Y W),Lowercase letters (x y w),Greek letters (α β γ),Roman numerals (I II III),20,1,,,,,,,,,,,,,,,,,,
3,Which symbol represents a random variable?,X,p,n,μ,20,1,,,,,,,,,,,,,,,,,,
4,Why do we use capital letters for random variables?,To distinguish variables from specific values,Because lowercase is for Greek letters,It is just a tradition with no meaning,To indicate large numbers,20,1,,,,,,,,,,,,,,,,,,
5,If X = number of heads when flipping 3 coins then X is a...,Random variable,Constant,Parameter,Sample,20,1,,,,,,,,,,,,,,,,,,
6,A discrete random variable has values that are...,Countable with gaps between them,Any value in an interval,Always whole numbers only,Impossible to list,20,1,,,,,,,,,,,,,,,,,,
7,Which is an example of a discrete random variable?,Number of students absent today,Height of a randomly selected tree,Time to complete a test,Temperature at noon,20,1,,,,,,,,,,,,,,,,,,
8,A continuous random variable can take...,Infinitely many values in an interval,Only whole number values,Only positive values,Exactly 10 different values,20,1,,,,,,,,,,,,,,,,,,
9,Which is a continuous random variable?,Time to run a marathon,Number of cars in a parking lot,Number of pets owned,Number of text messages sent,20,1,,,,,,,,,,,,,,,,,,
10,Weight of a newborn baby is what type of variable?,Continuous,Discrete,Categorical,Constant,20,1,,,,,,,,,,,,,,,,,,
11,Why is the number of children in a family discrete?,You cannot have 2.5 children,Children are always small,Families are countable,Numbers are discrete,20,1,,,,,,,,,,,,,,,,,,
12,Distance traveled by a car is what type of variable?,Continuous,Discrete,Categorical,Constant,20,1,,,,,,,,,,,,,,,,,,
13,Number of red cards drawn from a deck is...,Discrete,Continuous,Categorical,Constant,20,1,,,,,,,,,,,,,,,,,,
14,Which cannot be a continuous random variable?,Number of correct answers on a quiz,Amount of rainfall in inches,Speed of a car,Length of a phone call,20,1,,,,,,,,,,,,,,,,,,
15,What is a probability distribution?,A table or graph showing all values with their probabilities,A single probability value,The mean of a dataset,A random sample,20,1,,,,,,,,,,,,,,,,,,
16,In a valid probability distribution all probabilities must be...,Between 0 and 1 inclusive,Greater than 0,Equal to each other,Greater than 0.5,20,1,,,,,,,,,,,,,,,,,,
17,The sum of all probabilities in a distribution must equal...,1,0,100,The sample size,20,1,,,,,,,,,,,,,,,,,,
18,If P(X=1)=0.3 and P(X=2)=0.5 and P(X=3)=0.2 is this a valid distribution?,Yes because probabilities sum to 1,No because 0.3 is too small,No because there are only 3 values,Yes because all values are different,30,1,,,,,,,,,,,,,,,,,,
19,Which is NOT a requirement for a probability distribution?,Probabilities must be equal,All probabilities between 0 and 1,Probabilities sum to 1,Every outcome has a probability,20,1,,,,,,,,,,,,,,,,,,
20,If probabilities sum to 0.95 then the distribution is...,Invalid,Valid,Approximately valid,Continuous,20,1,,,,,,,,,,,,,,,,,,
21,A probability of -0.2 in a distribution means...,The distribution is invalid,The event is impossible,The event is certain,The value is negative,20,1,,,,,,,,,,,,,,,,,,
22,If a distribution shows P(X=0)=0.4 and P(X=1)=0.6 then P(X=2)=?,0,0.2,1,Cannot determine,20,1,,,,,,,,,,,,,,,,,,
23,What word describes a distribution that tails off to the right?,Skewed right,Skewed left,Symmetric,Uniform,20,1,,,,,,,,,,,,,,,,,,
24,A symmetric distribution has...,Equal tails on both sides,A long right tail,A long left tail,No center,20,1,,,,,,,,,,,,,,,,,,
25,Skewed left means the distribution tails off toward...,Smaller values,Larger values,The middle,Both directions,20,1,,,,,,,,,,,,,,,,,,
26,"X can only equal 2, 3, 4, 5, or 6. P(X=4)=0.31, P(X=5)=0.28, P(X=6)=0.12. What is P(X is at least 4)?",0.71,0.59,0.29,0.31,30,1,,,,,,,,,,,,,,,,,,
27,The spread of a probability distribution is measured by...,Standard deviation,Mean,Probability,Sample size,20,1,,,,,,,,,,,,,,,,,,
28,If most probability is concentrated at high values with a tail toward low values the shape is...,Skewed left,Skewed right,Symmetric,Uniform,20,1,,,,,,,,,,,,,,,,,,
29,A uniform distribution has what shape?,Flat (rectangular),Skewed right,Bell-shaped,Skewed left,20,1,,,,,,,,,,,,,,,,,,
30,The center of a probability distribution tells us...,The typical or expected value,How spread out values are,The shape of the distribution,The number of outcomes,20,1,,,,,,,,,,,,,,,,,,
31,Range in a probability distribution measures...,The spread from smallest to largest value,The center value,The most likely outcome,The total probability,20,1,,,,,,,,,,,,,,,,,,
32,If X = number of heads in 2 coin flips then possible values are...,0 1 and 2,0 and 1,1 and 2,Only 1,20,1,,,,,,,,,,,,,,,,,,
33,X can take only the values 0 1 2 and 3. If P(X=0)=0.1 and P(X=1)=0.3 and P(X=2)=0.4 what is P(X=3)?,0.2,0.8,0.4,0,30,1,,,,,,,,,,,,,,,,,,
34,Shoe sizes (6 6.5 7 7.5 and so on) are _______ because the values are countable with gaps even though they are not all whole numbers.,Discrete,Continuous,Categorical,Constant,20,1,,,,,,,,,,,,,,,,,,
35,The exact volume of juice in a bottle is _______ because it could be any value in a range.,Continuous,Discrete,Categorical,Fixed,20,1,,,,,,,,,,,,,,,,,,
