"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Why is a bar chart appropriate for one categorical variable?","it shows change across time","it separates the data into categories","it orders cases by their values","it displays every case as a point",20,2,,,,,,,,,,,,,,,,,,
2,"What does bar height show on a relative frequency bar chart?","the average within that category","the order in which cases appeared","the share of cases in that category","the total number of all cases",20,3,,,,,,,,,,,,,,,,,,
3,"What should be on the horizontal axis of a bar chart for categorical data?","the category labels for the variable","the running total of the sample","the average value for each case","the difference between categories",20,1,,,,,,,,,,,,,,,,,,
4,"Why should the vertical axis start at zero on a bar chart?","to leave space for a title","to make the bars easier to color","to keep the category order fixed","to avoid a distorted visual impression",20,4,,,,,,,,,,,,,,,,,,
5,"What is the main reason to leave gaps between bars for categorical data?","to show that categories have an order","to show that categories are separate groups","to show that the counts are approximate","to show that each case is a different size",20,2,,,,,,,,,,,,,,,,,,
6,"When two groups have different sizes what should you compare first?","their relative frequencies within each group","their raw counts across all groups","their category names in alphabetical order","their first cases in the data table",20,1,,,,,,,,,,,,,,,,,,
7,"Why can equal counts in two groups still reflect different popularity?","the bar colors may not match","the categories may be unordered","the group totals may be different","the sample may be written twice",20,3,,,,,,,,,,,,,,,,,,
8,"What does a pie chart display most directly?","the sequence of all cases","the part of the whole for each category","the exact spread within a category","the trend across repeated samples",20,2,,,,,,,,,,,,,,,,,,
9,"What is essential on a pie chart when slices are not labeled directly?","a zero on the vertical axis","a gap between each slice","a title for each individual case","a legend or key for the categories",20,4,,,,,,,,,,,,,,,,,,
10,"Which graph is usually best for comparing two groups on one categorical variable?","a side by side relative frequency bar chart","a single pie chart for one group","a dotplot of every individual case","a line graph of the group names",20,1,,,,,,,,,,,,,,,,,,
11,"Before interpreting a graph what should you identify first?","whether the sample was random","whether the bars are colored well","whether it shows counts or relative frequency","whether the title uses full sentences",20,3,,,,,,,,,,,,,,,,,,
12,"What is a common error when comparing categories across unequal groups?","using a legend to mark the groups","using counts instead of within group shares","using bars of equal width throughout","using labels on the horizontal axis",20,2,,,,,,,,,,,,,,,,,,
13,"If one bar is tallest in a single bar chart what conclusion is safest?","that category caused the outcome","that category is more important","that category must be a majority","that category is the most common",20,4,,,,,,,,,,,,,,,,,,
14,"What do tables and graphs help you do in AP Statistics?","justify claims about data in context","replace the need for any wording","avoid naming the groups involved","prove that the result is causal",20,1,,,,,,,,,,,,,,,,,,
15,"Why might a relative frequency table be easier to compare than a frequency table?","it removes the category names","it adjusts for different group sizes","it turns every value into a whole","it lists cases in their original order",20,2,,,,,,,,,,,,,,,,,,
16,"In a grouped bar chart what should the legend explain?","which axis uses whole numbers","which categories have the most cases","which bars represent which groups","which sample had the larger total",20,3,,,,,,,,,,,,,,,,,,
17,"What remains the same between a frequency bar chart and a relative frequency bar chart?","the categories being displayed","the meaning of the vertical scale","the exact height of every bar","the units used on the axis",20,1,,,,,,,,,,,,,,,,,,
18,"Why is it risky to answer a not supported question too quickly?","you may forget the category names","you may ignore the graph title","you may treat bars as touching","you may miss the reversed claim",20,4,,,,,,,,,,,,,,,,,,
19,"What is the basic difference between a bar chart and a pie chart?","one uses points and one uses lines","one uses bar lengths and one uses slices","one uses counts and one uses labels","one uses categories and one uses cases",20,2,,,,,,,,,,,,,,,,,,
20,"Which choice describes a good vertical scale for a bar chart?","it begins above the smallest bar","it skips the tallest category","it reaches at or above the tallest bar","it changes units across categories",20,3,,,,,,,,,,,,,,,,,,
21,"If bars in a grouped chart are organized by category what is easiest to compare?","the groups within the same category","the order of cases within a group","the sample sizes before graphing","the survey wording across years",20,1,,,,,,,,,,,,,,,,,,
22,"If bars are organized by group instead what becomes easier to see?","the gaps between adjacent bars","the exact count for every case","the order of the category labels","the full distribution within each group",20,4,,,,,,,,,,,,,,,,,,
23,"Why are equal width bars important in a bar chart?","they keep the legend from shifting","they avoid visual emphasis not in the data","they force the scale to start at one","they show that each group is equal",20,2,,,,,,,,,,,,,,,,,,
24,"What should the vertical axis be labeled on a relative frequency graph?","frequency of the full sample","order of the listed cases","relative frequency for categories","names of the compared groups",20,3,,,,,,,,,,,,,,,,,,
25,"What is the strongest reason to use context when describing a graph?","context keeps bar widths the same","context removes the need for labels","context turns counts into proportions","context makes claims specific and meaningful",20,4,,,,,,,,,,,,,,,,,,
26,"If two categories have equal relative frequency what does that mean?","they represent the same share of the set","they came from equal sized samples","they must have equal raw counts always","they must appear next to each other",20,1,,,,,,,,,,,,,,,,,,
27,"Which statement about frequency and relative frequency is true?","they describe the same pattern in different units","they always place categories in new orders","they require different category labels","they cannot be shown on bar charts",20,1,,,,,,,,,,,,,,,,,,
28,"What is the best response if a graph lacks axis labels?","assume the common units were intended","focus only on the tallest category","interpret the graph with caution","replace the graph with a frequency table",20,3,,,,,,,,,,,,,,,,,,
29,"Why are grouped relative frequency bar charts preferred for unequal groups?","they make the bars touch within groups","they remove the need for a legend","they guarantee equal sample totals","they compare categories fairly across groups",20,4,,,,,,,,,,,,,,,,,,
30,"What should you determine before claiming one group prefers a category more?","whether the bars use the same color","whether the within group proportions differ","whether the title mentions the sample","whether the bars are listed alphabetically",20,2,,,,,,,,,,,,,,,,,,
