"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does a confidence interval for a difference in means estimate?","A plausible range for the true difference in means","A plausible range for the two observed sample means","A plausible range for the pooled standard deviation","A plausible range for the two underlying sample sizes",20,1,,,,,,,,,,,,,,,,,,
2,"Why must an interpretation state first group minus second group?","It shows which sample sizes were used in the study","It shows which difference the interval describes","It shows which graph shape was checked first","It shows which confidence level was selected",20,2,,,,,,,,,,,,,,,,,,
3,"If the order changes from A - B to B - A what happens to the interval?","The signs stay the same and the wording stays","The width gets larger and the wording flips","The signs reverse and the wording flips","The level changes and the wording stays",20,3,,,,,,,,,,,,,,,,,,
4,"Which interpretation best matches a confidence interval for two means?","We are confident the interval captures the sample difference","We are certain the interval proves the claim is true","We are certain the interval predicts each new sample","We are confident the interval captures the true difference",20,4,,,,,,,,,,,,,,,,,,
5,"Why is the phrase these groups a problem in an interpretation?","It refers to the bounds instead of the confidence level","It refers to the samples instead of the populations","It refers to the calculator instead of the procedure","It refers to the graph shape instead of the design",20,2,,,,,,,,,,,,,,,,,,
6,"Why is 95% chance the interval contains mu_A - mu_B incorrect?","Because every interval must include zero by definition","Because every interval needs exact normal population shapes","Because every interval compares proportions not means","Because the interval already either captures it or not",20,4,,,,,,,,,,,,,,,,,,
7,"When judging whether two population means may be equal what value matters?","The value 0 because equal means give no difference","The value 1 because one group is listed first","The value n because each sample has a size","The value t because each procedure uses t",20,1,,,,,,,,,,,,,,,,,,
8,"If 0 is not in the interval what is the best conclusion?","Equal population means are fully supported","The sample means must be exactly identical","A difference in population means is supported","The interval must have been miscalculated",20,3,,,,,,,,,,,,,,,,,,
9,"If 0 is in the interval what is the best conclusion?","A difference in population means is proven","No difference is still a plausible value","The procedure must switch to a z interval","The population means are proven identical",20,2,,,,,,,,,,,,,,,,,,
10,"If every value in the interval for A - B is positive what does that suggest?","Population mean A tends to equal population mean B","Population size A tends to exceed population size B","Population mean B tends to exceed population mean A","Population mean A tends to exceed population mean B",20,4,,,,,,,,,,,,,,,,,,
11,"If every value in the interval for A - B is negative what does that suggest?","Population mean A tends to equal population mean B","Population mean A tends to exceed population mean B","Population mean B tends to exceed population mean A","Population size B tends to exceed population size A",20,3,,,,,,,,,,,,,,,,,,
12,"Which conclusion fits when 0 lies in the interval and a claim says the means differ?","The claim is unsupported because 0 is plausible","The claim is proven because the interval crosses 0","The claim is wrong because the sample means differ","The claim is proven because a t procedure was used",20,1,,,,,,,,,,,,,,,,,,
13,"Why should you avoid saying the claim is wrong when 0 is in the interval?","The interval proves the opposite claim is true","The interval leaves several differences still plausible","The interval forces the sample means to match","The interval removes the need for conditions",20,2,,,,,,,,,,,,,,,,,,
14,"What should be checked before using a 2-sample t interval for means?","Each sample has the same exact spread","Each sample gives the same exact mean","Each sample comes from a random process","Each sample creates the same number of groups",20,3,,,,,,,,,,,,,,,,,,
15,"How is the 10% condition checked in a two sample setting?","Compare the combined sample to one population","Compare the larger sample to both populations","Compare each sample to the other sample","Compare each sample to its own population",20,4,,,,,,,,,,,,,,,,,,
16,"Why do large sample sizes help with this interval?","They make the sampling distribution more normal","They make the two population means equal","They make the subtraction order irrelevant","They make the 10% condition unnecessary",20,1,,,,,,,,,,,,,,,,,,
17,"Which procedure matches a confidence interval for a difference in two means?","A one sample t interval for one mean","A two sample t interval for two means","A matched pairs t interval for one mean","A two sample z interval for two proportions",20,2,,,,,,,,,,,,,,,,,,
18,"Why should subscripts be defined when writing mu_A - mu_B?","They show what each calculator key represents","They show what each answer choice represents","They show what each sample graph represents","They show what each population mean represents",20,4,,,,,,,,,,,,,,,,,,
19,"What is the main purpose of giving context in the interpretation?","To link the interval back to the table layout","To link the interval back to the sample size","To link the interval back to the parameter","To link the interval back to the formula",20,3,,,,,,,,,,,,,,,,,,
20,"Which statement best interprets the confidence level itself?","About 95% of such intervals capture the true difference","About 95% of the data values fall in the interval","About 95% of future sample means will be equal","About 95% of calculator outputs will be identical",20,1,,,,,,,,,,,,,,,,,,
21,"Which is a common misuse of the confidence level?","Treating it as the width of the interval","Treating it as the order of the subtraction","Treating it as the need for randomization","Treating it as a percent of sample items",20,4,,,,,,,,,,,,,,,,,,
22,"A student says 0 in the interval proves the means are equal. What is the issue?","Zero is impossible whenever an interval uses t","Zero only makes equal means plausible not proven","Zero matters only when both samples are small","Zero matters only when the claim is one sided",20,2,,,,,,,,,,,,,,,,,,
23,"A student says 0 outside the interval proves the means are different. What is the best correction?","It supports a difference but does not prove it absolutely","It proves a difference only if the samples are equal","It supports a difference only when bounds are whole","It proves a difference only when the level is 100%",20,1,,,,,,,,,,,,,,,,,,
24,"What should come before interpreting the interval in a full solution?","Round the answers and ignore the units","Reject the null and then list the samples","Define the parameter and choose the procedure","State the claim and ignore the design",20,3,,,,,,,,,,,,,,,,,,
