"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Which feature identifies a discrete variable?","it has countable values with gaps","it has measured values with decimals","it has bars built from intervals","it has dots stacked by location",20,1,,,,,,,,,,,,,,,,,,
2,"Which situation is best modeled by a continuous variable?","the number of pets in a home","the height of a student","the count of classes today","the number of goals in a game",20,2,,,,,,,,,,,,,,,,,,
3,"Why can a recorded whole number still come from a continuous variable?","whole numbers are always measured","intervals can remove exact values","rounded values can hide decimals","counted data can create fractions",20,3,,,,,,,,,,,,,,,,,,
4,"Which clue suggests a variable is continuous?","only whole numbers are possible","counts rise by one at a time","categories can be placed in order","values can fill any small interval",20,4,,,,,,,,,,,,,,,,,,
5,"Why is a person's height treated as continuous?","heights always come in whole inches","heights can vary by tiny amounts","heights are labels for categories","heights must be counted by ones",20,2,,,,,,,,,,,,,,,,,,
6,"Which statement is a common mistake about quantitative variables?","measured data can be continuous","counted data can be discrete","any numeric data must be discrete","gaps help identify discrete values",20,3,,,,,,,,,,,,,,,,,,
7,"What makes a dotplot useful for one quantitative variable?","it groups values into broad intervals","it replaces values with category names","it shows totals below each number","it shows each observation as a dot",20,4,,,,,,,,,,,,,,,,,,
8,"In a dotplot what do stacked dots usually show?","several values are the same or close","several bars cover the same range","several stems share the same leaf","several categories have the same name",20,1,,,,,,,,,,,,,,,,,,
9,"Why can a dotplot be hard to use for a very large data set?","the intervals become too wide to use","the stems become too long to split","the dots become too crowded to read","the values stop having any shape",20,3,,,,,,,,,,,,,,,,,,
10,"In a stem-and-leaf plot what usually becomes the leaf?","the group name for the observation","the count of all matching values","the width of the chosen interval","the final digit of the value",20,4,,,,,,,,,,,,,,,,,,
11,"In a stem-and-leaf plot what usually becomes the stem?","the leading digit or digits","the total number of leaves","the position of the highest dot","the rule for closing intervals",20,1,,,,,,,,,,,,,,,,,,
12,"Why might a stem be split into two lines?","to make the axis start at zero","to handle many leaves on one stem","to show counts below each value","to separate bars by interval width",20,2,,,,,,,,,,,,,,,,,,
13,"What do dotplots and stem-and-leaf plots have in common?","both hide the individual values","both require intervals of equal width","both plot totals less than a value","both show each value and the shape",20,4,,,,,,,,,,,,,,,,,,
14,"What does the height of a histogram bar represent?","the number or proportion in an interval","the last digit written as a leaf","the count at one exact data value","the total below that boundary point",20,1,,,,,,,,,,,,,,,,,,
15,"Why is a histogram often preferred for a large data set?","it lists every value in a compact row","it uses intervals to summarize many values","it avoids choosing any endpoints at all","it places each case at an exact point",20,2,,,,,,,,,,,,,,,,,,
16,"What information is lost when data are shown in a histogram?","the idea that the data are numeric","the fact that bars use equal spacing","the exact value of each observation","the need to place values on an axis",20,3,,,,,,,,,,,,,,,,,,
17,"What can happen when you change histogram interval widths?","the appearance of the shape can change","the variable becomes discrete instead","the dots stack in a new pattern","the stems stop using leading digits",20,1,,,,,,,,,,,,,,,,,,
18,"Before drawing a histogram what must you decide?","which labels belong in each category","which intervals and endpoints to use","which quartiles will divide the data","which slices will match each legend",20,2,,,,,,,,,,,,,,,,,,
19,"What is a common error with histogram boundaries?","using too many leaves on one stem","stacking repeated values as dots","double counting a value on a boundary","treating categories as intervals",20,3,,,,,,,,,,,,,,,,,,
20,"How does a histogram differ from a dotplot?","it shows every value as a dot","it splits every value into digits","it totals values at each cutoff","it groups values into intervals",20,4,,,,,,,,,,,,,,,,,,
21,"What is a cumulative graph designed to show?","the exact digits for each data value","the count or proportion <= a value","the shape made by stacked dots","the interval width used for each bar",20,2,,,,,,,,,,,,,,,,,,
22,"On a cumulative graph what does a point represent?","the leaves attached to one stem","the values inside one interval","the number or proportion <= that value","the spacing between nearby dots",20,3,,,,,,,,,,,,,,,,,,
23,"Which display best preserves every exact data value?","a histogram or cumulative graph","a histogram with wider intervals","a cumulative graph with many points","a dotplot or stem-and-leaf plot",20,4,,,,,,,,,,,,,,,,,,
24,"Which display is easiest to make when the data set is very large?","a histogram with set intervals","a dotplot with one dot per value","a split stem-and-leaf display","a stem-and-leaf with every leaf",20,1,,,,,,,,,,,,,,,,,,
25,"Before choosing a display that shows every individual value, what should you check about the data set?","how many intervals define one bar","how many cutoffs mark the totals","how many observations are in the data","how many stems split in advance",20,3,,,,,,,,,,,,,,,,,,
26,"Why are counted quantities often discrete?","their values can be split into leaves","their values always fill every gap","their values must use intervals","their values occur in separate counts",20,4,,,,,,,,,,,,,,,,,,
27,"Why are measured quantities often continuous?","their values can fall between two numbers","their values always stay whole","their values are grouped by bars","their values must be stacked as dots",20,1,,,,,,,,,,,,,,,,,,
28,"Which statement about histogram intervals is correct?","each value can belong to two bars","each interval needs a clear endpoint rule","each leaf marks the width of a bar","each bar should describe one category",20,2,,,,,,,,,,,,,,,,,,
