"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Why can an observational study not establish causation by itself?","A lurking variable may explain the association","A large sample always removes treatment effects","A control group prevents every source of bias","A response variable cannot be measured clearly",20,1,,,,,,,,,,,,,,,,,,
2,"Which statement best describes a confounding variable?","It is related to the factor and affects the response","It changes only after the response is measured","It is the outcome used to judge the treatment","It is the group that receives no active treatment",20,1,,,,,,,,,,,,,,,,,,
3,"In an experiment what are experimental units?","The variables that are measured afterward","The possible outcomes listed in advance","The groups formed after results are compared","The individuals that are assigned treatments",20,4,,,,,,,,,,,,,,,,,,
4,"When the experimental units are people they are often called","predictors or levels","subjects or participants","samples or populations","factors or treatments",20,2,,,,,,,,,,,,,,,,,,
5,"What makes a variable an explanatory variable in an experiment?","It is intentionally manipulated by researchers","It is measured after treatments are given","It appears only when a placebo is used","It records how units differ at the end",20,1,,,,,,,,,,,,,,,,,,
6,"In an experiment the treatments are","the measured outcomes after the study","the levels of the manipulated factor","the people selected for each group","the hidden variables that may interfere",20,2,,,,,,,,,,,,,,,,,,
7,"What is the response variable in an experiment?","The group used to block similar units","The variable used to assign treatments","The process used to randomize subjects","The outcome measured after treatment",20,4,,,,,,,,,,,,,,,,,,
8,"Why must a well-designed experiment include comparison?","It shows whether one treatment works better","It helps estimate a population size","It guarantees every variable is controlled","It removes the need for replication later",20,1,,,,,,,,,,,,,,,,,,
9,"What is the main purpose of random assignment in an experiment?","To make the sample match the population","To balance confounding variables across groups","To reduce measurement error in responses","To ensure every subject gets each treatment",20,2,,,,,,,,,,,,,,,,,,
10,"What does replication mean in experimental design?","Repeating the same response for each unit","Keeping all subjects in one large group","Using enough units in each treatment group","Measuring the factor with the same device",20,3,,,,,,,,,,,,,,,,,,
11,"In experimental design control refers to","measuring the response more than once","letting subjects choose their own treatment","holding possible confounders as constant as possible","assigning equal scores to all treatment groups",20,3,,,,,,,,,,,,,,,,,,
12,"Which description matches a completely randomized design?","Treatments are assigned completely at random","Units are grouped by similarity before treatment","Each pair of units receives both treatments","Subjects choose the group they prefer",20,1,,,,,,,,,,,,,,,,,,
13,"Which method could be used for random assignment of treatments?","Let volunteers join the group they want","Place faster units into one treatment group","Use the first names on an attendance list","Flip labeled chips without replacement",20,4,,,,,,,,,,,,,,,,,,
14,"Which step belongs before comparing responses in a completely randomized design?","Block units by severity first","Randomly assign units to treatment groups","Choose the best treatment in advance","Remove every unit with an unusual result",20,2,,,,,,,,,,,,,,,,,,
15,"What is a key benefit of a completely randomized design?","It guarantees zero confounding remains","It balances uncontrolled variables on average","It ensures every unit receives every treatment","It removes the need for a response variable",20,2,,,,,,,,,,,,,,,,,,
16,"What is one limitation of a completely randomized design?","Some unit differences may still affect responses","Treatments cannot be compared directly","Random assignment becomes impossible to carry out","Replication cannot be included in the design",20,1,,,,,,,,,,,,,,,,,,
17,"Why do researchers use blocking in an experiment?","To guarantee equal sample sizes in all groups","To let subjects receive treatments in any order","To replace the need for random assignment","To separate natural variability from treatment differences",20,4,,,,,,,,,,,,,,,,,,
18,"In a randomized block design when does randomization occur?","Before blocks are formed by the variable","Within each block after similar units are grouped","After responses are measured for each unit","Only if the original sample was not random",20,2,,,,,,,,,,,,,,,,,,
19,"Which statement about blocking is correct?","Blocking is done randomly before grouping units","Blocking works only when there are two treatments","Blocking eliminates the need for a control group","Blocking groups units by a relevant variable",20,4,,,,,,,,,,,,,,,,,,
20,"What must be true about units within the same block?","They should all receive different treatments","They should all come from different locations","They should be similar on the blocking variable","They should already have different responses",20,3,,,,,,,,,,,,,,,,,,
21,"Matched pairs design is best described as","a control group with no active treatment","a fully random design with many large groups","a special case of block design with pairs","a survey method for selecting volunteers",20,3,,,,,,,,,,,,,,,,,,
22,"In one matched pairs method each subject","receives both treatments in random order","chooses the treatment that seems safer","is measured only before any treatment","is placed into blocks after the study ends",20,1,,,,,,,,,,,,,,,,,,
23,"What is a placebo in an experiment?","A random number used for assignment","A fake treatment similar to the real one","A measured response after treatment","A variable used to define the blocks",20,2,,,,,,,,,,,,,,,,,,
24,"Why might a control group receive a placebo?","To raise the response rate in the sample","To guarantee subjects know their treatment","To create larger differences between groups","To check whether effects exceed placebo responses",20,4,,,,,,,,,,,,,,,,,,
25,"The placebo effect occurs when","a response variable is measured twice","a blocking variable is chosen poorly","a fake treatment produces a response","a control group receives no assignment",20,3,,,,,,,,,,,,,,,,,,
26,"In a single-blind experiment who knows the treatment assignment?","Neither subjects nor interacting researchers","Subjects know but researchers do not","One side knows and the other side does not","Everyone involved in the experiment knows",20,3,,,,,,,,,,,,,,,,,,
27,"In a double-blind experiment who knows the treatment assignment?","Only the subjects know for sure","Neither side knows during interaction","Only the interacting researchers know","Both sides know after randomization",20,2,,,,,,,,,,,,,,,,,,
28,"Which design feature most directly helps reduce bias from expectations?","increasing the number of treatment groups","numbering units before the experiment starts","blinding the subjects and researchers","measuring the response with more precision",20,3,,,,,,,,,,,,,,,,,,
29,"Why is allowing subjects to choose their treatment a problem?","It can leave confounding variables unbalanced","It lowers the number of available treatments","It makes the response variable impossible to measure","It turns the factor into a response variable",20,1,,,,,,,,,,,,,,,,,,
30,"Why can a well-designed experiment support causation better than an observational study?","It always uses a larger sample from the population","It avoids measuring any response variables","It imposes treatments and reduces confounding","It lets each subject choose the better treatment",20,3,,,,,,,,,,,,,,,,,,
31,"Which description best fits a control group?","It receives every treatment in random order","It contains units with the largest responses","It is formed only after the data are collected","It gets no treatment of interest or a placebo",20,4,,,,,,,,,,,,,,,,,,
