"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What are individuals in a data set?","the summary numbers in a study","the people animals or objects described","the questions used to gather responses","the categories used to sort graphs",20,2,,,,,,,,,,,,,,,,,,
2,"What makes something a variable?","it appears in each row of the table","it is used to sort the spreadsheet","it gives each case a unique label","it changes from one case to another",20,4,,,,,,,,,,,,,,,,,,
3,"In a typical spreadsheet what do columns represent?","the variables recorded for each case","the final conclusions from the study","the sample sizes for each group","the formulas used during analysis",20,1,,,,,,,,,,,,,,,,,,
4,"Why is an ID number often not a variable?","it is measured with too much error","it is sorted in a fixed order","it mainly labels each individual","it predicts other values in the set",20,3,,,,,,,,,,,,,,,,,,
5,"Which feature best signals a categorical variable?","its values can be averaged well","its values name groups or labels","its values come with clear units","its values show counted amounts",20,2,,,,,,,,,,,,,,,,,,
6,"Which feature best signals a quantitative variable?","its values are measured or counted","its values sort cases into groups","its values identify who each case is","its values describe the study topic",20,1,,,,,,,,,,,,,,,,,,
7,"Why can a variable with numbers still be categorical?","the numbers always come from counts","the numbers always show a measurement","the numbers remove variation in data","the numbers may stand for group labels",20,4,,,,,,,,,,,,,,,,,,
8,"Which question helps most when classifying a variable?","was the sample size large enough","will the graph need many bins","do the values label or measure","did the response rate stay high",20,3,,,,,,,,,,,,,,,,,,
9,"Why is grade level usually categorical?","the numbers estimate a changing rate","the numbers act mainly as labels","the numbers average into a meaning","the numbers count equal sized units",20,2,,,,,,,,,,,,,,,,,,
10,"Why is household size quantitative?","it identifies a home by count","it groups homes by a label","it stays fixed for every case","it records a counted amount",20,4,,,,,,,,,,,,,,,,,,
11,"Why should units be stated for a measured variable?","they show the scale of measurement","they decide which cases belong","they turn labels into quantities","they prove the data are accurate",20,1,,,,,,,,,,,,,,,,,,
12,"How does a variable differ from data?","a variable is a graph and data are points","a variable is a rule and data are steps","a variable is a trait and data are values","a variable is a sample and data are cases",20,3,,,,,,,,,,,,,,,,,,
13,"Which is a common mistake in a data table?","ignoring units for measured values","treating an identifier as a variable","using rows to represent cases","looking for variation across cases",20,2,,,,,,,,,,,,,,,,,,
14,"What happened if distance is grouped as close near and far?","a quantitative variable became categorical","a categorical variable became constant","a response variable became hidden","a population variable became sampled",20,1,,,,,,,,,,,,,,,,,,
15,"Why does grouping measured values change the variable type?","the values become exact counts","the values become case identifiers","the values become summary measures","the values become category labels",20,4,,,,,,,,,,,,,,,,,,
16,"Which statement about averages is most defensible?","a mean fits any values with digits","a mean fits labels with an order","a mean fits values that are quantities","a mean fits identifiers in a list",20,3,,,,,,,,,,,,,,,,,,
17,"Which situation is a constant rather than a variable?","favorite season differs across students","class size stays the same for each student","age is measured for every student","height is recorded for every student",20,2,,,,,,,,,,,,,,,,,,
18,"Why identify individuals before analyzing variables?","they tell which cases the values describe","they set the equation used later","they remove the need for context","they fix the sample size at one",20,1,,,,,,,,,,,,,,,,,,
19,"In a well organized data table what do rows represent?","one category or one label","one display or one graph","one method or one rule","one individual or one case",20,4,,,,,,,,,,,,,,,,,,
20,"Which choice best describes quantitative data?","values that name categories","values that mark identities","values that record quantities","values that sort observations",20,3,,,,,,,,,,,,,,,,,,
21,"Which choice best describes categorical data?","values that report measures","values that name groups","values that count cases","values that average well",20,2,,,,,,,,,,,,,,,,,,
22,"Why is zip code often treated as categorical?","it labels a location rather than an amount","it counts homes within each area","it measures distance with units","it changes only at random times",20,1,,,,,,,,,,,,,,,,,,
23,"What should come first when describing a data table?","decide which graph looks best","compute summaries for each row","identify individuals and variables","remove values that seem strange",20,3,,,,,,,,,,,,,,,,,,
24,"Why is a count considered quantitative?","it names which group it joins","it labels each case one time","it hides the unit choice","it records how many there are",20,4,,,,,,,,,,,,,,,,,,
25,"Why is birth month categorical rather than quantitative?","it can be arranged by time","it shows labels rather than amounts","it always has twelve values","it is written with a word",20,2,,,,,,,,,,,,,,,,,,
26,"What should you avoid when naming a variable?","copying unclear shorthand from the header","stating the units for a measure","referring to cases as individuals","checking whether values can vary",20,1,,,,,,,,,,,,,,,,,,
27,"Which claim shows a misconception about variable type?","a measured age is quantitative","a group label is categorical","a case can be a single object","a numeric code must be quantitative",20,4,,,,,,,,,,,,,,,,,,
28,"Why does context matter when classifying a variable?","context fixes the correct sample size","context removes all unclear cases","context shows what the values represent","context determines which row is first",20,3,,,,,,,,,,,,,,,,,,
29,"Which variable name is clearer than the header pool?","the cells under column four","whether the home has a pool","the ID used for each house","the list of row positions",20,2,,,,,,,,,,,,,,,,,,
30,"Before calling a variable quantitative what check helps most?","check whether an average makes sense","check whether every value is unique","check whether each row has a label","check whether the table has units",20,1,,,,,,,,,,,,,,,,,,
