"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Why do statisticians use mean and median?","they describe where values center","they count how many cases appear","they show how many groups exist","they locate every unusual value",20,1,,,,,,,,,,,,,,,,,,
2,"Before finding a median what should you do first?","choose the largest value only","put the values in order","subtract the mean from each value","count how many outliers appear",20,2,,,,,,,,,,,,,,,,,,
3,"With an even number of values how is median found?","use the value with highest count","take the distance from the mean","average the two middle values","remove the largest and smallest",20,3,,,,,,,,,,,,,,,,,,
4,"What does the median tell you about a data set?","which value started the list","how wide the tails appear","where the outliers cluster","which value splits the data",20,4,,,,,,,,,,,,,,,,,,
5,"How is Q1 defined once the data are ordered?","the mean of the first half","the median of the first half","the range of the first half","the mode of the first half",20,2,,,,,,,,,,,,,,,,,,
6,"When finding quartiles what common error should you avoid?","including the median in both halves","counting the sample size once","subtracting Q1 from the mean","placing the values in a graph",20,1,,,,,,,,,,,,,,,,,,
7,"What does Q3 represent in an ordered list?","the highest value in the lower half","the average of the entire set","the median of the upper half","the spread of the middle half",20,3,,,,,,,,,,,,,,,,,,
8,"Why is range described as one number?","it counts the middle half only","it shows the most common value","it compares the two quartiles","it equals max value minus min",20,4,,,,,,,,,,,,,,,,,,
9,"Why is the IQR useful in description?","it shows the exact sample size","it tracks the middle half spread","it finds the highest frequency","it marks the center by itself",20,2,,,,,,,,,,,,,,,,,,
10,"What does standard deviation summarize?","the number of values in order","the size of each quartile gap","the typical distance from mean","the count of values above median",20,3,,,,,,,,,,,,,,,,,,
11,"What is variance in relation to standard deviation?","the square of standard deviation","the average of the quartiles","the distance from max to min","the middle value of the data",20,1,,,,,,,,,,,,,,,,,,
12,"According to the 1.5 IQR rule what makes a high outlier?","a value near the sample mean","a value inside the middle half","a value equal to the third quartile","a value above the upper fence",20,4,,,,,,,,,,,,,,,,,,
13,"According to the two standard deviation rule what is an outlier?","a value at the median point","a value in the longest tail","a value two SDs from mean","a value between the quartiles",20,3,,,,,,,,,,,,,,,,,,
14,"Why can two outlier rules flag different values?","they use different distance standards","they compare only the center values","they require every graph be symmetric","they both use the same fence rule",20,1,,,,,,,,,,,,,,,,,,
15,"Which statement describes resistant measures?","mean and range change very little","median and IQR change very little","range and SD change very little","mean and SD change very little",20,2,,,,,,,,,,,,,,,,,,
16,"Which statement describes nonresistant measures?","they summarize only the middle half","they always use quartile positions","they work only for symmetric data","they change a lot with outliers",20,4,,,,,,,,,,,,,,,,,,
17,"For a skewed distribution which pair is usually best?","use median and IQR for description","use mean and range for description","use mean and SD for description","use median and range for description",20,1,,,,,,,,,,,,,,,,,,
18,"For a symmetric distribution which pair is usually best?","use median and range for description","use mean and range for description","use mean and SD for description","use median and IQR for description",20,3,,,,,,,,,,,,,,,,,,
19,"Why is median preferred over mean for skewed data?","it depends on the maximum value","it resists the pull of extreme values","it grows when the tails stretch","it uses every value in the set",20,2,,,,,,,,,,,,,,,,,,
20,"Why is mean sensitive to outliers?","it ignores where the center lies","it depends only on the middle case","it stays tied to the quartile cuts","it uses every value in the calculation",20,4,,,,,,,,,,,,,,,,,,
21,"What does a small standard deviation suggest?","the data have several clear modes","the values create a long right tail","the values stay close to the mean","the quartiles are equal to each other",20,3,,,,,,,,,,,,,,,,,,
22,"What does a large IQR suggest?","the middle half covers more distance","the sample has many observations","the graph must contain outliers","the mean is larger than the median",20,1,,,,,,,,,,,,,,,,,,
23,"Which statement is the best interpretation of range?","it is the average of both tails","it is the width of the middle half","it is the balance point of the data","it is one value for total spread",20,4,,,,,,,,,,,,,,,,,,
24,"What is a common mistake when reporting range?","calling it a resistant measure","stating endpoints instead of one value","using it for symmetric data","finding it after ordering values",20,2,,,,,,,,,,,,,,,,,,
25,"Why should center and variability both be reported?","one shows typical value and one shows spread","one tells shape and one tells mode","one gives quartiles and one gives fences","one finds sample size and one finds mean",20,1,,,,,,,,,,,,,,,,,,
26,"What question does IQR answer better than range?","where is the exact balance point","which value appears most often","how spread out is the middle half","how many values were collected",20,3,,,,,,,,,,,,,,,,,,
27,"In the SD process what happens right after subtracting the mean?","sort each value from least to most","square each difference","average the two middle values","compare Q1 and Q3 directly",20,2,,,,,,,,,,,,,,,,,,
28,"Which summary pair relies on ordered positions rather than all values?","mean and SD use every value","range and SD use every value","mean and range use positions","median and quartiles use positions",20,4,,,,,,,,,,,,,,,,,,
29,"Before choosing summary statistics what should you inspect?","the distribution shape and outliers","the graph title and data source","the order of names in the table","the sample size and axis colors",20,1,,,,,,,,,,,,,,,,,,
30,"Why is IQR often paired with median?","both depend mostly on extreme values","both resist skew and outliers","both count every value in the set","both require a symmetric distribution",20,2,,,,,,,,,,,,,,,,,,
