"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Why is the five-number summary useful in a boxplot?","it guarantees the data are symmetric","it provides the landmarks the plot uses","it replaces the need for raw values","it proves there are no outliers",20,2,,,,,,,,,,,,,,,,,,
2,"Which set of values makes up a five-number summary?","mean Q1 median Q3 spread","minimum mean mode Q3 maximum","mean median range shape spread","minimum Q1 median Q3 maximum",20,4,,,,,,,,,,,,,,,,,,
3,"What must happen before locating the median or quartiles?","the data must be ordered by value","the data must be grouped by class","the data must be averaged by part","the data must be scaled by ten",20,1,,,,,,,,,,,,,,,,,,
4,"What does the left edge of the box represent?","the minimum data value","the first quartile Q1","the sample mean value","the largest non-outlier",20,2,,,,,,,,,,,,,,,,,,
5,"What does the right edge of the box represent?","the highest data value","the median of the data","the third quartile Q3","the lowest non-outlier",20,3,,,,,,,,,,,,,,,,,,
6,"What does the line inside a boxplot box represent?","the sample range","the sample mean","the lower quartile","the sample median",20,4,,,,,,,,,,,,,,,,,,
7,"What part of the data is inside the box of a boxplot?","the middle 50% of values","the highest 50% of values","the lowest 50% of values","the unusual 50% of values",20,1,,,,,,,,,,,,,,,,,,
8,"What do the whiskers show when outliers are present?","they stop at the lower quartile edge","they stop at the most extreme non-outlier","they stop at the sample median line","they stop at the sample mean value",20,2,,,,,,,,,,,,,,,,,,
9,"How are outliers shown on a standard boxplot?","as bars beyond the box","as lines within the box","as separate points beyond whiskers","as labels beside quartiles",20,3,,,,,,,,,,,,,,,,,,
10,"What is a common error when drawing whiskers?","drawing them from the median line","drawing them to every data value","drawing them from the box center","drawing them to every outlier",20,4,,,,,,,,,,,,,,,,,,
11,"Why is a boxplot useful for a quick summary?","it shows quartiles and outliers fast","it lists all values in exact order","it gives every gap in the data","it proves the mean is resistant",20,1,,,,,,,,,,,,,,,,,,
12,"What important detail can a boxplot hide?","the names of the variables","the exact values within quartiles","the location of the median","the existence of outliers",20,2,,,,,,,,,,,,,,,,,,
13,"Which feature can be hidden even when a boxplot is shown?","the total number of quartiles","the fact that data are ordered","clusters and gaps within sections","the use of a horizontal scale",20,3,,,,,,,,,,,,,,,,,,
14,"If a distribution is relatively symmetric then the mean and median are usually","far apart from each other","fixed at the same quartile","equal to the sample range","fairly close to each other",20,4,,,,,,,,,,,,,,,,,,
15,"If a distribution is skewed right then the mean is usually","to the right of the median","to the left of the median","equal to the median","below the minimum value",20,1,,,,,,,,,,,,,,,,,,
16,"If a distribution is skewed left then the mean is usually","greater than the maximum","to the left of the median","equal to the median","to the right of the median",20,2,,,,,,,,,,,,,,,,,,
17,"Why does right skew often make the mean larger than the median?","low values pull the mean upward","middle values pull the box upward","high values pull the mean upward","quartiles pull the median upward",20,3,,,,,,,,,,,,,,,,,,
18,"Why is the median often preferred with strong outliers?","the median always equals the mean","the median uses every value twice","the median ignores the data scale","the median changes less from extremes",20,4,,,,,,,,,,,,,,,,,,
19,"How much of the data lies from the minimum to Q1?","about one fourth of the data","about one half of the data","about three fourths of the data","about all but one value",20,1,,,,,,,,,,,,,,,,,,
20,"How much of the data lies from Q1 to the median?","about one half of the data","about one fourth of the data","about three fourths of the data","about none of the data",20,2,,,,,,,,,,,,,,,,,,
21,"How much of the data lies from the median to Q3?","about all of the data","about one tenth of the data","about one fourth of the data","about one half of the data",20,3,,,,,,,,,,,,,,,,,,
22,"Which claim is best supported by a boxplot alone?","the exact value of every case","the names of all unusual cases","the ordering of every tied value","the location of the middle half",20,4,,,,,,,,,,,,,,,,,,
23,"What does it mean if the median line is near the left side of the box?","the middle 50% stretches more right","the upper 50% stretches more left","the mean must equal the median","the data cannot have outliers",20,1,,,,,,,,,,,,,,,,,,
25,"Which statement best distinguishes a boxplot from raw data?","a boxplot records values in arrival order","a boxplot labels values by category only","a boxplot summarizes values with landmarks","a boxplot removes the need for context",20,3,,,,,,,,,,,,,,,,,,
26,"Which question can summary statistics help answer in context?","what color each observation used","which person entered each value","when every value was recorded","whether the data have a clear center",20,4,,,,,,,,,,,,,,,,,,
27,"Which statement about whiskers is correct when no outliers exist?","the whiskers reach the minimum and maximum","the whiskers end at the quartiles","the whiskers stop at the median","the whiskers are omitted from the plot",20,1,,,,,,,,,,,,,,,,,,
28,"Which statement about the maximum is true when high outliers exist?","it becomes the right edge of the box","it may appear beyond the right whisker","it becomes the line inside the box","it must equal the third quartile",20,2,,,,,,,,,,,,,,,,,,
29,"Before marking summary values on a boxplot what should you set up?","a table that lists every frequency","a formula that finds the sample mean","a scale that fits the data values","a legend that names each outlier",20,3,,,,,,,,,,,,,,,,,,
30,"Which statement is a misconception about boxplots?","the box shows the middle half of values","the median line can sit off center","the box ends mark the two quartiles","the box contains all non-outlier values",20,4,,,,,,,,,,,,,,,,,,
