"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What is the main question in a significance test?","Did the sample groups have the same size?","Could chance alone create a result this strong?","Did the treatment change every individual value?","Could a larger sample remove all uncertainty?",20,2,,,,,,,,,,,,,,,,,,
2,"If a treatment has no real effect what difference should be expected over many random assignments?","A difference centered near zero should appear.","A difference matching the claim should appear.","A difference with no spread should appear.","A difference far from zero should appear.",20,1,,,,,,,,,,,,,,,,,,
3,"Why is an observed sample difference by itself not convincing evidence?","The sample difference must equal the parameter.","The sample difference must be positive every time.","The sample difference must come from a census.","Chance variation can also create sample differences.",20,4,,,,,,,,,,,,,,,,,,
4,"Which pair of explanations is compared in a significance test?","One says the sample was biased and one says it was random.","One says the graph is symmetric and one says it is skewed.","One says chance explains it and one says the treatment does.","One says the mean is large and one says it is small.",20,3,,,,,,,,,,,,,,,,,,
5,"Before concluding a claim is convincing what must be estimated?","The chance of a result this extreme under no effect.","The exact size of the effect in the population.","The percentage of subjects who liked the treatment.","The number of future samples needed for certainty.",20,1,,,,,,,,,,,,,,,,,,
6,"Why does a randomization simulation begin with a no effect assumption?","It forces each simulated mean to equal the sample mean.","It builds a model of what chance alone could produce.","It guarantees the observed statistic will be repeated.","It removes the need to compare the two groups.",20,2,,,,,,,,,,,,,,,,,,
7,"In a re-randomization simulation what is shuffled from trial to trial?","The study question is shuffled across the subjects.","The sample means are shuffled across the trials.","The population values are shuffled across the graph.","The group labels are shuffled across the responses.",20,4,,,,,,,,,,,,,,,,,,
8,"Why are the original response values kept in the simulation?","They make every simulated group the same size.","They prove the observed effect is not random.","They keep the study outcomes fixed while labels change.","They guarantee the randomization graph stays narrow.",20,3,,,,,,,,,,,,,,,,,,
9,"What does one dot in a randomization distribution represent?","One observed response from the original study.","One simulated statistic from one shuffled assignment.","One exact parameter value from the population.","One confidence level from the chosen procedure.",20,2,,,,,,,,,,,,,,,,,,
10,"What does the tail area of the randomization distribution estimate?","The proportion of simulated results this extreme or more.","The proportion of subjects assigned to each group.","The proportion of graphs that look approximately normal.","The proportion of future studies with no variation.",20,1,,,,,,,,,,,,,,,,,,
11,"What does a very small tail proportion from the simulation tell us?","It must have come from a flawed study design.","It shows the treatment effect is very large.","It proves the no effect model can never be true.","It would be unusual if chance alone were operating.",20,4,,,,,,,,,,,,,,,,,,
12,"If the estimated chance is very small what is the best conclusion?","Keep the chance-only explanation as equally likely.","State that every subject responded the same way.","Treat the sample result as evidence against no effect.","Assume the treatment works for every population.",20,3,,,,,,,,,,,,,,,,,,
13,"Which statement is a common misconception after a very small chance value?","A very small chance value proves the no effect model is impossible.","A very small chance value suggests the data are unusual.","A very small chance value can support a treatment effect.","A very small chance value can challenge chance as the explanation.",20,1,,,,,,,,,,,,,,,,,,
14,"Why does random assignment matter in a significance test for a treatment?","It makes the sample representative of all people.","It supports comparing groups as if chance assigned them.","It guarantees the difference in means is zero.","It ensures the population standard deviation is known.",20,2,,,,,,,,,,,,,,,,,,
15,"If subjects are volunteers but treatments are randomized what is limited?","The ability to compare groups fairly is limited.","The ability to estimate an unusual result is limited.","The ability to infer a cause for the subjects is limited.","The ability to generalize to all students is limited.",20,4,,,,,,,,,,,,,,,,,,
16,"If a study has no random assignment what should you avoid concluding?","Avoid concluding the data show any difference.","Avoid concluding the graph has any spread.","Avoid concluding the treatment caused the difference.","Avoid concluding the sample came from volunteers.",20,3,,,,,,,,,,,,,,,,,,
17,"In a test for a difference in means what counts as evidence for the claim?","A sample statistic close to the no effect value.","A sample statistic in the direction of the claim.","A sample statistic with no variation at all.","A sample statistic from a perfectly normal graph.",20,2,,,,,,,,,,,,,,,,,,
18,"Why does the probability include results more extreme than observed?","Those results would support the claim at least as much.","Those results keep the graph centered at zero.","Those results make the sample more representative.","Those results remove the need for random assignment.",20,1,,,,,,,,,,,,,,,,,,
19,"If results like the observed one are common in the simulation what should you conclude?","Conclude the treatment works for every subject.","Conclude the sample statistic must be biased.","Conclude the no effect model has been disproved.","Conclude chance remains a reasonable explanation.",20,4,,,,,,,,,,,,,,,,,,
20,"Which observed result would be most surprising under a no effect model?","A result near the center of the simulated graph.","A result close to zero on the simulated graph.","A result deep in the tail of the simulated graph.","A result that matches many simulated values.",20,3,,,,,,,,,,,,,,,,,,
21,"How is a significance test different from a simple sample comparison?","It asks whether chance alone could explain the difference.","It asks whether the sample mean equals the parameter.","It asks whether the graph is exactly bell shaped.","It asks whether the sample size is large enough.",20,1,,,,,,,,,,,,,,,,,,
22,"Which statement shows the mistake of ignoring chance variation?","The sample difference is one piece of evidence to weigh.","The sample difference is not zero so the treatment worked.","The sample difference should be compared with a chance model.","The sample difference may still happen even under no effect.",20,2,,,,,,,,,,,,,,,,,,
23,"If the no effect model is true where should simulated differences usually be centered?","They should be centered near the sample difference.","They should be centered near the claim value.","They should be centered near the largest value.","They should be centered near zero difference.",20,4,,,,,,,,,,,,,,,,,,
24,"Why are many simulation trials used instead of just a few?","They make each trial less random than before.","They make the observed difference become larger.","They make the tail probability estimate more stable.","They make the study conclusions automatically causal.",20,3,,,,,,,,,,,,,,,,,,
25,"In this lesson what does convincing evidence against no effect mean?","The observed result matches the center of the model.","The observed result is rare under the chance-only model.","The observed result removes all uncertainty from the study.","The observed result guarantees a large practical effect.",20,2,,,,,,,,,,,,,,,,,,
26,"Which statement best describes the probability estimated by the simulation?","It is the chance of results this extreme under no effect.","It is the chance the treatment helped every subject.","It is the chance the sample mean equals the parameter.","It is the chance the study design had no flaws.",20,1,,,,,,,,,,,,,,,,,,
27,"If the estimated chance is not small what is the safest conclusion?","The treatment definitely has no effect at all.","The random assignment must have failed badly.","The no effect model has been proved correct forever.","The data do not rule out chance as the explanation.",20,4,,,,,,,,,,,,,,,,,,
28,"What should come first when using significance test logic?","State that the claim must already be true.","State that the sample result is statistically significant.","State what outcomes are expected if no effect is true.","State which future sample will be collected next.",20,3,,,,,,,,,,,,,,,,,,
