"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What parameter does a confidence interval for slope target?","The slope of the population regression line in context","The intercept of the population regression line in context","The slope of the sample regression line in context","The mean response for the observed sample in context",20,1,,,,,,,,,,,,,,,,,,
2,"What is the best interpretation of a 95% confidence interval for slope?","It captures the sample slope for the data we collected","It captures the population slope for the regression line","It captures most response values for future samples","It captures the probability that the model is linear",20,2,,,,,,,,,,,,,,,,,,
3,"Why should an interval interpretation include the variables in context?","It shows which sample points had the largest residuals","It shows that the interval can be used without conditions","It shows what the slope means for those variables and units","It shows that the sample mean equals the population mean",20,3,,,,,,,,,,,,,,,,,,
4,"What does a 95% confidence level describe?","The chance this sample produced the best possible line","The percent of data points that fall close to the line","The chance the response variable is normally distributed","The percent of such intervals that capture beta in repetition",20,4,,,,,,,,,,,,,,,,,,
5,"Which statement reflects a common confidence interval misconception?","This interval gives a 95% probability for the true slope","This interval estimates the population slope in context","This method works through repeated random sampling logic","This method can capture the slope in many samples",20,1,,,,,,,,,,,,,,,,,,
6,"Why is beta = 0 important when judging a linear relationship?","It means the residuals all have average value zero","It means the model predicts the same y for every x","It means the sample size is large enough for t methods","It means the explanatory variable has no variation",20,2,,,,,,,,,,,,,,,,,,
7,"If a confidence interval for slope contains 0 what is the best conclusion?","There is convincing evidence of a positive relationship","There is convincing evidence of a negative relationship","There is not convincing evidence of a linear relationship","There is not enough data to estimate any slope",20,3,,,,,,,,,,,,,,,,,,
8,"If every value in the interval is positive what claim is supported?","The sample line fits each observed point with no error","The explanatory variable has no effect in the model","The population intercept must also be positive","The population has a positive linear relationship",20,4,,,,,,,,,,,,,,,,,,
9,"If every value in the interval is negative what claim is supported?","The population has a negative linear relationship","The sample has no linear pattern at all","The response stays the same for every x value","The residual plot must show a curved pattern",20,1,,,,,,,,,,,,,,,,,,
10,"How should a confidence interval be used to assess a slope claim?","Check whether the sample line passes through the data center","Check whether the interval contains values that match the claim","Check whether the sample mean equals the proposed slope","Check whether the response values are evenly spaced",20,2,,,,,,,,,,,,,,,,,,
11,"If a proposed slope value lies inside the interval what does that mean?","The data prove that the proposed slope is exact","The data force the sample slope to equal that value","The data make that slope a plausible population value","The data show the regression line has no uncertainty",20,3,,,,,,,,,,,,,,,,,,
12,"If a proposed slope value lies outside the interval what is the best conclusion?","That slope is plausible because many samples vary","That slope is impossible for any regression model","That slope must equal the sample intercept instead","That slope is not supported by the sample data",20,4,,,,,,,,,,,,,,,,,,
13,"Before constructing a t interval for slope what must be verified?","The conditions for inference about slope are satisfied","The fitted line passes through every observed point","The confidence level is larger than the sample size","The explanatory variable is normally distributed",20,1,,,,,,,,,,,,,,,,,,
14,"Which procedure matches interval estimation for a regression slope?","A matched pairs t interval for a mean difference","A one sample t interval for the slope beta","A z interval for a population proportion","A chi square interval for a population variance",20,2,,,,,,,,,,,,,,,,,,
15,"What should be defined first in a full inference solution for slope?","The residual with the largest absolute error","The exact x value where the line crosses the axis","The parameter beta in the population model","The percent of points near the fitted line",20,3,,,,,,,,,,,,,,,,,,
16,"Why do we verify conditions before calculating the interval?","To guarantee the sample slope equals the true slope","To force the interval to include zero when needed","To make the response values evenly spaced across x","To justify inference about the population slope",20,4,,,,,,,,,,,,,,,,,,
17,"Which conclusion goes too far when an interval is entirely positive?","Every individual response must rise as x rises","The population slope is likely above zero","The data support a positive linear relationship","Zero is not a plausible value for the slope",20,1,,,,,,,,,,,,,,,,,,
18,"Why is the sample slope used in the interval formula?","It guarantees the interval contains the true slope","It estimates the center of the population slope","It replaces the need to check the conditions first","It makes the line fit each point exactly",20,2,,,,,,,,,,,,,,,,,,
19,"How does interval interpretation differ from confidence level interpretation?","The interval gives a p value and the level gives a slope","The interval checks conditions and the level predicts y","The interval states a parameter and the level states long run success","The interval predicts residuals and the level predicts x",20,3,,,,,,,,,,,,,,,,,,
20,"Why must all interval values agree with a claim for strong support?","One sample should remove all uncertainty about beta","The sample slope must equal each endpoint exactly","The fitted line always uses the smallest possible slope","No plausible slope values can conflict with the claim",20,4,,,,,,,,,,,,,,,,,,
21,"If some interval values disagree with a claim what follows?","The claim is unsupported because plausible values conflict","The claim is proven because most values still agree","The claim is correct if the interval is narrow enough","The claim is unchanged because only the sample slope matters",20,1,,,,,,,,,,,,,,,,,,
22,"Why is a slope interval not a range of individual y values?","Slope describes the center of the explanatory variable","Slope describes average change in y for each x step","Slope describes how many points lie on the sample line","Slope describes the overall spread of the residual plot",20,2,,,,,,,,,,,,,,,,,,
23,"When interpreting slope in context what units should appear?","Units of x only because slope is horizontal change","Units of y only because slope is vertical change","Units of y per unit of x because slope is a rate","No units because intervals remove measurement units",20,3,,,,,,,,,,,,,,,,,,
24,"If an interval runs from a negative value to a positive value what is true?","A linear relationship is proven because the interval is wide","Positive slopes are impossible because one endpoint is negative","The sample slope must equal zero because the interval crosses zero","Zero is plausible so linear evidence is not convincing",20,4,,,,,,,,,,,,,,,,,,
25,"Why must repeated sampling use the same method and sample size?","Confidence level describes how that exact method behaves","Different methods always create narrower slope intervals","Larger samples guarantee the same sample slope value","Smaller samples force the population slope to be zero",20,1,,,,,,,,,,,,,,,,,,
26,"Which order best matches a complete confidence interval solution?","Interpret interval then choose a sample then check conditions","Define parameter then name procedure then check then interpret","Compute slope then justify claim then define the variables","Check residuals then define beta then compute then sample",20,2,,,,,,,,,,,,,,,,,,
27,"What does it mean to call a slope value plausible?","It makes the residual plot perfectly flat","It equals the average response in the sample","It is consistent with the sample data and model","It forces the intercept of the line to be zero",20,3,,,,,,,,,,,,,,,,,,
28,"Why can a confidence interval answer a claim about a specific rate of change?","It lists sample slopes from every possible random sample","It proves the fitted regression model is causal","It makes the regression line exact for prediction","It shows which population slopes fit the sample data",20,4,,,,,,,,,,,,,,,,,,
