"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does beta represent in this topic?","the sample slope from one data set","the population slope of the true line","the spread of residuals around zero","the predicted response when x is zero",20,2,,,,,,,,,,,,,,,,,,
2,"Why is b not used in the null hypothesis?","b changes from sample to sample so it is not the parameter","b is only used after the p-value is found for a test","b is the mean response predicted by the regression line","b is fixed by the null model before any sample is taken",20,1,,,,,,,,,,,,,,,,,,
3,"What is beta0 in the test statistic formula?","the slope value stated by H0","the slope estimate from the sample","the residual spread from the model","the response mean when x is zero",20,1,,,,,,,,,,,,,,,,,,
4,"Why divide by SEb when finding t?","to convert slope units into residual units","to compare the slope with random variation","to force the slope to match the null value","to remove the effect of sample size fully",20,2,,,,,,,,,,,,,,,,,,
5,"A positive sample slope is direct evidence for Ha: beta > 0 because","it proves the population slope is positive","it removes the need for a p-value check","it points in the same direction as Ha","it guarantees the conditions were met",20,3,,,,,,,,,,,,,,,,,,
6,"When should the p-value be split in half?","when the sample slope is close to the null value","when the output already reports a one-sided p-value","when the null hypothesis sets beta equal to zero","when the output is two-sided but Ha is one-sided",20,4,,,,,,,,,,,,,,,,,,
7,"In a test with Ha: beta != 0 which tails matter?","only the tail matching the sample slope","both tails because either direction counts","only the left tail because beta can fall","neither tail because slope tests are centered",20,2,,,,,,,,,,,,,,,,,,
8,"In a test with Ha: beta > 0 which probability matches the p-value?","values at least as far left as the test statistic","values near zero on both sides of the curve","values at least as far right as the test statistic","values between zero and the observed test statistic",20,3,,,,,,,,,,,,,,,,,,
9,"Which statement correctly interprets a p-value?","it is the chance that the null hypothesis is true","it is the chance that the sample slope equals the true slope","it is the chance of data this extreme if H0 is true","it is the chance the model conditions are satisfied",20,3,,,,,,,,,,,,,,,,,,
10,"Which statement is a common error when interpreting a p-value?","saying it is the chance that H0 is true","saying it measures evidence against H0","saying it assumes H0 for the calculation","saying it reflects how extreme the sample was",20,1,,,,,,,,,,,,,,,,,,
11,"If p <= alpha what conclusion is appropriate?","reject H0 and say there is convincing evidence for Ha","reject H0 and say the fitted line explains every point","fail to reject H0 and say the sample showed no trend","fail to reject H0 and say the claim for Ha was impossible",20,1,,,,,,,,,,,,,,,,,,
12,"If p > alpha what conclusion is appropriate?","reject H0 because the observed slope was nonzero","reject H0 because the alternative was two-sided","fail to reject H0 and say evidence is not convincing","fail to reject H0 and say the null has been proved",20,3,,,,,,,,,,,,,,,,,,
13,"Why should the conclusion be stated in context?","to link the evidence to the population variables","to show the sample size used in the test","to report the exact residual standard deviation","to explain how the software found the slope",20,1,,,,,,,,,,,,,,,,,,
14,"What does a very small p-value suggest?","the null model makes the sample result unusual","the null model is true for all samples","the regression line must fit every point","the data could not come from random sampling",20,1,,,,,,,,,,,,,,,,,,
15,"Which value can often be read directly from regression output?","the null hypothesis written in context","the test statistic reported for the slope","the full conclusion written in context","the condition check for the linear model",20,2,,,,,,,,,,,,,,,,,,
16,"Why might a hand computed t differ slightly from the output t?","the software always uses a different formula","the output uses one-sided values by default","the calculation often uses rounded inputs","the null slope changes once the sample is taken",20,3,,,,,,,,,,,,,,,,,,
17,"Why are conditions checked before computing the p-value?","to decide whether the test procedure is justified","to make the sample slope closer to beta","to determine whether alpha must be doubled","to choose the explanatory variable units",20,1,,,,,,,,,,,,,,,,,,
18,"Which distribution is used for the p-value in this topic?","standard normal with df from the sample","chi square with one less degree of freedom","t distribution with n - 2 degrees of freedom","uniform distribution across the slope values",20,3,,,,,,,,,,,,,,,,,,
19,"Before sketching the p-value region what must you identify?","whether Ha uses one tail or uses two tails","whether the points lie exactly on the line","whether the response variable is large","whether the calculator reports beta first",20,1,,,,,,,,,,,,,,,,,,
20,"If a prompt asks whether any linear relationship exists which Ha fits best?","Ha: beta < 0 because one side is enough","Ha: beta != 0 because either sign matters","Ha: beta = 0 because no sign is named","Ha: beta > 0 because slopes are usually positive",20,2,,,,,,,,,,,,,,,,,,
21,"If a prompt asks about a positive linear relationship which Ha fits best?","Ha: beta > 0 because only positive slopes support it","Ha: beta != 0 because any nonzero slope works","Ha: beta < 0 because direction can reverse","Ha: beta = 0 because the null tests direction",20,1,,,,,,,,,,,,,,,,,,
22,"What is the main difference between b and beta in this topic?","b describes the null and beta describes the sample","b comes from the sample and beta describes the population","b is always zero and beta changes with each sample","b is a spread value and beta is a center value",20,2,,,,,,,,,,,,,,,,,,
23,"In a full significance test which step belongs after hypotheses and conditions?","compare p to alpha and state the conclusion","calculate the test statistic and p-value","graph the residuals after giving the answer","replace beta with b in the hypotheses",20,2,,,,,,,,,,,,,,,,,,
24,"Why do you need alpha before giving a final decision?","to compare the p-value to a decision cutoff","to compute the sample slope from the plot","to identify which variable is explanatory","to estimate the regression line intercept",20,1,,,,,,,,,,,,,,,,,,
25,"Which conclusion language is best when p is larger than alpha?","there is no relationship in the sample","the null hypothesis has been confirmed","there is not convincing evidence for Ha","the alternative hypothesis was false",20,3,,,,,,,,,,,,,,,,,,
26,"Two tests are on the same question type. Which result shows stronger evidence against H0?","the test with the smaller reported p-value","the test with the larger chosen alpha level","the test with the wider prediction band","the test with the smaller sample slope",20,1,,,,,,,,,,,,,,,,,,
27,"If two p-values are both tiny what else can compare evidence strength?","the direction of the explanatory variable","how far the t-statistic is from zero","whether the null value was written first","how many digits the software displayed",20,2,,,,,,,,,,,,,,,,,,
