"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"When the p-value is less than or equal to the significance level alpha, the correct decision is to:","Reject the null hypothesis and conclude there is convincing evidence for the alternative","Fail to reject the null hypothesis and conclude there is not convincing evidence for the alternative","Accept the null hypothesis and conclude that the null hypothesis has been proven to be true","Accept the alternative hypothesis and conclude the null hypothesis has been disproven entirely",20,1,,,,,,,,,,,,,,,,,,
2,"When the p-value is greater than the significance level alpha, the correct decision is to:","Fail to reject the null hypothesis because the data do not provide convincing evidence for Ha","Reject the null hypothesis because the data provide convincing evidence against the alternative","Accept the null hypothesis because the large p-value proves that the null hypothesis is true","Reject the alternative hypothesis because the observed result was too close to the null value",20,1,,,,,,,,,,,,,,,,,,
3,"A student concludes: 'We accept H0.' Why is this language problematic in AP Statistics?","Failing to reject H0 means insufficient evidence against it, not that H0 has been proven true","Accepting H0 is only allowed when the p-value is exactly equal to the significance level alpha","The phrase should be replaced with 'we prove H0' since that is the standard statistical term","Accepting H0 is correct terminology but only when the significance level is set at alpha = 0.05",20,1,,,,,,,,,,,,,,,,,,
4,"Which of the following is the most commonly used significance level when none is specified?","Alpha equals 0.05, which is the standard default when no significance level is provided","Alpha equals 0.50, which is the standard default when no significance level is provided","Alpha equals 0.10, which is the standard default when no significance level is provided","Alpha equals 0.01, which is the standard default when no significance level is provided",20,1,,,,,,,,,,,,,,,,,,
5,"A significance test produces a p-value of 0.03 with alpha = 0.05. What is the correct conclusion?","Reject H0 because the p-value of 0.03 is less than alpha of 0.05, providing convincing evidence","Fail to reject H0 because the p-value of 0.03 is close to zero and therefore not significant","Accept H0 because the p-value of 0.03 means there is a 3% chance the null is actually true","Reject Ha because the p-value of 0.03 indicates the alternative hypothesis is unlikely to hold",20,1,,,,,,,,,,,,,,,,,,
6,"A significance test produces a p-value of 0.12 with alpha = 0.05. What is the correct conclusion?","Fail to reject H0 because the p-value of 0.12 is greater than the significance level of 0.05","Reject H0 because the p-value of 0.12 indicates some evidence exists against the null hypothesis","Accept H0 because the p-value of 0.12 proves that the null hypothesis is the true statement","Reject Ha because the p-value of 0.12 shows the alternative hypothesis is definitely incorrect",20,2,,,,,,,,,,,,,,,,,,
7,"Why must a conclusion explicitly compare the p-value to the significance level alpha?","The comparison justifies the decision to reject or fail to reject by showing the logical basis","Including numbers is optional as long as the student states whether they reject or fail to reject","The explicit comparison is only needed when the p-value and alpha are extremely close together","Comparing the two values is a formatting preference that does not affect the quality of the answer",20,1,,,,,,,,,,,,,,,,,,
8,"A proper conclusion for a significance test must be stated in terms of the:","Alternative hypothesis, described using the specific context of the study that was conducted","Null hypothesis, described using the specific context of the study that was being investigated","Test statistic, described using the standard deviation units away from the null parameter value","Sample proportion, described using the exact numerical value observed from the collected data",20,1,,,,,,,,,,,,,,,,,,
9,"Which of the following conclusions is correctly stated after failing to reject H0?","There is not convincing statistical evidence that the true proportion differs from the null value","We have proven that the null hypothesis is true and the population parameter equals the null value","The alternative hypothesis has been disproven and should not be considered as a possibility","The sample proportion equals the null value, confirming that no difference exists in the population",20,1,,,,,,,,,,,,,,,,,,
10,"A student writes: 'We have proven that Ha is true.' What is wrong with this statement?","In statistics we never prove anything; we only state whether there is convincing evidence or not","This phrasing is only incorrect when the p-value is between 0.01 and 0.05 but correct otherwise","The word proven should be replaced with the word verified since that is the correct statistical term","This conclusion would be acceptable if the student had also included the value of the test statistic",20,1,,,,,,,,,,,,,,,,,,
11,"The significance level alpha represents a:","Predetermined boundary value for deciding whether a p-value is small enough to reject H0","Probability that the null hypothesis is true given the observed data from the random sample","Measure of how far the sample statistic falls from the hypothesized population parameter value","Calculated value that changes depending on the observed sample proportion in the study",20,1,,,,,,,,,,,,,,,,,,
12,"If a p-value equals 0.0244 and alpha equals 0.10, the correct decision is to:","Reject H0 because the p-value of 0.0244 is less than the significance level of 0.10","Fail to reject H0 because the p-value of 0.0244 is smaller than most common significance levels","Accept H0 because the p-value of 0.0244 indicates only a small probability against the null","Reject Ha because the p-value of 0.0244 is not large enough to support the alternative hypothesis",20,1,,,,,,,,,,,,,,,,,,
