"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What is a RANDOM PROCESS?","A situation where all outcomes are known but individual results are unpredictable","A situation where outcomes can be calculated using mathematical formulas","A situation where patterns always repeat in a predictable sequence","A situation where the most likely outcome always occurs first",20,1,,,,,,,,,,,,,,,,,,
2,"A situation where all possible outcomes are known but individual results cannot be predicted describes which concept?","Law of Large Numbers","Empirical Probability","Random Process","Simulation Design",20,3,,,,,,,,,,,,,,,,,,
3,"What is an OUTCOME in probability?","The result of a single trial of a random process","A collection of multiple results from repeated trials","The probability assigned to a specific event","The long-run average of many experiments",20,1,,,,,,,,,,,,,,,,,,
4,"The result of one trial of a random process is called a(n):","Event","Outcome","Simulation","Sample Space",20,2,,,,,,,,,,,,,,,,,,
5,"What is an EVENT in probability?","A collection of outcomes from a random process","The result of a single trial of an experiment","The probability that something will occur","A method for estimating unknown values",20,1,,,,,,,,,,,,,,,,,,
6,"A collection of outcomes from a random process is called a(n):","Outcome","Trial","Event","Frequency",20,3,,,,,,,,,,,,,,,,,,
7,"What is a SIMULATION?","A way to model random events so simulated outcomes match real-world outcomes","A mathematical formula for calculating exact probabilities","A method for eliminating all randomness from an experiment","A technique for predicting the next specific outcome",20,1,,,,,,,,,,,,,,,,,,
8,"A method that models random events such that simulated outcomes closely match real-world outcomes is called:","Empirical Analysis","Random Sampling","Theoretical Calculation","Simulation",20,4,,,,,,,,,,,,,,,,,,
9,"What does the LAW OF LARGE NUMBERS state?","Simulated probabilities get closer to true probability as trials increase","Each trial becomes more predictable after observing many outcomes","The probability of rare events increases with more trials","Random streaks become less common as sample size grows",20,1,,,,,,,,,,,,,,,,,,
10,"The principle that simulated probabilities tend to approach the true probability as the number of trials increases is called:","Central Limit Theorem","Law of Large Numbers","Regression to the Mean","Probability Convergence",20,2,,,,,,,,,,,,,,,,,,
11,"What is EMPIRICAL PROBABILITY?","Probability estimated by performing many trials and calculating relative frequency","Probability calculated using mathematical formulas and theory","Probability determined by expert judgment and intuition","Probability based on the physical properties of objects",20,1,,,,,,,,,,,,,,,,,,
12,"Probability that is estimated by performing many trials and calculating relative frequency is called:","Theoretical Probability","Classical Probability","Empirical Probability","Subjective Probability",20,3,,,,,,,,,,,,,,,,,,
13,"In probability, what does INDEPENDENT mean for coin flips?","Knowing one flip's result does not change the probability of the next","Each flip has a different probability based on previous results","The outcomes must alternate between heads and tails","Consecutive flips are more likely to show the same result",20,1,,,,,,,,,,,,,,,,,,
14,"When knowing the result of one trial does not affect the probability of future trials, the trials are called:","Dependent","Mutually Exclusive","Conditional","Independent",20,4,,,,,,,,,,,,,,,,,,
15,"After flipping 5 tails in a row, what is the probability the next flip is heads?","50% - each flip is independent of previous flips","Greater than 50% - heads is now more likely","Less than 50% - the streak will probably continue","100% - heads is guaranteed after so many tails",20,1,,,,,,,,,,,,,,,,,,
16,"Believing that heads is 'due' after several tails in a row is an example of:","The Law of Large Numbers applied correctly","The Gambler's Fallacy - a common misconception","Understanding of independent probability","Proper use of empirical probability",20,2,,,,,,,,,,,,,,,,,,
17,"In 100 random coin flips, getting a streak of 8 heads or tails is:","Actually quite common in truly random sequences","Extremely rare and suggests the coin is unfair","Impossible if the coin is perfectly balanced","Only possible if someone is cheating",20,1,,,,,,,,,,,,,,,,,,
18,"Long streaks of the same outcome in random data are:","A normal part of random variation that occurs frequently","Strong evidence that the process is not truly random","Caused by errors in measurement or observation","Always exactly half heads and half tails",20,1,,,,,,,,,,,,,,,,,,
19,"Why do humans often create 'fake' random sequences that look different from truly random ones?","Humans tend to avoid long streaks that actually occur in random data","Humans include too many long streaks in their sequences","Humans always create perfectly alternating patterns","Humans generate sequences with exact 50-50 splits",20,1,,,,,,,,,,,,,,,,,,
20,"When people try to write random sequences, they typically:","Alternate too frequently and avoid natural streaks","Include more long runs than real random data","Match real random patterns almost perfectly","Always start with the same outcome every time",20,1,,,,,,,,,,,,,,,,,,
