"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What most determines whether to use homogeneity or independence?","The method used to collect the data","The size of the largest expected count","The number of categories in each variable","The order in which the rows are listed",20,1,,,,,,,,,,,,,,,,,,
2,"When is a chi-square test for homogeneity appropriate?","When one variable is quantitative and one is categorical","When one sample measures two traits on each person","When row totals and column totals are both equal","When separate samples compare one variable across groups",20,4,,,,,,,,,,,,,,,,,,
3,"What situation calls for a chi-square test for independence?","When several samples compare one categorical outcome","When one sample records two categorical variables","When treatments are assigned to quantitative responses","When sample proportions are matched by design",20,2,,,,,,,,,,,,,,,,,,
4,"Why does a test for independence use one random sample?","Because one sample can estimate only one parameter","Because one sample lets both variables be measured together","Because one sample guarantees equal expected counts","Because one sample removes the need for conditions",20,2,,,,,,,,,,,,,,,,,,
5,"Which null hypothesis fits a homogeneity test?","The distributions differ across the populations","The variables show an association in the population","The distributions are the same across the populations","The samples contain equal counts in every category",20,3,,,,,,,,,,,,,,,,,,
6,"Which alternative hypothesis fits a homogeneity test?","The distributions differ across the populations","The variables are independent in the population","The row totals should match the column totals","The samples were drawn from one population",20,1,,,,,,,,,,,,,,,,,,
7,"Which null hypothesis fits an independence test?","The samples contain equal counts in every category","The variables have an association in the population","The sample uses several independent populations","The variables are independent in the population",20,4,,,,,,,,,,,,,,,,,,
8,"Which alternative hypothesis fits an independence test?","The variables are independent in the population","The category totals are equal in the population","The variables are associated in the population","The sample uses several independent populations",20,3,,,,,,,,,,,,,,,,,,
9,"Why do chi-square hypotheses here not define a parameter?","Because the test compares many category proportions at once","Because the test always uses a population mean instead","Because the test assumes each cell has the same count","Because the test uses observed counts only as labels",20,1,,,,,,,,,,,,,,,,,,
10,"Why is the alternative for these chi-square tests many-sided?","Because expected counts come from many formulas","Because each sample must have many categories","Because the chi-square curve has many regions","Because several category proportions could differ",20,4,,,,,,,,,,,,,,,,,,
11,"Before carrying out a chi-square test what should you verify first?","That the response variable is quantitative","That the conditions for the procedure are met","That the table has the same row totals","That the sample counts are all exactly equal",20,2,,,,,,,,,,,,,,,,,,
12,"Which condition checks the independence of observations?","All expected counts must be greater than 5","The sample size must match the number of cells","Data must come from the proper random design","The table must contain at least two columns",20,3,,,,,,,,,,,,,,,,,,
13,"For a homogeneity test what sampling design supports inference?","A single random sample from one population","Independent samples from multiple populations","A convenience sample from each population","Repeated measures on the same individuals",20,2,,,,,,,,,,,,,,,,,,
14,"For an independence test what sampling design supports inference?","Separate samples from each treatment group","A matched pairs design with one response","One random sample measuring both variables","A census of only the extreme categories",20,3,,,,,,,,,,,,,,,,,,
15,"What does the 10 percent condition protect against?","Allowing too many rows in a single table","Making the expected counts look too large","Confusing the null with the alternative","Treating dependent draws as if independent",20,4,,,,,,,,,,,,,,,,,,
16,"When do you need to check the 10 percent condition?","Only when sampling without replacement","Only when expected counts are decimals","Only when the null states independence","Only when the table has two rows",20,1,,,,,,,,,,,,,,,,,,
17,"Which counts must all exceed 5 for the chi-square condition?","The observed counts in every cell","The expected counts in every cell","The row totals for each population","The column totals for each response",20,2,,,,,,,,,,,,,,,,,,
