"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"In a one-sample t-test for a mean what does the test statistic describe?","how far x-bar is from mu0 measured in standard errors","how far each value is from x-bar in standard deviations","how far the sample size is from the degrees of freedom","how far the p-value is from alpha in tail probability",20,1,,,,,,,,,,,,,,,,,,
2,"Why is s over square root of n used in the denominator of the t-statistic?","It measures the spread of raw data around x-bar","It measures the gap between the null and alternative","It estimates how much x-bar varies from sample to sample","It shows how much the p-value changes with alpha",20,3,,,,,,,,,,,,,,,,,,
3,"Why do we use a t-distribution instead of a normal distribution here?","Because mean tests must always use small samples","Because x-bar can only take whole-number values","Because the null hypothesis contains an equal sign","Because sigma is unknown and s is used instead",20,4,,,,,,,,,,,,,,,,,,
4,"Why are the degrees of freedom for a one-sample t-test equal to n - 1?","One value is lost when converting data to z-scores","One degree is used when the sample mean is estimated","One tail is removed when the test is one sided","One condition is skipped when sigma is unknown",20,2,,,,,,,,,,,,,,,,,,
5,"What should be verified before calculating the test statistic in a mean test?","That the conditions for the t procedure are reasonable","That the null hypothesis has already been rejected","That the p-value is smaller than the alpha level","That the sample mean equals the hypothesized mean",20,1,,,,,,,,,,,,,,,,,,
6,"If Ha says mu > mu0 which area gives the p-value?","area in the left tail beyond the observed t","area in both tails beyond the observed t values","area in the right tail beyond the observed t","area in the center between 0 and the observed t",20,3,,,,,,,,,,,,,,,,,,
7,"If Ha says mu != mu0 why does the p-value use both tails?","Because both tails guarantee alpha equals 0.05","Because both tails keep the sample mean unchanged","Because both tails match the conditions for using t","Because both higher and lower values support Ha",20,4,,,,,,,,,,,,,,,,,,
8,"Which assumption is built into the p-value calculation for a t-test?","The null is false and the sample is typical","The null is true and the model is appropriate","The alternative is true and the sample is random","The sample mean equals the population mean",20,2,,,,,,,,,,,,,,,,,,
9,"Which wording best interprets a p-value in a test for a population mean?","probability the null hypothesis is exactly correct","probability of a sample mean as extreme if H0 is true","probability the alternative hypothesis must be accepted","probability the population mean equals the sample mean",20,2,,,,,,,,,,,,,,,,,,
10,"Which is a common mistake when interpreting a p-value?","Treating it as a probability that H0 is true","Treating it as a tail area from a t model","Treating it as evidence measured under H0","Treating it as part of a decision rule with alpha",20,1,,,,,,,,,,,,,,,,,,
11,"If the p-value is greater than alpha what is the correct decision?","Reject H0 and say chance alone is unlikely","Reject H0 and say the evidence is conclusive","Fail to reject H0 and say evidence for Ha is weak","Fail to reject H0 and say H0 has been proved",20,3,,,,,,,,,,,,,,,,,,
12,"Why should the final conclusion be written in context?","The sample mean changes meaning across problems","The claim about the population mean is contextual","The p-value depends on units more than design","The null hypothesis is always written in symbols",20,2,,,,,,,,,,,,,,,,,,
13,"Why is the null hypothesis written with an equal sign?","It makes the sample mean easier to calculate","It makes the alternative match the data exactly","It guarantees the p-value will be small enough","It creates the benchmark used for chance variation",20,4,,,,,,,,,,,,,,,,,,
14,"How should inference usually be carried out for matched pairs data?","As two separate tests using each treatment mean","As one matched-pairs test using the differences","As one chi-square test using the observed counts","As two z-tests using the known population sigmas",20,2,,,,,,,,,,,,,,,,,,
15,"In a paired t-test what does mu_d represent?","The true mean difference for the population of pairs","The true mean treatment minus control for all pairs","The true mean of treatment scores for all pairs","The true mean difference between two sample spreads",20,1,,,,,,,,,,,,,,,,,,
16,"If differences are treatment minus control and the claim is treatment helps what should Ha be?","Ha: mu_d < 0 because help means smaller spread","Ha: mu_d = 0 because help means no difference","Ha: mu_d > 0 because help means positive differences","Ha: mu_d != 0 because help means any change works",20,3,,,,,,,,,,,,,,,,,,
17,"For a paired t-test which distribution should be checked for skewness or outliers?","the distribution of the raw treatment scores","the distribution of the raw control scores","the distribution of the t values from the calculator","the distribution of the paired differences",20,4,,,,,,,,,,,,,,,,,,
18,"Why is there no 10% condition in a randomized matched-pairs experiment?","Pairs were assigned treatments rather than sampled from a population","Responses were randomly sampled so dependence could be ignored","The sample was large enough that dependence could be ignored","Technology handled the pairing so independence was automatic",20,1,,,,,,,,,,,,,,,,,,
19,"What does random assignment justify in a matched-pairs experiment?","a larger sample size for each treatment group","a normal distribution for every set of differences","a guaranteed rejection of the null hypothesis","a causal explanation for the difference in responses",20,4,,,,,,,,,,,,,,,,,,
20,"What does a small p-value mean conceptually?","The null hypothesis has been proved impossible","The observed result is unlikely if H0 were true","The sample mean must equal the population mean","The study had too much variability to be useful",20,2,,,,,,,,,,,,,,,,,,
21,"What is the correct conclusion language after rejecting H0?","There is convincing statistical evidence for Ha in context","There is complete proof that Ha is true in context","There is convincing statistical evidence that H0 is true","There is complete proof that chance never caused the data",20,1,,,,,,,,,,,,,,,,,,
22,"What is the correct conclusion language after failing to reject H0?","There is no chance that Ha could still be true","There is not convincing statistical evidence for Ha","There is convincing statistical evidence for H0","There is enough evidence to accept the null exactly",20,2,,,,,,,,,,,,,,,,,,
23,"Why can a two-sided p-value be found by doubling one tail area in a symmetric t model?","Because both tails always contain the same sample mean","Because both tails force the degrees of freedom to double","Because both tails count and the model is symmetric","Because both tails guarantee the null mean is rejected",20,3,,,,,,,,,,,,,,,,,,
