"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What is the main goal of a goodness-of-fit test?","To estimate one unknown count","To judge a claimed category pattern","To prove all categories match","To compare two different groups",20,2,,,,,,,,,,,,,,,,,,
2,"Before deciding whether results are surprising what must you identify first?","The expected pattern under chance","The strongest observed category","The order of the categories","The tallest bar in the graph",20,1,,,,,,,,,,,,,,,,,,
3,"In this setting what are observed counts?","Counts averaged across samples","Counts predicted by the model","Counts recorded from the sample","Counts adjusted for category size",20,3,,,,,,,,,,,,,,,,,,
4,"What do expected counts describe?","Counts that appeared in the sample","Counts predicted if the model holds","Counts needed to force balance","Counts after removing variation",20,2,,,,,,,,,,,,,,,,,,
5,"Why is adding Obs - Exp across categories not enough?","It forces every category to match","It changes counts into percentages","It treats opposite gaps as offsets","It makes positive and negative gaps cancel",20,4,,,,,,,,,,,,,,,,,,
6,"Why are absolute differences not the final answer?","They remove the need for a model","They make all categories equally likely","They ignore which counts were expected","They still grow when sample size grows",20,4,,,,,,,,,,,,,,,,,,
7,"Why square the differences in chi-square work?","To keep gaps positive and weight extremes","To make every category equally likely","To remove the need for a model","To turn counts into percentages",20,1,,,,,,,,,,,,,,,,,,
8,"Why divide by expected count after squaring?","To make observed totals add to one","To guarantee a small p-value","To cancel categories with small gaps","To compare gaps to the expected scale",20,4,,,,,,,,,,,,,,,,,,
9,"What does a larger chi-square statistic usually signal?","The data track the model closely","The sample size was chosen well","The data differ more from the model","The categories were poorly named",20,3,,,,,,,,,,,,,,,,,,
10,"What does a very small chi-square statistic suggest?","The data and model are fairly close","The sample was far too small","The p-value must be near zero","The categories need to be merged",20,1,,,,,,,,,,,,,,,,,,
11,"Why is this procedure useful for more than two categories?","It replaces all counts with a mean","It ignores categories with low counts","It turns categories into measured data","It checks one distribution across categories",20,4,,,,,,,,,,,,,,,,,,
12,"In a one-way categorical test what does the model provide?","A graph of the sample counts","Claimed probabilities for each category","A proof that variation is random","A rule for deleting rare outcomes",20,2,,,,,,,,,,,,,,,,,,
13,"What does random variation mean here?","Chance gaps between observed and expected","Mistakes made while entering the data","A change in the categories over time","A pattern created by weighted scoring",20,1,,,,,,,,,,,,,,,,,,
14,"What does simulating many samples under the model create?","A list of corrected category labels","A sampling distribution of chi-square values","A guarantee of equal observed counts","A replacement for expected counts",20,2,,,,,,,,,,,,,,,,,,
15,"In this lesson what is a p-value?","The share of samples with equal counts","The chance the model is certainly right","The share of simulated stats at least this large","The number of categories used in the test",20,3,,,,,,,,,,,,,,,,,,
16,"If the p-value is large what is the best conclusion?","The model has been proved true","The counts are impossible by chance","The data are consistent with the model","The expected counts were chosen wrong",20,3,,,,,,,,,,,,,,,,,,
17,"If the p-value is small what does that mean?","The sample gives evidence against the model","The sample must contain recording errors","The categories should be reordered first","The expected counts are exactly correct",20,1,,,,,,,,,,,,,,,,,,
18,"Which statement is a common mistake after a large p-value?","The data are not very unusual","The model is definitely true","Chance could explain the counts","The fit looks reasonable here",20,2,,,,,,,,,,,,,,,,,,
19,"Why is comparing categories only to each other not enough?","The bars must be shown in a fixed order","The totals must be checked a second time","The sample cannot contain natural variation","The key question is fit to expected counts",20,4,,,,,,,,,,,,,,,,,,
20,"How does dividing by expected count help with large categories?","It makes every raw gap equally suspicious","It treats the same raw gap as smaller there","It removes those categories from the test","It makes expected counts match exactly",20,2,,,,,,,,,,,,,,,,,,
21,"What kind of variable is analyzed in this lesson?","One quantitative variable with a mean","Two quantitative variables with a line","One categorical variable with categories","Two categorical variables with pairing",20,3,,,,,,,,,,,,,,,,,,
22,"After computing the chi-square statistic what comes next?","Compare it with a chance distribution","Subtract it from each observed count","Use it to rewrite the categories","Average it with the expected counts",20,1,,,,,,,,,,,,,,,,,,
23,"Why does each category contribute to chi-square?","Because only the tallest bar matters","Because fit depends on all categories","Because the totals must cancel to zero","Because rare outcomes are always removed",20,2,,,,,,,,,,,,,,,,,,
24,"When would the chi-square statistic be near zero?","When the sample has many categories","When the largest bar is on the right","When each observed count is near expected","When the p-value has been rounded",20,3,,,,,,,,,,,,,,,,,,
25,"Why do significance tests matter even when counts are not identical?","Observed counts must always be corrected","Expected counts change after every sample","Category names affect the sample size","Random sampling rarely gives exact matches",20,4,,,,,,,,,,,,,,,,,,
26,"Which result would most challenge a claimed distribution?","A small chi-square and large p-value","A small chi-square and small p-value","A large chi-square and large p-value","A large chi-square and small p-value",20,4,,,,,,,,,,,,,,,,,,
27,"What does a good fit mean in this context?","The counts look plausible from chance","The counts are equal in every category","The counts prove the model is exact","The counts remove all random error",20,1,,,,,,,,,,,,,,,,,,
28,"Which question does the p-value answer?","How often the claimed model is right","How many categories the test should use","How extreme these counts are under the model","How large each category bar should appear",20,3,,,,,,,,,,,,,,,,,,
