"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What is the main purpose of a simple linear regression model?","compare two groups with side by side bars","summarize one categorical variable with percents","predict a response from an explanatory value","describe one distribution with a center value",20,3,,,,,,,,,,,,,,,,,,
2,"In the model y-hat = a + bx what does x represent?","the predicted response value","the explanatory variable value","the average of all observed responses","the unexplained random variation",20,2,,,,,,,,,,,,,,,,,,
3,"In the model y-hat = a + bx what does y-hat represent?","the explanatory variable value","the average of all x values","the exact observed response","the predicted response value",20,4,,,,,,,,,,,,,,,,,,
4,"What does the slope b tell you in a regression model?","how much predicted y changes for one unit of x","how many data points were collected overall","how far typical points sit from the line","how wide the observed x interval appears",20,1,,,,,,,,,,,,,,,,,,
5,"What does the intercept a represent in a regression model?","the average of the observed responses","the point where data are most dense","the predicted response when x is 0","the largest predicted response value",20,3,,,,,,,,,,,,,,,,,,
6,"Why is a predicted value allowed to be a decimal even when actual counts are whole numbers?","the model rounds every response after fitting","the model gives an estimate rather than an exact count","the model changes all counts into percentages","the model uses only the largest observations",20,2,,,,,,,,,,,,,,,,,,
7,"Which step comes first when using a regression model to predict?","decide whether the line proves causation","convert the response into a percent scale","find the residual for a nearby point","identify the explanatory x value to use",20,4,,,,,,,,,,,,,,,,,,
8,"Which situation is an example of extrapolation?","predicting at an x value outside the observed interval","predicting at an x value inside the observed interval","predicting with a positive slope instead of a negative slope","predicting with a decimal result instead of a whole number",20,1,,,,,,,,,,,,,,,,,,
9,"Why are extrapolated predictions considered less reliable?","the response must eventually stop changing","the line always becomes horizontal later","the trend beyond the data may not continue","the explanatory scale becomes less precise",20,3,,,,,,,,,,,,,,,,,,
10,"As you predict farther beyond the observed x interval what usually happens?","the prediction becomes more exact","the prediction becomes less reliable","the prediction becomes easier to justify","the prediction becomes the actual response",20,2,,,,,,,,,,,,,,,,,,
11,"Which statement best distinguishes interpolation from extrapolation?","interpolation works with categories and extrapolation works with numbers","interpolation predicts totals and extrapolation predicts averages","interpolation changes the slope and extrapolation changes the intercept","interpolation stays within the x interval and extrapolation goes beyond it",20,4,,,,,,,,,,,,,,,,,,
12,"Which variable should be treated as the explanatory variable in a regression setting?","the variable used to predict the other","the variable measured with more precision","the variable with the larger number scale","the variable that appears second in a table",20,1,,,,,,,,,,,,,,,,,,
13,"Which variable should be treated as the response variable in a regression setting?","the variable with the smaller unit size","the variable recorded first in time","the variable predicted by the model","the variable that labels the graph title",20,3,,,,,,,,,,,,,,,,,,
14,"What is a common mistake when judging whether a prediction is reliable?","noting that the model gives a y-hat value","using only the equation and ignoring the x interval","stating the prediction in context of the variables","checking whether x is within the data range",20,2,,,,,,,,,,,,,,,,,,
15,"Which statement correctly describes a simple linear regression model?","it uses two response variables to predict one mean","it uses one graph title to explain one data set","it uses two categories to predict one percentage","it uses one explanatory variable to predict one response",20,4,,,,,,,,,,,,,,,,,,
16,"Why should a student mention context when explaining a prediction on an FRQ?","context identifies the actual variables being discussed","context removes the need to mention reliability","context changes a prediction into an observation","context makes the answer longer for the reader",20,1,,,,,,,,,,,,,,,,,,
17,"If x = 0 is far outside the observed data range what is the best caution about the intercept?","the intercept must be the largest y-hat value","the intercept proves the line is a poor model","the intercept may have limited practical meaning","the intercept should be ignored in every problem",20,3,,,,,,,,,,,,,,,,,,
18,"Which statement about a prediction from a regression line is correct?","it must equal one actual observed response","it is an estimate based on the fitted line","it always matches the mean of the y values","it is the same as the residual at that x value",20,2,,,,,,,,,,,,,,,,,,
19,"Why can two cases with similar x values have different actual y values?","the slope changes from point to point","the intercept resets for every new case","the x scale switches units within the graph","the model allows variability around the line",20,4,,,,,,,,,,,,,,,,,,
20,"What must you know before deciding whether a prediction is extrapolation?","the range of observed x values","the sample mean of the response","the number of categories in the data","the median of the explanatory variable",20,1,,,,,,,,,,,,,,,,,,
21,"Which prediction is most trustworthy when using a regression model?","a prediction made after rounding the slope","a prediction far beyond the observed x interval","a prediction well within the observed x interval","a prediction with a very large response unit",20,3,,,,,,,,,,,,,,,,,,
