"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"A 'point estimator' is:","The sample statistic used to estimate a population parameter","The exact value of the population parameter","A single data point from the sample","A guess with no basis in data",20,1,,,,,,,,,,,,,,,,,,
2,"A 'point estimate' is:","The specific numerical value of the statistic from one particular sample","The name of the statistic being used","The population parameter we're trying to find","The average of all possible samples",20,1,,,,,,,,,,,,,,,,,,
3,"The difference between a point estimator and a point estimate is:","The estimator is the statistic (like x-bar); the estimate is the number it produces (like 2.3)","There is no difference — they mean the same thing","The estimator is more accurate","The estimate always equals the parameter",25,1,,,,,,,,,,,,,,,,,,
4,"An estimator is 'unbiased' if:","On average, the value of the estimator equals the population parameter","Every single sample gives the correct value","It has no variability","It always overestimates the parameter",20,1,,,,,,,,,,,,,,,,,,
5,"What does 'on average' mean in the definition of unbiased?","Across ALL possible samples of the same size, the average value of the statistic equals the parameter","Across about 10 samples","When you round your answer","When the sample is large enough",25,1,,,,,,,,,,,,,,,,,,
6,"A breeder has 5 dogs (ages 0, 2, 5, 8, 10). One sample of 3 gives x-bar = 2.3 while mu = 5. Does this single miss make x-bar a biased estimator?","No — bias is about the average across ALL samples, not one sample","Yes — 2.3 is not close to 5","Yes — the sample was too small","It depends on the next sample",25,1,,,,,,,,,,,,,,,,,,
7,"In the Weimaraner example, the mean of ALL possible sample means equals 5, which is the population mean. This tells us:","x-bar is an unbiased estimator of mu — it hits the target on average","Every sample mean will be exactly 5","The sample size was large enough","The population is normally distributed",25,1,,,,,,,,,,,,,,,,,,
8,"Individual sample means vary from sample to sample. This natural variation is called:","Sampling variability","Bias","Measurement error","Population spread",20,1,,,,,,,,,,,,,,,,,,
9,"Sampling variability means that:","Different random samples will give different values of the statistic","The population is changing over time","The researcher is making mistakes","The statistic is biased",20,1,,,,,,,,,,,,,,,,,,
10,"An estimator can be unbiased AND still give an estimate far from the parameter for a single sample. This is because:","Unbiased refers to the long-run average, not any single result — variability is expected","The formula was applied incorrectly","The sample was not random","Unbiased means 'close' not 'exact'",25,1,,,,,,,,,,,,,,,,,,
11,"The sampling distribution of an unbiased estimator is:","Centered at the population parameter","Centered at zero","Skewed to the right","Always perfectly normal",20,1,,,,,,,,,,,,,,,,,,
12,"If the sampling distribution of a statistic is NOT centered at the parameter, the statistic is:","Biased","Unbiased","Random","Useless",15,1,,,,,,,,,,,,,,,,,,
13,"The sample range of {0, 2, 5} from a population of {0, 2, 5, 8, 10} is:","5","10","2.3","7.8",15,1,,,,,,,,,,,,,,,,,,
14,"The population range of {0, 2, 5, 8, 10} is:","10","5","7.8","2.5",15,1,,,,,,,,,,,,,,,,,,
15,"In the Weimaraner example, the mean of ALL sample ranges is 7.8, but the population range is 10. This means the sample range is:","A biased estimator — it doesn't hit the target on average","An unbiased estimator — 7.8 is close to 10","Unreliable because it's a small sample","Neither biased nor unbiased",25,1,,,,,,,,,,,,,,,,,,
16,"The sample range systematically UNDERESTIMATES the population range. Why?","A sample can never produce a range LARGER than the population range — it can only be equal or smaller","The formula for range is wrong","Larger values are harder to measure","Random chance makes it go either way",25,1,,,,,,,,,,,,,,,,,,
17,"Why can a sample range never exceed the population range?","The sample is a subset of the population, so its max and min must be within the population's boundaries","It can — this only happens with Weimaraners","The range formula divides by n","Sample ranges are always zero",25,1,,,,,,,,,,,,,,,,,,
18,"In the dot plot of all sample ranges, the dots cluster:","To the LEFT of the population range — the sample range tends to be too small","To the RIGHT of the population range","Evenly on both sides of the population range","All at the same value",25,1,,,,,,,,,,,,,,,,,,
19,"A biased estimator that underestimates means:","The sampling distribution is centered BELOW the true parameter value","Every sample gives a value too low","The statistic is always wrong","The sample size needs to be larger",25,1,,,,,,,,,,,,,,,,,,
20,"Could a statistic be biased in the OTHER direction — systematically overestimating?","Yes — in principle, a statistic could be centered above the parameter","No — bias always means underestimating","Only if the population is skewed","Only for proportions, not means",25,1,,,,,,,,,,,,,,,,,,
21,"Which of these is an unbiased estimator of the population mean?","The sample mean (x-bar)","The sample range","The sample maximum","The sample minimum",20,1,,,,,,,,,,,,,,,,,,
22,"'Estimators exhibit variability that can be modeled using probability.' This means:","We can predict the pattern of variation across many samples, even though each sample is different","Estimators are random and unpredictable","We need probability to fix biased estimators","Variability is always a problem to eliminate",25,1,,,,,,,,,,,,,,,,,,
23,"Two friends debate. Alex says: 'My sample mean was 2.3, not 5, so x-bar is biased.' Sam says: 'One miss doesn't make it biased.' Who is correct?","Sam — bias is about the average of ALL possible samples, not one result","Alex — 2.3 is too far from 5","Both are wrong","Both are correct",25,1,,,,,,,,,,,,,,,,,,
24,"If we could take ALL possible samples and calculate a statistic for each, we would create a:","Sampling distribution","Population distribution","Normal distribution","Frequency table",20,1,,,,,,,,,,,,,,,,,,
25,"To determine if an estimator is unbiased, you compare:","The center (mean) of the sampling distribution to the population parameter","One sample's estimate to the parameter","The largest estimate to the smallest estimate","The sample size to the population size",25,1,,,,,,,,,,,,,,,,,,
26,"A researcher takes one sample and gets a proportion of 0.47 for a population with p = 0.50. Can she conclude p-hat is biased?","No — one sample isn't enough to judge bias; she'd need to consider all possible samples","Yes — 0.47 ≠ 0.50","Yes — it underestimated","Only if she repeats the study",25,1,,,,,,,,,,,,,,,,,,
27,"Which analogy best captures what 'unbiased' means?","An archer whose shots scatter around the bullseye — misses happen, but they average to the center","An archer who hits the bullseye every single time","An archer who always misses to the left","An archer who misses by the same amount each time",25,1,,,,,,,,,,,,,,,,,,
28,"Using that same analogy, a BIASED estimator would be like:","An archer whose shots consistently miss to one side of the bullseye","An archer who occasionally misses","An archer with a larger target","An archer who takes fewer shots",25,1,,,,,,,,,,,,,,,,,,
29,"Why do we care about bias in statistics?","A biased estimator will systematically miss the parameter — it can't be trusted to target the truth on average","Biased estimators are always wrong","Bias makes calculations harder","Bias only matters for large samples",25,1,,,,,,,,,,,,,,,,,,
30,"The sample mean is unbiased. The sample range is biased. What about the sample median — is it always unbiased?","It depends on the population — the median is unbiased for symmetric populations but can be biased for skewed ones","Yes — medians are always unbiased","No — medians are always biased","Medians can't estimate anything",25,1,,,,,,,,,,,,,,,,,,
31,"A statistic's bias and its variability are:","Two separate things — a statistic can be unbiased but highly variable, or biased with low variability","The same thing","Always inversely related","Only relevant for large samples",25,1,,,,,,,,,,,,,,,,,,
32,"Which is worse: a statistic that is unbiased but very variable, or one that is biased but very precise?","It depends on the situation — both bias and variability matter, and we ideally want low amounts of both","Variable is always worse","Biased is always worse","They are equally bad",25,1,,,,,,,,,,,,,,,,,,
33,"If you increase the sample size, what happens to bias?","Bias stays the same — if a statistic is unbiased at n=3, it's unbiased at n=100 too","Bias decreases","Bias increases","Bias disappears at n=30",25,1,,,,,,,,,,,,,,,,,,
34,"If you increase the sample size, what typically happens to variability?","Variability decreases — larger samples give estimates closer to the parameter","Variability increases","Variability stays the same","Variability is unpredictable",20,1,,,,,,,,,,,,,,,,,,
