"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Why must conditions be checked before making a confidence interval for slope?","They show whether the sample line hits every point","They show whether the x values are evenly spaced","They show whether inference about beta is justified","They show whether the response variable has no units",20,3,,,,,,,,,,,,,,,,,,
2,"Which display is most useful for spotting leftover curvature after fitting a line?","A dotplot of the sample slopes from one study","A residual plot against the explanatory variable","A table of the regression coefficients alone","A histogram of the explanatory variable values",20,2,,,,,,,,,,,,,,,,,,
3,"If the spread of residuals grows as x increases what issue is suggested?","The slope is exactly equal to zero","The line is perfectly centered on the data","The sample was too random to analyze","The variability of y may change with x",20,4,,,,,,,,,,,,,,,,,,
4,"Why do students look at residuals when checking normality for slope inference?","Residuals show whether the slope is larger than one","Residuals show whether the x values are evenly spaced","Residuals show whether each y value is predicted exactly","Residuals show whether errors look roughly bell shaped",20,4,,,,,,,,,,,,,,,,,,
5,"A scatterplot looks linear but the residual plot shows a curve. What is the best conclusion?","A linear model is still guaranteed to work well","A linear model is doubtful because pattern remains","A linear model is correct because slopes are positive","A linear model is unnecessary because r must be one",20,2,,,,,,,,,,,,,,,,,,
6,"In the population regression model what does beta describe?","It describes the average change in y for one x step","It describes the exact change in every observed point","It describes the percent of points on the fitted line","It describes the center of the x value distribution",20,1,,,,,,,,,,,,,,,,,,
7,"When the model conditions are met what is the shape of the sampling distribution of b?","It is exactly uniform for every random sample","It is approximately normal across many samples","It is strongly right skewed for linear data","It is fixed because the slope cannot vary",20,2,,,,,,,,,,,,,,,,,,
8,"When conditions hold where is the sampling distribution of b centered?","At the sample slope from the first sample taken","At zero because positive and negative slopes cancel","At the population slope beta of the true line","At the sample mean of the explanatory variable",20,3,,,,,,,,,,,,,,,,,,
9,"Why is a t interval used for the slope instead of a z interval?","A t interval adjusts because sigma is estimated","A t interval assumes the slope must be positive","A t interval removes the need to check graphs","A t interval is only for randomized experiments",20,1,,,,,,,,,,,,,,,,,,
10,"Which sample value is used to estimate sigma_x in this setting?","The sample slope b from the regression output","The sample standard deviation of the x values","The sample mean of the predicted y values","The sample correlation between x and y",20,2,,,,,,,,,,,,,,,,,,
11,"Which sample statistic is used to estimate sigma for the model?","The standard deviation of the predicted values","The standard deviation of the response values","The standard deviation of the sample slopes","The standard deviation of the residuals s",20,4,,,,,,,,,,,,,,,,,,
12,"What does the standard error of the slope represent?","The average vertical distance from the line","The typical sample to sample change in b","The chance that the slope is exactly zero","The amount of curvature in the scatterplot",20,2,,,,,,,,,,,,,,,,,,
13,"Why does the t procedure for slope use n minus 2 degrees of freedom?","One degree is lost for each sample mean","Two degrees are lost for both graph axes","Two degrees are lost for slope and intercept","One degree is lost for each confidence bound",20,3,,,,,,,,,,,,,,,,,,
14,"When do you need to check the 10% condition for slope inference?","When the response values have strong skewness","When the sample comes from a randomized experiment","When the slope estimate is close to zero","When sampling is without replacement from a population",20,4,,,,,,,,,,,,,,,,,,
15,"Why does a random sample matter for this inference?","It helps justify generalizing to the population","It forces the residual plot to have no outliers","It guarantees the confidence interval is narrow","It makes the sample slope equal the true slope",20,1,,,,,,,,,,,,,,,,,,
16,"If residuals show strong skewness and n is small what is the best response?","Proceed because linearity matters more than shape","Proceed because t procedures ignore outliers","Proceed because random sampling fixes skewness","Stop because the normality condition is doubtful",20,4,,,,,,,,,,,,,,,,,,
17,"If the residual distribution is only mildly nonnormal and n is fairly large what is most reasonable?","A t interval may still work reasonably well","A t interval must be replaced by a z interval","A t interval is impossible unless the plot is perfect","A t interval needs every residual to be zero",20,1,,,,,,,,,,,,,,,,,,
18,"What two ingredients make up the margin of error for slope?","The sample slope and the sample intercept","The sample mean and the sample standard deviation","The critical value and the standard error","The correlation and the coefficient of determination",20,3,,,,,,,,,,,,,,,,,,
19,"If you raise the confidence level what usually happens to the interval for slope?","It gets narrower because less uncertainty is allowed","It gets narrower because the slope estimate improves","It gets wider because the critical value grows","It gets wider because the sample mean changes",20,3,,,,,,,,,,,,,,,,,,
20,"If you increase the sample size while other factors stay similar what happens to the interval?","It stays the same because slope is scale free","It often narrows because the standard error shrinks","It often widens because more residuals are included","It becomes invalid because n changes the model",20,2,,,,,,,,,,,,,,,,,,
21,"Which choice is a common mistake when building an interval for slope?","Using the slope and its standard error","Using the intercept instead of the slope","Using a t critical value with n minus 2","Using graphs to check model conditions",20,2,,,,,,,,,,,,,,,,,,
22,"How is a residual distribution different from a sampling distribution of b?","Residuals track prediction errors while b tracks sample slopes","Residuals track x values while b tracks response means","Residuals track confidence levels while b tracks t values","Residuals track populations while b tracks experiments",20,1,,,,,,,,,,,,,,,,,,
23,"Why does equal variability of y across x matter for slope inference?","It supports using one common error spread in the model","It proves the slope is the same in every sample","It forces the residual mean to become positive","It guarantees the response values are normal",20,1,,,,,,,,,,,,,,,,,,
24,"What does random scatter around zero in a residual plot mainly support?","The observations were taken from a census","The confidence level should be very high","The x values are centered at zero","The linear form leaves no obvious pattern",20,4,,,,,,,,,,,,,,,,,,
25,"If the sampling distribution of b is centered at beta what does that mean?","Many sample slopes balance around the true slope","Every sample slope equals the true slope exactly","The sample intercept is always close to beta","The residual standard deviation must equal beta",20,1,,,,,,,,,,,,,,,,,,
26,"What does a confidence interval for the slope try to estimate?","Plausible values for the population slope","Exact values for every future sample slope","Plausible values for the sample intercept","Exact values for every future response value",20,1,,,,,,,,,,,,,,,,,,
27,"Which question is answered by a confidence interval for slope?","How large is the mean response at x equals zero","What range of slopes is plausible for the population","How many points must lie above the fitted line","What range of x values was sampled in the study",20,2,,,,,,,,,,,,,,,,,,
28,"Which condition is about the shape of responses at a fixed x value?","The sample size is at least ten observations","The residual mean is exactly zero","The response spread is equal at every x value","The responses are roughly normal around the line",20,4,,,,,,,,,,,,,,,,,,
29,"Why can a sample slope differ from beta even when the model is valid?","Random samples produce natural variation in b","Valid models force the slope to drift upward","Regression always ignores the population pattern","The intercept controls the slope in each sample",20,1,,,,,,,,,,,,,,,,,,
30,"When checking equal variance with sample data which displays are most helpful?","A dotplot and a t table","A scatterplot and a residual plot","A boxplot and a stem plot","A sampling distribution and a z table",20,2,,,,,,,,,,,,,,,,,,
