"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Which set of ideas belongs in a full description of a quantitative distribution?","shape center spread and unusual features","sample size labels units and title words","slope intercept trend and association","mean median table and confidence level",20,1,,,,,,,,,,,,,,,,,,
2,"Why should context appear in a description of a distribution?","it proves the sample matches a population","it removes the need to discuss spread","it identifies what variable the data represent","it shows which graph is always superior",20,3,,,,,,,,,,,,,,,,,,
3,"Which feature makes a distribution skewed right?","the right tail extends farther than the left","the left tail extends farther than the right","the bars all have about the same height","the graph has mirror image halves",20,1,,,,,,,,,,,,,,,,,,
4,"Which feature makes a distribution skewed left?","the right tail extends farther than the left","the left tail extends farther than the right","the graph has one clear peak in center","the graph has two clear peaks in center",20,2,,,,,,,,,,,,,,,,,,
5,"What does it mean for a distribution to be symmetric?","values stop exactly at the center","bars rise steadily from left to right","the left side mirrors the right side","the graph contains no gaps or clusters",20,3,,,,,,,,,,,,,,,,,,
6,"Which description best matches a unimodal graph?","it has one main peak in the data","it has two main peaks in the data","it has equal heights across the data","it has tails of equal length only",20,1,,,,,,,,,,,,,,,,,,
7,"Which description best matches a bimodal graph?","it has one main peak in the data","it has no visible peaks in the data","it has two prominent peaks in the data","it has mirror image tails in the data",20,3,,,,,,,,,,,,,,,,,,
8,"Which description best matches an approximately uniform graph?","it has one clear cluster and one tail","it has two clear peaks and a gap","it has similar heights across values","it has mirror image halves and one peak",20,3,,,,,,,,,,,,,,,,,,
9,"When discussing center what question are you answering?","which value seems most typical in the data","which value is farthest from the rest","which side has the longer visible tail","which region has no observed values",20,1,,,,,,,,,,,,,,,,,,
10,"When discussing variability what are you judging?","whether the graph has one or two peaks","whether values seem packed or spread out","whether the graph uses bars or dots","whether a sample proves a population claim",20,2,,,,,,,,,,,,,,,,,,
11,"What is a gap in a quantitative distribution?","a value repeated many times together","a region with no observed values","a point far from the overall pattern","a place where values are most crowded",20,2,,,,,,,,,,,,,,,,,,
12,"What is a cluster in a quantitative distribution?","a concentration of nearby values","a region with no observed values","a tail that stretches much farther","a point far from most values",20,1,,,,,,,,,,,,,,,,,,
13,"Which statement best defines an outlier?","it is a value near the typical response","it is a value repeated more than once","it is a value unusually far from the rest","it is a value centered between two gaps",20,3,,,,,,,,,,,,,,,,,,
14,"How is shape different from spread in a distribution?","shape is the pattern while spread is the overall extent","shape is the highest value while spread is the lowest value","shape is the sample size while spread is the unit label","shape is the context while spread is the data source",20,1,,,,,,,,,,,,,,,,,,
15,"Which is a common mistake when deciding whether data are skewed?","looking for a longer tail on one side","judging skew by the side with the cluster","checking whether the graph has one peak","noting whether the values are spread out",20,2,,,,,,,,,,,,,,,,,,
16,"Which statement about descriptive statistics is correct?","it proves the whole population has the same pattern","it replaces the need for later statistical testing","it describes the data shown and may guide later study","it guarantees future samples will look the same",20,3,,,,,,,,,,,,,,,,,,
17,"Why can gaps and clusters be useful together in a description?","gaps can separate concentrations of values","gaps can force a graph to become symmetric","gaps can turn every high value into an outlier","gaps can make the center equal the maximum",20,1,,,,,,,,,,,,,,,,,,
18,"Which phrase best describes center without doing a calculation?","the longest tail on the graph","the most typical value in the graph","the emptiest region on the graph","the most isolated point on the graph",20,2,,,,,,,,,,,,,,,,,,
19,"A graph has one main peak and a longer right tail. Which description fits best?","bimodal and skewed left","uniform and symmetric","unimodal and skewed right","unimodal and symmetric",20,3,,,,,,,,,,,,,,,,,,
20,"A graph has bars of similar height and no main peaks. Which term fits best?","skewed right with a long tail","bimodal with two main peaks","approximately uniform throughout","clustered with one strong peak",20,3,,,,,,,,,,,,,,,,,,
21,"Which observation most strongly suggests a value is an outlier?","it lies far above most other values","it falls inside the thickest cluster","it helps create a single main peak","it sits near the typical response",20,1,,,,,,,,,,,,,,,,,,
22,"Which summary leaves out both variability and unusual features?","it is skewed right with a typical value near 20","it is skewed right with a wide range and one outlier","it is symmetric with a gap and values spread out","it is bimodal with clusters and a narrow spread",20,1,,,,,,,,,,,,,,,,,,
23,"Why is center not the same as the maximum value?","center describes a typical response not an extreme one","center always equals the middle bar on a graph","center only matters when a graph is symmetric","center should be the value with no neighbors",20,1,,,,,,,,,,,,,,,,,,
24,"How does a peak differ from a cluster in a distribution?","a peak is a label while a cluster is a value group","a peak is a gap while a cluster is a stretched tail","a peak is a high spot while a cluster is a concentration","a peak is center while a cluster is overall spread",20,3,,,,,,,,,,,,,,,,,,
25,"Which question is most directly about spread?","what value seems most typical here","how far do the values extend overall","which side has the longer tail","where does the graph have a main peak",20,2,,,,,,,,,,,,,,,,,,
26,"Why should unusual features be reported separately?","they may not match the main pattern of the data","they always determine the exact center value","they remove the need to describe the shape","they show that the graph must be uniform",20,1,,,,,,,,,,,,,,,,,,
27,"Which pair names shape terms rather than unusual features?","gap and cluster as a pair","outlier and gap as a pair","symmetric and bimodal as a pair","cluster and unimodal as a pair",20,3,,,,,,,,,,,,,,,,,,
28,"Which claim goes beyond what descriptive statistics can support?","the sample looks skewed right","the graph shows a gap between groups","the typical value seems fairly low","every member of the population must follow this pattern",20,4,,,,,,,,,,,,,,,,,,
