"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Two researchers each take a random sample of 50 students from the same school and calculate the mean GPA. They get different results. This is BEST explained by:","Sampling variability — different samples naturally produce different statistics","One of the researchers made a calculation error","The population changed between the two samples","The sample size was too small to produce any useful information",25,1,,,,,,,,,,,,,,,,,,
2,"A polling company surveys 1,000 voters and finds 48% support Candidate A. Another company surveys a different 1,000 voters and finds 52% support. What can we conclude?","This is expected — sample proportions naturally vary from sample to sample","At least one of the polls must be wrong","The true support must be exactly 50%","Polls with 1,000 people are never reliable",25,1,,,,,,,,,,,,,,,,,,
3,"If you take MANY random samples of the same size from a population, the sample means will:","Form a predictable distribution centered around the population mean","All be exactly equal to the population mean","Be completely random with no recognizable pattern","Always be larger than the population mean",25,1,,,,,,,,,,,,,,,,,,
4,"A single sample statistic is MOST similar to:","A roll of the dice — unpredictable by itself but part of a predictable pattern","A calculator output — always gives the exact right answer","A thermometer reading — always accurate within small error","A census result — captures the entire population perfectly",25,1,,,,,,,,,,,,,,,,,,
5,"Why is a single random sample NOT enough to know the true population parameter?","Because sampling variability means any one sample could be far from the truth","Because random samples are always biased","Because you need at least 100 samples to get any useful information","Because single samples always overestimate the parameter",25,1,,,,,,,,,,,,,,,,,,
6,"The distribution of ALL possible sample means (for a given sample size) from a population is called a:","Sampling distribution","Population distribution","Sample distribution","Frequency distribution",25,1,,,,,,,,,,,,,,,,,,
7,"What is the key difference between a 'sample distribution' and a 'sampling distribution'?","A sample distribution is data from one sample; a sampling distribution is the pattern of a statistic from many samples","They mean the same thing — the terms are interchangeable","A sample distribution is always normal; a sampling distribution is always skewed","A sampling distribution uses smaller sample sizes than a sample distribution",25,1,,,,,,,,,,,,,,,,,,
8,"The area under a normal curve between two values represents:","The probability that a randomly selected value falls in that interval","The number of data points in that interval","The mean of the values in that interval","The standard deviation of the values in that interval",25,1,,,,,,,,,,,,,,,,,,
9,"A z-score of 2.0 means the value is:","2 standard deviations above the mean","2 times the mean","In the top 2% of the distribution","Twice as likely as the mean value",25,1,,,,,,,,,,,,,,,,,,
10,"A z-score of −1.5 tells you that the value is:","1.5 standard deviations BELOW the mean","Negative and therefore impossible","In the bottom 1.5% of the distribution","1.5 times smaller than the average",25,1,,,,,,,,,,,,,,,,,,
11,"Two students have exam scores from different classes. Student A scored z = 1.8 and Student B scored z = 1.2. Who performed better RELATIVE to their class?","Student A — a higher z-score means further above their class mean","Student B — a lower z-score is always better","Cannot determine without knowing the actual scores","Cannot determine without knowing both class means",25,1,,,,,,,,,,,,,,,,,,
12,"In a normal distribution, approximately what percent of values fall within 2 standard deviations of the mean?","95%","68%","99.7%","50%",20,1,,,,,,,,,,,,,,,,,,
13,"If adult heights are normally distributed with μ = 67 inches and σ = 3 inches, about 68% of adults are between:","64 and 70 inches","61 and 73 inches","58 and 76 inches","67 and 70 inches",25,1,,,,,,,,,,,,,,,,,,
14,"A value in a normal distribution has a z-score of 0. This means the value:","Is exactly equal to the mean","Has a probability of zero","Is impossible to observe","Is at the edge of the distribution",20,1,,,,,,,,,,,,,,,,,,
15,"On an AP Statistics exam, when solving a normal probability problem, you must ALWAYS:","Show that you're using a normal distribution and identify the parameters","Just write the final numerical answer","Only use calculator syntax like normalcdf(...)","Draw a picture but skip the z-score calculation",25,1,,,,,,,,,,,,,,,,,,
