"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Each dot on a simulated sampling distribution of x-bar_1 minus x-bar_2 represents:","The difference between two sample means from one pair of random samples","A single observation randomly selected from one of the two populations","The difference between the two population means being studied","The average of all observations combined from both random samples",25,1,,,,,,,,,,,,,,,,,,
2,"The mean of the sampling distribution of x-bar_1 minus x-bar_2 equals:","The difference in the two population means","The average of the two population means","The sum of the two population standard deviations","The difference in the two sample standard deviations",25,1,,,,,,,,,,,,,,,,,,
3,"The standard deviation of x-bar_1 minus x-bar_2 is found by:","Taking the square root of sigma_1 squared over n_1 plus sigma_2 squared over n_2","Taking the square root of sigma_1 squared over n_1 minus sigma_2 squared over n_2","Dividing the sum of the two population standard deviations by the total sample size","Multiplying the two population standard deviations and dividing by the sample size",25,1,,,,,,,,,,,,,,,,,,
4,"The SD formula for x-bar_1 minus x-bar_2 ADDS the two variance terms even though we subtract the means because:","Variability from both samples accumulates when combining independent random variables","Subtraction reverses the sign of variability so it becomes addition automatically","The formula sheet has a typo and it should actually subtract the variance terms","Adding makes the formula simpler even though subtracting would be more accurate",25,1,,,,,,,,,,,,,,,,,,
5,"The 10 percent condition for x-bar_1 minus x-bar_2 requires that:","Both sample sizes are less than 10% of their respective population sizes","The difference in sample means is within 10% of the difference in population means","At least 10% of each population is included in the corresponding sample","The combined sample size is less than 10% of the combined population size",25,1,,,,,,,,,,,,,,,,,,
6,"The two samples used to compute x-bar_1 minus x-bar_2 must be:","Selected independently of each other from their respective populations","Drawn from the same population and then randomly split into two groups","Equal in size for the sampling distribution formulas to be valid","Collected at the same time to avoid any confounding between the groups",25,1,,,,,,,,,,,,,,,,,,
7,"The sampling distribution of x-bar_1 minus x-bar_2 is approximately normal when:","Both population distributions are approximately normal or both sample sizes are at least 30","The difference in population means is approximately equal to zero","Both sample sizes are exactly equal and each is greater than 10","The combined sample size exceeds 30 regardless of individual sample sizes",25,1,,,,,,,,,,,,,,,,,,
8,"If both populations are approximately normal the sampling distribution of x-bar_1 minus x-bar_2 is:","Approximately normal regardless of how small the sample sizes are","Only approximately normal when both sample sizes exceed 30","Approximately normal only when the population standard deviations are equal","Not approximately normal unless the sample sizes are also large",25,1,,,,,,,,,,,,,,,,,,
9,"If the population distributions are unknown and you have n_1 equals 15 and n_2 equals 20 then:","You cannot assume the sampling distribution of x-bar_1 minus x-bar_2 is approximately normal","The sampling distribution is approximately normal because both samples are larger than 10","The sampling distribution is approximately normal because the total sample size exceeds 30","You can assume normality as long as the 10 percent condition is satisfied",25,1,,,,,,,,,,,,,,,,,,
10,"If the population distributions are unknown and you have n_1 equals 40 and n_2 equals 35 then:","The sampling distribution of x-bar_1 minus x-bar_2 is approximately normal by the CLT","The sampling distribution cannot be approximately normal without knowing population shapes","The sampling distribution is normal only if the two population standard deviations are equal","The Central Limit Theorem does not apply to differences in sample means",25,1,,,,,,,,,,,,,,,,,,
11,"Lemons have mu equals 4 oz and sigma equals 0.5 oz. Oranges have mu equals 3 oz and sigma equals 0.4 oz. With n equals 6 from each the mean of x-bar_L minus x-bar_O is:","1 ounce","7 ounces","0.5 ounces","3.5 ounces",25,1,,,,,,,,,,,,,,,,,,
12,"Using the same citrus example the standard deviation of x-bar_L minus x-bar_O is:","0.26 ounces","0.90 ounces","0.13 ounces","0.50 ounces",25,1,,,,,,,,,,,,,,,,,,
13,"If we reversed the order of subtraction to x-bar_O minus x-bar_L the mean would change to:","Negative 1 ounce","1 ounce","0 ounces","3 ounces",25,1,,,,,,,,,,,,,,,,,,
14,"If we reversed the order of subtraction to x-bar_O minus x-bar_L the standard deviation would:","Stay the same at 0.26 ounces","Change to negative 0.26 ounces","Double to 0.52 ounces","Be cut in half to 0.13 ounces",25,1,,,,,,,,,,,,,,,,,,
15,"When interpreting the mean of the sampling distribution of x-bar_1 minus x-bar_2 you must reference:","All possible pairs of random samples of these sizes from these two populations","Only the single pair of samples that was actually collected and measured","The population distributions without mentioning the sampling process at all","The formula that was used to compute the mean of the sampling distribution",25,1,,,,,,,,,,,,,,,,,,
16,"A correct interpretation of the mean of x-bar_1 minus x-bar_2 must include:","The context of the problem and the appropriate units of measurement","Only the numerical value of the mean without any additional wording","A reference to the Central Limit Theorem and the sample sizes used","The population standard deviations and the 10 percent condition check",25,1,,,,,,,,,,,,,,,,,,
17,"When interpreting the standard deviation of x-bar_1 minus x-bar_2 you should include the word:","Typically or on average","Exactly or precisely","Always or certainly","Approximately or nearly",25,1,,,,,,,,,,,,,,,,,,
18,"Sigma sub x-bar_1 minus x-bar_2 equals 0.26 means that the differences in sample means:","Typically vary by about 0.26 ounces from the true difference in population means","Are always exactly 0.26 ounces away from the true difference in population means","Have a total range of 0.26 ounces between the smallest and largest possible differences","Will never be more than 0.26 ounces away from the true difference in population means",25,1,,,,,,,,,,,,,,,,,,
19,"To calculate a probability involving x-bar_1 minus x-bar_2 you first need to:","Find the z-score using the mean and SD of the sampling distribution","Find the z-score using the individual population means and standard deviations","Look up the difference in sample means directly in the standard normal table","Multiply the difference in sample means by both sample sizes",25,1,,,,,,,,,,,,,,,,,,
20,"The z-score formula for x-bar_1 minus x-bar_2 uses which value in the denominator:","The standard deviation of the sampling distribution of x-bar_1 minus x-bar_2","The larger of the two population standard deviations","The average of the two population standard deviations","The difference between the two population standard deviations",25,1,,,,,,,,,,,,,,,,,,
21,"In the citrus example z equals (1.2 minus 1) divided by 0.26 equals 0.77. This means:","The observed difference is 0.77 SDs above the mean of the sampling distribution","There is a 0.77 percent chance of observing this difference in sample means","The difference in sample means is 0.77 times larger than the population difference","The observed difference is 0.77 ounces away from the population mean difference",25,1,,,,,,,,,,,,,,,,,,
22,"P(x-bar_L minus x-bar_O greater than 1.2) equals 0.2206. This result is considered:","Not unusual because about 22% of all samples would produce this result or more extreme","Very unusual because any probability below 0.50 should be considered a rare event","Exactly on the boundary between what statisticians call unusual and not unusual","Impossible to classify without knowing the exact sizes of the two populations",25,1,,,,,,,,,,,,,,,,,,
23,"A probability of 0.03 for a difference in sample means would be considered:","Unusual because fewer than 5% of all sample pairs would produce this result","Not unusual because the probability is still greater than zero","Impossible to interpret without also knowing the value of the z-score","Not unusual because any probability above 0.01 is considered common",25,1,,,,,,,,,,,,,,,,,,
24,"If you increase both sample sizes the SD of x-bar_1 minus x-bar_2 will:","Decrease because the denominators in the variance fractions get larger","Increase because larger samples contain more total variability in them","Stay the same because the population standard deviations do not change","Double because there are two samples both getting larger at the same time",25,1,,,,,,,,,,,,,,,,,,
25,"If both sample sizes increase from 10 to 40 and the observed difference stays the same then:","The z-score increases and the probability of that difference decreases","The z-score stays the same because the observed difference has not changed","The z-score decreases and the probability of that difference increases","The z-score and probability both remain unchanged by the sample size change",25,1,,,,,,,,,,,,,,,,,,
26,"Knowing what values of x-bar_1 minus x-bar_2 count as unusual directly connects to:","Significance tests that will be studied in Units 6 through 9","Calculating the exact values of the two population means","Determining whether the two populations have equal standard deviations","Choosing the correct sample size before collecting any data",25,1,,,,,,,,,,,,,,,,,,
27,"The formulas for the mean and SD of x-bar_1 minus x-bar_2 appear on:","The AP formula sheet provided on both the multiple choice and free response sections","Only the free response section of the AP exam and not the multiple choice section","A separate reference card that must be requested from the exam proctor","Neither section because students are expected to memorize all sampling distribution formulas",25,1,,,,,,,,,,,,,,,,,,
28,"Compared to the sampling distribution of a single x-bar the distribution of x-bar_1 minus x-bar_2:","Has a SD that depends on two population standard deviations and two sample sizes","Has a SD that depends on only one population standard deviation and one sample size","Always has a larger mean because it involves two populations instead of one","Always has a smaller SD because the subtraction removes some of the variability",25,1,,,,,,,,,,,,,,,,,,
29,"The normality condition for x-bar_1 minus x-bar_2 uses Normal/CLT. The normality condition for p-hat_1 minus p-hat_2 uses:","The Large Counts condition requiring four separate checks of np at least 10","The same Normal population or CLT condition used for differences in means","The 10 percent condition applied to both samples independently","No condition at all because differences in proportions are always normal",25,1,,,,,,,,,,,,,,,,,,
30,"Population A has mu equals 20 and sigma equals 3. Population B has mu equals 15 and sigma equals 4. With n_1 equals 9 and n_2 equals 16 the mean of x-bar_A minus x-bar_B is:","5","35","17.5","2.5",25,1,,,,,,,,,,,,,,,,,,
31,"Using the same example the SD of x-bar_A minus x-bar_B equals:","The square root of 9/9 plus 16/16 which equals the square root of 2","The square root of 3/9 plus 4/16 which equals the square root of 0.583","The square root of 9/3 plus 16/4 which equals the square root of 7","The square root of 3/3 plus 4/4 which equals the square root of 2",25,1,,,,,,,,,,,,,,,,,,
32,"For that same example the z-score for an observed difference of 7 would be:","(7 minus 5) divided by the SD of the sampling distribution","(7 minus 5) divided by the larger population standard deviation","(7 minus 20) divided by the population standard deviation of A","(7 minus 35) divided by the sum of both population standard deviations",25,1,,,,,,,,,,,,,,,,,,
33,"Both the SD formula for x-bar_1 minus x-bar_2 and the SD formula for p-hat_1 minus p-hat_2 share which structural feature:","Both ADD variance contributions from the two groups under a square root","Both SUBTRACT variance contributions because the statistic involves subtraction","Both divide the population parameter by the square root of the sample size","Both require exactly equal sample sizes from the two populations",25,1,,,,,,,,,,,,,,,,,,
34,"The 10 percent condition for x-bar_1 minus x-bar_2 is needed so that:","The standard deviation formula produces a valid estimate of the true spread","The sampling distribution of x-bar_1 minus x-bar_2 is approximately normal","The mean of the sampling distribution equals the difference in population means","The Central Limit Theorem can be applied to both samples simultaneously",25,1,,,,,,,,,,,,,,,,,,
35,"Studying the sampling distribution of x-bar_1 minus x-bar_2 is important because it:","Allows us to determine if an observed difference between two groups is surprising","Proves that two population means are always different from each other","Eliminates the need to collect data from more than one sample per population","Guarantees that sample means will always be normally distributed in practice",25,1,,,,,,,,,,,,,,,,,,
