"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"The sampling distribution of p-hat_1 minus p-hat_2 describes:","How the difference in sample proportions varies across all possible pairs of random samples","How the proportions in two populations differ from each other over time","How individual responses vary within a single sample from one population","The difference between two population means from a single experiment",25,1,,,,,,,,,,,,,,,,,,
2,"Each dot on a dotplot of the sampling distribution of p-hat_1 minus p-hat_2 represents:","The difference in proportions calculated from one pair of independent random samples","A single person's response drawn from one of the two populations being studied","The true population difference that remains constant across all sample pairs","The average of all sample proportions that have been collected so far",25,1,,,,,,,,,,,,,,,,,,
3,"The mean of the sampling distribution of p-hat_1 minus p-hat_2 equals:","The true difference in population proportions: p_1 minus p_2","The average of the two population proportions: (p_1 plus p_2) divided by 2","The product of both population proportions: p_1 times p_2","The sum of the two sample proportions: p-hat_1 plus p-hat_2",25,1,,,,,,,,,,,,,,,,,,
4,"Because the mean equals the true difference in population proportions, we say p-hat_1 minus p-hat_2 is:","An unbiased estimator of the true difference p_1 minus p_2","A perfectly precise measurement of both population proportions","A biased estimator that consistently overestimates the true difference","A resistant statistic that is unaffected by outliers in either sample",25,1,,,,,,,,,,,,,,,,,,
5,"The SD formula for p-hat_1 minus p-hat_2 ADDS the variance terms from each population because:","The two samples are drawn independently so their variabilities combine additively","Subtracting proportions always requires adding the corresponding standard deviations","The formula sheet lists it that way for convenience rather than a mathematical reason","Adding variances produces a smaller result than subtracting them would produce",25,1,,,,,,,,,,,,,,,,,,
6,"If p-hat_1 minus p-hat_2 gives a NEGATIVE value, this means:","The second sample happened to have a larger proportion than the first sample did","An error occurred during the random sampling process for one of the two groups","The two population proportions must actually be equal to each other in reality","The sample sizes were too small to produce a reliable comparison between groups",25,1,,,,,,,,,,,,,,,,,,
7,"The Large Counts condition for the difference in two proportions requires checking:","Four products: n_1*p_1 and n_1*(1-p_1) and n_2*p_2 and n_2*(1-p_2) all at least 10","Two products: n_1 times p_1 and n_2 times p_2 both of which must be at least 10","One product: the combined sample size multiplied by the average proportion at least 10","Six products: three separate checks for each of the two populations all at least 10",25,1,,,,,,,,,,,,,,,,,,
8,"The 10% condition requires that each sample size is less than 10% of its population. This ensures:","Sampling without replacement has a negligible effect on the standard deviation formula","The sampling distribution will be perfectly normal rather than only approximately normal","The sample proportions will always fall within 10% of the true population proportions","The difference in sample proportions will always be a positive number in every sample",25,1,,,,,,,,,,,,,,,,,,
9,"Which pair of conditions must BOTH be met for the standard deviation formula to be valid?","Both samples less than 10% of their populations AND the two samples are independent","Both sample sizes at least 30 AND the underlying populations are normally distributed","Both proportions between 0.10 and 0.90 AND both sample sizes are exactly equal","Both Large Counts products at least 10 AND the true difference is a positive number",25,1,,,,,,,,,,,,,,,,,,
10,"If we INCREASE both sample sizes while population proportions stay the same, the SD of p-hat_1 minus p-hat_2 will:","Decrease because larger samples produce less variability in the sample difference","Increase because more data points introduce more possible sources of variability","Stay exactly the same because standard deviation depends only on population proportions","Double in size because twice as much data creates twice as much total spread",25,1,,,,,,,,,,,,,,,,,,
11,"Compared to the sampling distribution of a SINGLE proportion, the distribution of the DIFFERENCE requires:","Checking four Large Counts products instead of the two required for one proportion","Checking two Large Counts products which is the same number as for one proportion","No Large Counts check at all since differences between proportions are always normal","Checking only one combined Large Counts product for the two populations together",25,1,,,,,,,,,,,,,,,,,,
12,"If n_1 equals 40 and p_1 equals 0.15 then n_1 times p_1 equals 6. For the Large Counts condition this means:","It is NOT met for this population so approximate normality cannot be assumed overall","It IS met because 6 is close enough to 10 for most practical statistical purposes","It does not matter as long as the other population's products are both at least 10","It means you should increase the sample size to exactly 67 to satisfy the condition",25,1,,,,,,,,,,,,,,,,,,
13,"Which statement correctly distinguishes parameters from statistics in this context?","p_1 and p_2 are parameters describing populations while p-hat_1 and p-hat_2 are statistics from samples","p-hat_1 and p-hat_2 are parameters because they appear in the sampling distribution formulas","p_1 and p_2 are statistics because they are the values substituted into the SD formula","Parameters and statistics refer to the same quantities when discussing population proportions",25,1,,,,,,,,,,,,,,,,,,
14,"The sampling distribution of p-hat_1 minus p-hat_2 has a LARGER SD than either individual p-hat distribution because:","Combining two independent sources of variability always increases the total variability","The subtraction operation in the formula amplifies any existing measurement errors","Larger standard deviations are simply an artifact of working with two separate samples","It actually has a SMALLER standard deviation than either individual distribution does",25,1,,,,,,,,,,,,,,,,,,
15,"If both populations have the SAME proportion (p_1 equals p_2) the sampling distribution of p-hat_1 minus p-hat_2:","Is centered at zero but still has spread because of natural sampling variability","Is centered at the shared proportion value with no variability at all in the distribution","Is undefined because the standard deviation formula cannot handle equal proportions","Always produces exactly zero for every single pair of samples that are drawn",25,1,,,,,,,,,,,,,,,,,,
16,"The formulas for the mean and SD of the sampling distribution of p-hat_1 minus p-hat_2:","Are provided on the AP formula sheet so memorization is not required for the exam","Must be memorized completely since they do not appear anywhere on the AP formula sheet","Are different from what appears on the formula sheet and must be rederived each time","Only apply when both of the underlying populations are normally distributed themselves",25,1,,,,,,,,,,,,,,,,,,
17,"A student checks: n_1*p_1 equals 12 and n_1*(1-p_1) equals 48 and n_2*p_2 equals 18 and n_2*(1-p_2) equals 42. The correct conclusion:","The Large Counts condition IS met so the sampling distribution is approximately normal","The condition is NOT met because 12 is only barely above the minimum threshold of 10","The condition is NOT met because the four products are not all equal to each other","More information about the population shapes is needed before determining normality",25,1,,,,,,,,,,,,,,,,,,
18,"A proper interpretation of the MEAN of the sampling distribution must reference:","All possible random samples of these sizes from the two populations being compared","Only the single pair of samples that was actually collected from the two populations","The population proportions without any mention of samples or sampling at all","The median of the distribution rather than the mean since proportions are involved",25,1,,,,,,,,,,,,,,,,,,
19,"If the mean of the sampling distribution is 0.08 when computed as A minus B then computing B minus A gives a mean of:","Negative 0.08 because reversing the subtraction order flips the sign of the difference","Positive 0.08 because the mean is the same regardless of the order of subtraction","Zero because subtracting in the opposite order cancels out the original difference","Positive 0.16 because reversing the order doubles the distance from zero",25,1,,,,,,,,,,,,,,,,,,
20,"Why does it matter which order you subtract when interpreting the mean of p-hat_1 minus p-hat_2?","The sign of the mean changes so the direction of the comparison reverses completely","The numerical value of the mean changes but the sign stays exactly the same","The order of subtraction has no effect on either the value or the interpretation","You must always subtract the larger proportion minus the smaller proportion",25,1,,,,,,,,,,,,,,,,,,
21,"When interpreting the STANDARD DEVIATION of the sampling distribution you should include the word:","Typically or on average to reflect that SD describes the average distance from the mean","Exactly to show that the SD gives a precise measurement of variation in the distribution","Always to emphasize that every sample pair varies by this amount from the true difference","Approximately to indicate that the SD is only a rough guess at the true variability",25,1,,,,,,,,,,,,,,,,,,
22,"A correct interpretation of SD equals 0.087 would be: the differences in sample proportions:","Typically vary by about 0.087 from the true difference in population proportions","Are always exactly 0.087 away from the true difference in population proportions","Will never be more than 0.087 away from the true difference in population proportions","Have a range of exactly 0.087 between the smallest and largest possible differences",25,1,,,,,,,,,,,,,,,,,,
23,"According to the video knowing how much a statistic typically varies from the truth is important because:","It connects directly to confidence intervals and significance tests in later units","It allows us to determine the exact population proportions without any uncertainty","It proves that the sampling distribution must always be perfectly normal in shape","It guarantees that every sample will produce a result within one SD of the mean",25,1,,,,,,,,,,,,,,,,,,
24,"Why is the SD of the sampling distribution MORE useful than the mean alone?","The mean tells us the center but the SD tells us how far individual results stray from it","The SD is always a larger number so it provides more information than the mean does","The mean is often wrong but the SD corrects for the error in the mean calculation","The SD determines the shape while the mean only determines the center of the curve",25,1,,,,,,,,,,,,,,,,,,
25,"To find the probability that a sample from the lower-proportion population appears higher you calculate:","P(p-hat_1 minus p-hat_2 is less than 0) since a negative means the second sample is larger","P(p-hat_1 minus p-hat_2 is greater than 1) since proportions greater than 1 are unusual","P(p-hat_1 minus p-hat_2 equals the mean) since the mean represents the most likely result","P(p-hat_1 minus p-hat_2 is between 0 and 1) since all proportions fall in that range",30,1,,,,,,,,,,,,,,,,,,
26,"When calculating probabilities from the sampling distribution the first step after identifying the boundary is to:","Calculate a z-score using z equals the boundary value minus the mean divided by the SD","Look up the boundary value directly in a standard normal table without any conversion","Multiply the boundary value by the sample size to convert it into a count","Subtract the mean from both the boundary and the SD before looking up the probability",25,1,,,,,,,,,,,,,,,,,,
27,"A z-score of negative 0.92 for the boundary value of 0 in this sampling distribution means:","A difference of zero is less than one standard deviation below the mean of 0.08","A difference of zero is almost one standard deviation above the mean of 0.08","A difference of zero is exactly at the center of the sampling distribution","A difference of zero is impossibly far from the mean and should never be observed",25,1,,,,,,,,,,,,,,,,,,
28,"After calculating a z-score you find the probability by:","Using Table A or technology to find the area under the normal curve in the correct direction","Dividing the z-score by the sample size to convert it into a proportion","Multiplying the z-score by the standard deviation to get back to the original scale","Squaring the z-score and subtracting from 1 to find the complementary probability",25,1,,,,,,,,,,,,,,,,,,
29,"If P(p-hat_1 minus p-hat_2 is less than 0) equals 0.18 this means:","About 18% of all possible sample pairs would show the second population with the higher proportion","There is an 18% chance that the second population actually has a higher true proportion","Exactly 18 out of every 100 people in the sample responded differently than expected","The true difference between the populations must be somewhere between 0 and 0.18",30,1,,,,,,,,,,,,,,,,,,
30,"A probability of 0.18 for observing p-hat_1 minus p-hat_2 less than 0 would be considered:","Not unusual because 18% is a reasonably common occurrence across repeated sampling","Very unusual because any probability less than 0.50 is considered rare in statistics","Exactly on the boundary between unusual and not unusual in standard practice","Impossible to classify without also knowing the exact sample sizes that were used",25,1,,,,,,,,,,,,,,,,,,
31,"If the probability of observing a sample difference at least as extreme as yours is 0.002 this would be:","Very unusual suggesting the observed result is unlikely to have happened by chance alone","Not unusual because 0.002 is a positive number and all positive probabilities are normal","Moderately unusual but not enough to draw any meaningful conclusions from the data","Impossible to interpret without knowing whether the difference was positive or negative",25,1,,,,,,,,,,,,,,,,,,
32,"The concept of whether a result is unusual connects to which future AP Statistics topic?","Significance tests where small probabilities provide evidence against a null hypothesis","Experimental design where unusual results indicate problems with randomization","Data collection where unusual results mean the sampling method was biased","Exploratory data analysis where unusual results are removed as outliers from the data",25,1,,,,,,,,,,,,,,,,,,
33,"When interpreting a probability from the sampling distribution your answer should reference:","All possible samples of these sizes from the populations not just the one sample collected","Only the one specific sample that was collected since that is all the data we have","The population distributions without any mention of samples or the sampling process","The formula that was used to calculate the probability rather than the context",25,1,,,,,,,,,,,,,,,,,,
34,"A z-score closer to 0 (like negative 0.92) compared to a z-score far from 0 (like negative 3.5) suggests:","The observed value is relatively close to the mean and not particularly surprising","The observed value is extremely far from the mean and should almost never occur","Both values are equally unusual since any negative z-score indicates an unusual result","The SD must be very large since only large SDs produce z-scores close to zero",25,1,,,,,,,,,,,,,,,,,,
35,"Two populations have p_1 equals 0.65 and p_2 equals 0.50 with n_1 equals 120 and n_2 equals 100. The mean of the sampling distribution is:","0.15 which represents the true difference in the proportion of successes between the two groups","0.575 which represents the average of the two population proportions pooled together","0.65 which represents the larger of the two population proportions being compared","0.50 which represents the smaller of the two population proportions being compared",25,1,,,,,,,,,,,,,,,,,,
36,"For the same populations (p_1 equals 0.65 and p_2 equals 0.50) with samples of 120 and 100 the Large Counts check gives: 78 and 42 and 50 and 50. This means:","All four products are at least 10 so the sampling distribution is approximately normal","Only three of the four products matter so we cannot draw a definite conclusion","The condition fails because the products are not all equal to each other","The condition fails because 42 is less than 50 making the products too unbalanced",25,1,,,,,,,,,,,,,,,,,,
37,"You want to know if it would be surprising to observe p-hat_1 minus p-hat_2 less than 0 given a mean of 0.15 and SD of 0.063. Your z-score is:","About negative 2.38 meaning zero is more than two standard deviations below the mean","About negative 0.24 meaning zero is very close to the mean of the distribution","About positive 2.38 meaning zero is more than two standard deviations above the mean","About zero meaning the boundary of zero is located exactly at the center of the curve",25,1,,,,,,,,,,,,,,,,,,
38,"A z-score of negative 2.38 corresponds to a probability of roughly 0.009. This result is:","Unusual because fewer than 1% of all sample pairs would produce such an extreme difference","Not unusual because the probability is still a positive number greater than zero","Unusual only if the sample sizes are both greater than 100 which may not be the case","Not unusual because z-scores between negative 3 and positive 3 are always considered normal",25,1,,,,,,,,,,,,,,,,,,
39,"Comparing the two scenarios: probability 0.18 versus probability 0.009. The key difference is:","0.18 is common enough to happen by chance while 0.009 suggests something beyond chance","0.18 and 0.009 both indicate unusual results since both are less than 0.50","0.18 is unusual while 0.009 is not unusual because smaller probabilities are more normal","Both probabilities mean exactly the same thing just calculated from different sample sizes",25,1,,,,,,,,,,,,,,,,,,
40,"Knowing how much a statistic typically varies from the truth and whether a result is unusual are:","Two of the most important reasons to study sampling distributions according to the video","Only important for theoretical statisticians and not relevant for AP Statistics students","Useful concepts that apply only to sampling distributions of means not proportions","Ideas that were replaced by modern technology and are no longer tested on the AP exam",25,1,,,,,,,,,,,,,,,,,,
