"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Which clue most strongly identifies an outlier in regression?","a residual much larger than the others","an x-value very far from x-bar","a point centered in the x cluster","a response near the sample mean",20,1,,,,,,,,,,,,,,,,,,
2,"Which clue most strongly identifies a high leverage point?","a response much higher than predicted","an x-value very far from x-bar","a residual that stays close to zero","a point near the middle of x-values",20,2,,,,,,,,,,,,,,,,,,
3,"Why do low leverage points often change the line only a little when removed?","they usually make r-squared equal one","they usually have the largest residuals","they usually sit near x-bar on x","they usually force the slope to zero",20,3,,,,,,,,,,,,,,,,,,
4,"Removing a high leverage point is most likely to change which feature of the model?","the sample size used for graphing","the units chosen for each axis","the residual sign for every point","the slope or the y-intercept",20,4,,,,,,,,,,,,,,,,,,
5,"A point near x-bar with a very large residual is best described as","high leverage but not outlying","an outlier but not high leverage","nonlinear but not influential","a point that perfectly fits the line",20,2,,,,,,,,,,,,,,,,,,
6,"A point far from x-bar that still follows the trend closely is best described as","a residual pattern in the plot","an outlier with little leverage","a point with no influence at all","a high leverage point only",20,4,,,,,,,,,,,,,,,,,,
7,"Which statement about influential points is most accurate?","removing one changes the model a lot","each one sits far above the line","each one sits close to x-bar","removing one never changes r",20,1,,,,,,,,,,,,,,,,,,
8,"A point that is both high leverage and an outlier can strongly affect","only the response scale of the graph","only the location of the mean x","the line and the correlation","the measurement units of both axes",20,3,,,,,,,,,,,,,,,,,,
9,"Removing an outlier that is not high leverage will most often change","only the units of the response","only the mean of the x-values","the strength of the relationship","the shape of the sampling design",20,3,,,,,,,,,,,,,,,,,,
10,"Why can you not identify high leverage by looking only at y-values?","leverage depends on x-position not y-height","leverage depends on r-squared not x-values","leverage depends on residual sign only","leverage depends on sample size only",20,1,,,,,,,,,,,,,,,,,,
11,"A curved pattern in a residual plot is strongest evidence that","the slope must be exactly zero","every point has low leverage","the response units are incorrect","a linear model is missing curvature",20,4,,,,,,,,,,,,,,,,,,
12,"What is the main reason to transform bivariate data in this topic?","to make the sample size appear larger","to make the relationship more linear","to force every residual to zero","to remove all influential points",20,2,,,,,,,,,,,,,,,,,,
13,"Why can a log transform help with a right-skewed explanatory variable?","it reverses the order of the values","it makes small values more extreme","it guarantees a perfect linear fit","it compresses very large values",20,4,,,,,,,,,,,,,,,,,,
14,"Which change most supports that a transformation improved model fit?","the graph looks steeper than before","the x-scale uses smaller numbers","the residuals look random around zero","the sample mean moves to zero",20,3,,,,,,,,,,,,,,,,,,
15,"Which r-squared change supports using the transformed model?","it moves farther away from one","it moves noticeably closer to one","it becomes exactly equal to zero","it matches the sign of the slope",20,2,,,,,,,,,,,,,,,,,,
16,"Before using a transformed regression line for prediction what should you do first?","apply the stated transformation first","round the raw data to whole numbers","remove points with negative residuals","replace x-bar with the median",20,1,,,,,,,,,,,,,,,,,,
17,"If a model was fit using log(x) then what belongs in the equation?","the original x-value without change","the logarithm of that x-value","the residual attached to that case","the y-value paired with that case",20,2,,,,,,,,,,,,,,,,,,
18,"If the response variable was transformed then the line predicts","the response on the transformed scale","the response on the original scale","the residual on the transformed scale","the correlation on the original scale",20,1,,,,,,,,,,,,,,,,,,
19,"Which is a common error when comparing transformed and untransformed models?","checking the residual plots for patterns","noting whether r-squared moved upward","choosing the line that looks steeper","comparing how random the residuals look",20,3,,,,,,,,,,,,,,,,,,
20,"Which residual plot after transformation best supports a useful linear model?","residuals rising steadily with x","residuals forming a U-shape","residuals clustering only above zero","residuals scattered around zero",20,4,,,,,,,,,,,,,,,,,,
21,"Why can a scatterplot show a strong association while linear r-squared stays modest?","the line misses a curved pattern","the slope must equal one exactly","the data contain no variability at all","the model uses too many variables",20,1,,,,,,,,,,,,,,,,,,
22,"Which statement about a log transformation is correct?","it changes the ranking of the values","it makes every gap between values equal","it removes the need for residual plots","it shrinks the spacing among high values",20,4,,,,,,,,,,,,,,,,,,
23,"If transformation reduces residual patterns and raises r-squared then","the untransformed model is always preferred","the transformed model is more appropriate","the explanatory variable became categorical","the relationship lost all association",20,2,,,,,,,,,,,,,,,,,,
24,"Before transforming data what suggests the original linear model is weak?","the scatterplot slopes upward","the mean point lies on the line","the residuals show a pattern","the x-values are measured carefully",20,3,,,,,,,,,,,,,,,,,,
25,"Which point is least likely to be influential?","a point far from x-bar with clear pull","a point far from x-bar with a large residual","a point near x-bar with a small residual","a point far from x-bar in sparse data",20,3,,,,,,,,,,,,,,,,,,
26,"Why can a high leverage point matter even when its residual is small?","it forces all residuals to match","its x-position can pull the line","it removes the need for prediction","its y-value must be the maximum",20,2,,,,,,,,,,,,,,,,,,
27,"Why does a large residual not guarantee a big slope change?","the point must be above x-bar","the point must lower the intercept","the point must be far from zero","the point may be near x-bar",20,4,,,,,,,,,,,,,,,,,,
28,"When should a transformed linear model be preferred for prediction?","when residuals randomize and r-squared rises","when the untransformed slope turns negative","when the transformed graph looks steeper","when the original data contain outliers",20,1,,,,,,,,,,,,,,,,,,
29,"Which choice is an example of transforming data rather than deleting data?","removing points with large residuals","taking the log of each x-value","changing the order of the cases","drawing a new axis for the graph",20,2,,,,,,,,,,,,,,,,,,
30,"If x was squared before fitting the line then prediction should use","the original x-value as entered","the residual for that x-value","the mean x-value from the data","the squared x-value in the model",20,4,,,,,,,,,,,,,,,,,,
