"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"Why can a sample regression slope differ from the population slope even when the model is valid?","Because random samples create natural variation in slope","Because valid models force the slope to keep changing","Because regression lines ignore the pattern in data","Because population slopes describe only one sample",20,1,,,,,,,,,,,,,,,,,,
2,"What is the main goal of inference about slope in this lesson?","To prove the sample line fits every point exactly","To estimate the graph scale with no uncertainty","To judge whether the sample slope seems unusual","To remove all variation from the observed sample",20,3,,,,,,,,,,,,,,,,,,
3,"When using simulation to study slope what is recorded from each sample?","The graph with the smallest amount of scatter","The slope of the sample regression line","The point with the largest distance from trend","The sign of the population relationship",20,2,,,,,,,,,,,,,,,,,,
4,"Why should simulated samples use the same size as the real sample?","So the plotted axes use the same scale","So the sample line becomes more positive","So the points all stay close to one line","So the amount of variation is matched",20,4,,,,,,,,,,,,,,,,,,
5,"What does the center of a simulated distribution of slopes represent?","The slope expected if the model is correct","The line that makes every sample look alike","The steepest slope that could ever appear","The point where half the dots must fall",20,1,,,,,,,,,,,,,,,,,,
6,"If an observed sample slope falls far in a tail of the simulated distribution what does that suggest?","The model gives a very typical prediction","The model may not explain the sample well","The graph must contain a perfect line","The sample size was automatically wrong",20,2,,,,,,,,,,,,,,,,,,
7,"Why is one simulated sample not enough for this kind of inference?","One sample makes the graph too crowded","One sample fixes the slope at the center","One sample removes the need for comparison","One sample cannot show the full variation",20,4,,,,,,,,,,,,,,,,,,
8,"What does the simulated sampling distribution describe?","How one point changes inside a sample","How the population line changes each year","How slopes vary from sample to sample","How the axes change from graph to graph",20,3,,,,,,,,,,,,,,,,,,
9,"In this setting what does estimated probability from simulation mean?","The share of slopes as unusual as the observed slope","The share of points that land on the sample line","The share of graphs with a positive direction","The share of samples taken from one location",20,1,,,,,,,,,,,,,,,,,,
10,"What does at least as surprising in either direction mean for slope?","Only slopes larger than the observed slope count","Only slopes smaller than the observed slope count","Only slopes with the same sign as observed count","Slopes equally far or farther from the center count",20,4,,,,,,,,,,,,,,,,,,
11,"Which result would make the old population model seem believable?","The observed slope sits at the very edge","The observed slope falls in the typical cluster","The observed graph shows almost no scatter","The observed line uses the steepest slope",20,2,,,,,,,,,,,,,,,,,,
12,"Which statement best distinguishes a population regression line from a sample regression line?","The population line changes with each new sample","The sample line stays fixed within one sample","The population line is fixed and the sample line varies","The sample line matters more than the population line",20,3,,,,,,,,,,,,,,,,,,
13,"Why is the slope the focus rather than the sign alone?","Because sign shows direction but not unusual steepness","Because sign changes only when the graph is curved","Because sign is the same for every possible sample","Because sign matters only when the line is flat",20,1,,,,,,,,,,,,,,,,,,
14,"A sample shows a positive slope under a positive model. What can you conclude right away?","The model must still describe the population","The sample slope is automatically typical","The graph proves there is no random variation","More comparison is needed before deciding",20,4,,,,,,,,,,,,,,,,,,
15,"What is the purpose of drawing a line for each simulated sample?","To make every simulated graph look the same","To collect a slope from each sample","To prove the model fits without any doubt","To keep the observed line from changing",20,2,,,,,,,,,,,,,,,,,,
16,"Which description best matches a slope that is consistent with random variation?","It is a slope that appears only once","It is a slope that proves the model false","It is a slope that could happen by chance","It is a slope that makes the graph perfect",20,3,,,,,,,,,,,,,,,,,,
17,"What kind of evidence does a very small simulated probability provide?","Strong evidence that the old model is doubtful","Strong evidence that no relationship exists","Weak evidence that the sample was random","Weak evidence that the slope is centered",20,1,,,,,,,,,,,,,,,,,,
18,"Which is a common mistake when interpreting a tiny simulated probability?","Calling the result typical under the model","Calling the result proof the population changed","Calling the result evidence the graph is linear","Calling the result part of random sampling",20,2,,,,,,,,,,,,,,,,,,
19,"Why do we compare the observed slope to many simulated slopes instead of to one line?","Because one line makes the graph too simple","Because one line never shows the full range","Because one line forces the pattern to weaken","Because many slopes reveal the pattern of variation",20,4,,,,,,,,,,,,,,,,,,
20,"What would a large estimated probability suggest about the observed slope?","It is too extreme to come from the model","It is the exact slope of the population line","It is reasonably compatible with the model","It is evidence that the relationship disappeared",20,3,,,,,,,,,,,,,,,,,,
21,"Which feature of a dotplot of simulated slopes matters most for judging unusualness?","The distance from observed slope to center","The height of the tallest stack of dots","The color used for the plotted points","The order in which the dots were added",20,1,,,,,,,,,,,,,,,,,,
22,"What question is answered by the tail proportion in this simulation?","How often the model gives the same graph shape","How often a slope this unusual appears under the model","How often the graph changes from positive to negative","How often a sample puts all points on one side",20,2,,,,,,,,,,,,,,,,,,
23,"If the observed slope is near the middle of the simulated distribution what is the best interpretation?","The slope is impossible under the model","The slope proves the model is exact","The slope removes the need for inference","The slope is typical under the model",20,4,,,,,,,,,,,,,,,,,,
24,"Which statement best explains why sampling distributions are useful for inference?","They show how one graph changes during class","They show how every point moves over time","They show how a statistic varies over many samples","They show how the axes should be labeled",20,3,,,,,,,,,,,,,,,,,,
25,"What is an appropriate first step when testing whether an old regression model still applies?","Use the old model as the basis for simulation","Force the new sample line to match the old line","Remove points that do not fit the new line","Replace the slope with the sample average",20,1,,,,,,,,,,,,,,,,,,
26,"Why does the simulated distribution focus on slopes rather than raw points?","Because points never change from sample to sample","Because points cannot be displayed on graphs","Because slopes remove the need for a model","Because slopes summarize the linear pattern",20,4,,,,,,,,,,,,,,,,,,
27,"Which statement about an estimated probability near zero is most accurate?","It means the observed slope is common under the model","It means the observed slope is unlikely under the model","It means the observed slope equals the population slope","It means the observed slope was measured twice",20,2,,,,,,,,,,,,,,,,,,
28,"Which conclusion goes too far when a sample slope looks unusual under the old model?","The old model may not fit the new sample well","The sample gives evidence against the old model","The population relationship definitely changed","The sample is hard to explain by chance",20,3,,,,,,,,,,,,,,,,,,
29,"A weaker sample pattern than expected under the model means what by itself?","It proves there is no population relationship","It proves the sample was chosen unfairly","It proves the old line used bad variables","It may still be explained by random variation",20,4,,,,,,,,,,,,,,,,,,
30,"How does the observed sample slope function in the simulation comparison?","It acts as the benchmark for what counts as unusual","It acts as the center of the model by definition","It acts as the only slope worth computing","It acts as proof one variable causes the other",20,1,,,,,,,,,,,,,,,,,,
