"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What idea does the null hypothesis represent in a test for two means?","There is no treatment effect between groups","There is a treatment effect between groups","There is a larger sample mean in one group","There is a stronger graph shape in one group",20,1,,,,,,,,,,,,,,,,,,
2,"Which symbolic null hypothesis fits a test for mu_A - mu_B?","H_0: mu_A - mu_B < 0","H_0: mu_A - mu_B = 0","H_0: mu_A - mu_B > 0","H_0: mu_A - mu_B != 0",20,2,,,,,,,,,,,,,,,,,,
3,"Why must the alternative hypothesis use a strict inequality?","It states the sample means are exact","It states the parameter means are equal","It states a difference or direction to test","It states the alpha level used in testing",20,3,,,,,,,,,,,,,,,,,,
4,"A study asks whether treatment raises the mean response. Which alternative fits?","H_a: mu_T - mu_C < 0","H_a: mu_T - mu_C != 0","H_a: mu_T - mu_C = 0","H_a: mu_T - mu_C > 0",20,4,,,,,,,,,,,,,,,,,,
5,"When should a two-sided alternative be used?","When one sample is larger than the other","When either group could have the larger mean","When the graph shape looks roughly normal","When the null must show a positive mean",20,2,,,,,,,,,,,,,,,,,,
6,"Which statement is a common error when writing hypotheses?","Defining the group subscripts in words","Matching the sign to the study claim","Using sample means instead of parameters","Writing the null as a statement of equality",20,3,,,,,,,,,,,,,,,,,,
7,"Why does the order of subtraction matter in a one-sided test?","It changes the sample sizes being compared","It changes whether alpha is reported","It changes whether the study is random","It changes which inequality is correct",20,4,,,,,,,,,,,,,,,,,,
8,"If a claim says the means are different with no direction given what form should H_a take?","H_a: mu_1 - mu_2 != 0","H_a: mu_1 - mu_2 > 0","H_a: mu_1 - mu_2 < 0","H_a: mu_1 - mu_2 = 0",20,1,,,,,,,,,,,,,,,,,,
9,"Which wording matches a skeptic's position?","The samples show a clear practical change","The treatment changes the population mean","The groups differ in their sample means","The treatment shows no population effect",20,4,,,,,,,,,,,,,,,,,,
10,"Why can H_0 be written as mu_1 = mu_2 or mu_1 - mu_2 = 0?","Both forms guarantee a one-sided result","Both forms state the same no difference idea","Both forms avoid defining the group labels","Both forms use statistics instead of parameters",20,2,,,,,,,,,,,,,,,,,,
11,"A claim says one group has a smaller mean than another. What should decide the sign in H_a?","The order used by the data table","The size of the larger sample","The direction stated by the context","The value of the significance level",20,3,,,,,,,,,,,,,,,,,,
12,"Which alternative is inappropriate for a claim that a treatment increases the mean?","H_a: mu_T - mu_C != 0","H_a: mu_C - mu_T < 0","H_a: mu_T > mu_C","H_a: mu_T - mu_C > 0",20,1,,,,,,,,,,,,,,,,,,
13,"Why should parameters or subscripts be defined in words?","It shows which calculator menu was chosen","It shows which populations the symbols represent","It shows which sample spreads are matched","It shows which alpha level was entered",20,2,,,,,,,,,,,,,,,,,,
14,"Which pair uses parameters rather than statistics?","H_0: xbar_1 - xbar_2 = 0 and H_a: xbar_1 - xbar_2 != 0","H_0: s_1 - s_2 = 0 and H_a: s_1 - s_2 != 0","H_0: n_1 - n_2 = 0 and H_a: n_1 - n_2 != 0","H_0: mu_1 - mu_2 = 0 and H_a: mu_1 - mu_2 != 0",20,4,,,,,,,,,,,,,,,,,,
15,"What does a one-sided alternative try to show?","The means differ in a specific direction","The means match at a specific value","The samples come from equal sizes","The statistics give an exact answer",20,1,,,,,,,,,,,,,,,,,,
16,"If you reverse mu_A - mu_B to mu_B - mu_A in a one-sided test what must also change?","The null must become not equal to zero","The sample sizes must switch positions","The inequality direction must reverse too","The significance level must double too",20,3,,,,,,,,,,,,,,,,,,
17,"Which statement best explains why H_a cannot include equality?","Equality belongs with the sample mean claim","Equality belongs with the no difference claim","Equality belongs with the larger mean claim","Equality belongs with the graph shape claim",20,2,,,,,,,,,,,,,,,,,,
18,"A student writes H_0: mu_1 - mu_2 < 0. What is the main problem?","The null should use a statement of shape","The null should use a statement of spread","The null should use a statement of size","The null should use a statement of equality",20,4,,,,,,,,,,,,,,,,,,
19,"Which wording best fits a two-sided research question?","Does group A differ from group B","Is group A larger than group B","Is group A equal to group B","Does group A increase by one unit",20,1,,,,,,,,,,,,,,,,,,
20,"Why is H_a: mu_1 != mu_2 not always appropriate?","Some questions require equal sample sizes","Some questions use plotted sample means","Some questions ask about one direction only","Some questions require paired observations",20,3,,,,,,,,,,,,,,,,,,
21,"What is the main reason to avoid writing hypotheses about sample means?","Hypotheses are about plotted sample shapes","Hypotheses are about population parameters","Hypotheses are about calculator procedures","Hypotheses are about known standard errors",20,2,,,,,,,,,,,,,,,,,,
22,"Which change does NOT alter the meaning of the null?","Replacing parameters with sample statistics","Dropping the definitions of the subscripts","Reversing the labels without changing words","Rewriting equality as a zero difference",20,4,,,,,,,,,,,,,,,,,,
23,"A claim says a treatment lowers the mean outcome. Which alternative matches if the difference is treatment minus control?","H_a: mu_T - mu_C < 0","H_a: mu_T - mu_C != 0","H_a: mu_T - mu_C = 0","H_a: mu_T - mu_C > 0",20,1,,,,,,,,,,,,,,,,,,
24,"Which feature separates one-sided from two-sided alternatives?","Whether the groups have equal sizes","Whether the samples are shown in a table","Whether direction matters in the claim","Whether a standard deviation is listed",20,3,,,,,,,,,,,,,,,,,,
25,"What should be checked first before choosing > or < in H_a?","Which sample has more observations","Which graph has the taller bars","Which calculator gives fewer decimals","Which group is subtracted first",20,4,,,,,,,,,,,,,,,,,,
26,"A student writes H_a: mu_A = mu_B because the means are supposed to match. What is wrong?","The alternative should describe a sample","The alternative should describe a difference","The alternative should describe a spread","The alternative should describe a graph",20,2,,,,,,,,,,,,,,,,,,
27,"Which hypothesis pair is logically consistent for a two-sided test?","H_0: mu_1 - mu_2 = 0 and H_a: mu_1 - mu_2 != 0","H_0: mu_1 - mu_2 > 0 and H_a: mu_1 - mu_2 = 0","H_0: mu_1 - mu_2 = 0 and H_a: mu_1 - mu_2 > 0","H_0: mu_1 - mu_2 != 0 and H_a: mu_1 - mu_2 = 0",20,1,,,,,,,,,,,,,,,,,,
