"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What kind of variables belong in a two-way table?","two categorical variables","two numerical variables","one categorical variable","one numerical variable",20,1,,,,,,,,,,,,,,,,,,
2,"Why should you find row totals and column totals first?","they identify which bars are tallest","they show which denominators may be needed","they convert categories into percents","they prove the variables are related",20,2,,,,,,,,,,,,,,,,,,
3,"A joint relative frequency uses which denominator?","the table total","the row total","the column total","the largest total",20,1,,,,,,,,,,,,,,,,,,
4,"What does a joint relative frequency describe?","one cell as part of one row","one cell as part of one column","one cell as part of the whole table","one row as part of the whole table",20,3,,,,,,,,,,,,,,,,,,
5,"A marginal relative frequency is based on what?","a cell total with a row total","a cell count with the table total","a row or column total with table total","a cell count with a group total",20,3,,,,,,,,,,,,,,,,,,
6,"If a question says percent of all people surveyed then the denominator should be","the row total","the column total","the table total","the cell count",20,3,,,,,,,,,,,,,,,,,,
7,"If a question says percent of those in one row then the denominator should be","the table total","the row total","the column total","the cell count",20,2,,,,,,,,,,,,,,,,,,
8,"If a question says percent of those in one column then the denominator should be","the table total","the row total","the column total","the cell count",20,3,,,,,,,,,,,,,,,,,,
9,"What makes a relative frequency conditional?","it uses the largest count","it uses a chosen row or column","it uses the table total","it uses every cell at once",20,2,,,,,,,,,,,,,,,,,,
10,"A student divides a cell count by the table total to compare groups. What is the issue?","the student found a row percent instead","the student found a joint percent instead","the student found a column percent instead","the student found a graph value instead",20,2,,,,,,,,,,,,,,,,,,
11,"To compare distributions across groups in a two-way table which summary statistics are most useful?","joint relative frequencies","conditional relative frequencies","raw cell frequency counts","marginal relative frequencies",20,2,,,,,,,,,,,,,,,,,,
12,"Why compare groups using percents computed within each row or column instead of raw counts?","they make each cell use the same count","they show the table as one whole","they keep each group on its own total","they remove the need for totals",20,3,,,,,,,,,,,,,,,,,,
13,"What pattern in a two-way table suggests the variables are associated?","the conditional distributions are different","the row totals are all different","the column totals are all different","the marginal totals are equal",20,1,,,,,,,,,,,,,,,,,,
14,"What pattern in a two-way table suggests the variables are not associated?","the joint frequencies stay small","the row totals stay fairly large","the column totals stay fairly small","the conditional distributions are similar",20,4,,,,,,,,,,,,,,,,,,
15,"Which is a common error when finding a conditional relative frequency?","dividing by the full table total","dividing by the matching group total","locating the correct cell first","using only one row or column",20,1,,,,,,,,,,,,,,,,,,
16,"What must you identify before choosing a denominator?","the graph style being used","the group named after the word of","the sample size of each row","the tallest cell in the table",20,2,,,,,,,,,,,,,,,,,,
17,"If you condition on a row then the percents in that row should","add to the table total","add to the row total","match one cell count","add to 100 percent",20,4,,,,,,,,,,,,,,,,,,
18,"If you condition on a column then the percents in that column should","compare one cell","use the table total","add to 100 percent","match each row total",20,3,,,,,,,,,,,,,,,,,,
19,"How does a marginal relative frequency differ from a joint relative frequency?","it uses graphs instead of tables","it uses rows instead of columns only","it uses counts instead of percents","it uses totals instead of one cell",20,4,,,,,,,,,,,,,,,,,,
20,"How does a joint relative frequency differ from a conditional relative frequency?","it uses one cell over the table total","it uses one row over the table total","it uses one column over the table total","it uses one total over the cell count",20,1,,,,,,,,,,,,,,,,,,
21,"Why can raw counts alone be misleading when comparing groups?","counts always make groups look equal","counts cannot appear in two-way tables","counts prevent any totals from being found","counts ignore how large each group is",20,4,,,,,,,,,,,,,,,,,,
22,"Which statement best describes a conditional distribution in this setting?","all row and column totals together","all cell counts in the full table","all graphs made from the table","all percents within one chosen group",20,4,,,,,,,,,,,,,,,,,,
23,"What is the purpose of the table total in this lesson?","it identifies the conditioning group","it replaces row and column totals","it is used for every conditional percent","it is used for joint and marginal percents",20,4,,,,,,,,,,,,,,,,,,
24,"A student says matching marginal percentages prove association. Why is that weak?","association depends on conditional patterns","association depends on joint totals only","association depends on graph colors only","association depends on sample size only",20,1,,,,,,,,,,,,,,,,,,
25,"When comparing groups across categories what should stay fixed within each comparison?","the same cell count rule","the same joint frequency rule","the same table total rule","the chosen conditioning group",20,4,,,,,,,,,,,,,,,,,,
26,"Which question would require a row conditional relative frequency?","what percent of all cases are in one cell","what percent of one column fall in one row","what percent of one row fall in one column","what percent of all cases are in one column",20,3,,,,,,,,,,,,,,,,,,
27,"Which question would require a column conditional relative frequency?","what percent of one column fall in one row","what percent of all cases are in one row","what percent of one row fall in one column","what percent of all cases are in one cell",20,1,,,,,,,,,,,,,,,,,,
28,"Why do different conditional distributions support an association claim?","they show each group follows a different pattern","they show each group has the same total","they show each cell uses the same count","they show each margin is exactly equal",20,1,,,,,,,,,,,,,,,,,,
29,"Which values belong in a segmented bar graph for comparing groups?","joint relative frequencies","conditional relative frequencies","marginal relative frequencies","table total percentages",20,2,,,,,,,,,,,,,,,,,,
30,"Why is a segmented bar graph helpful after finding conditional percents?","it hides different sample sizes","it replaces the need for a table","it makes group patterns easy to compare","it turns categories into numbers",20,3,,,,,,,,,,,,,,,,,,
