"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,A linear transformation has the form Y = a + bX. What does 'a' do?,Shifts the center (adds to mean),Scales the spread,Changes the shape,Multiplies the variance,20,1,,,,,,,,,,,,,,,,,,
2,A linear transformation has the form Y = a + bX. What does 'b' do?,Scales both center and spread,Only shifts the center,Only changes probabilities,Has no effect,20,1,,,,,,,,,,,,,,,,,,
3,For Y = a + bX the formula for the new mean is...,μY = a + b·μX,μY = a · b · μX,μY = b·μX,μY = a + μX,20,1,,,,,,,,,,,,,,,,,,
4,For Y = a + bX the formula for the new standard deviation is...,σY = |b|·σX,σY = a + b·σX,σY = b·σX + a,σY = a·σX,20,1,,,,,,,,,,,,,,,,,,
5,Why does σY = |b|·σX use the absolute value of b?,SD can't be negative but b might be,Because variance is always squared,Because the mean might be negative,Because b is always between 0 and 1,20,1,,,,,,,,,,,,,,,,,,
6,"When b > 0, what happens to the SHAPE of a distribution under Y = a + bX?",Shape stays the same,Shape becomes normal,Shape becomes uniform,Shape reverses,20,1,,,,,,,,,,,,,,,,,,
7,If X has mean 10 and Y = 5 + 2X then the mean of Y is...,25,20,15,12,30,1,,,,,,,,,,,,,,,,,,
8,If X has SD = 3 and Y = 5 + 2X then the SD of Y is...,6,11,8,3,30,1,,,,,,,,,,,,,,,,,,
9,If X has SD = 5 and Y = 100 - 4X then the SD of Y is...,20,80,5,-20,30,1,,,,,,,,,,,,,,,,,,
10,Every employee gets a $500 bonus added to salary X. What happens to the SD of salaries?,It stays the same,It increases by $500,It increases by 500²,It doubles,20,1,,,,,,,,,,,,,,,,,,
11,"X has mean 8 and SD 2. If Y = 3X, what are the mean and SD of Y?","Mean 24, SD 6","Mean 24, SD 2","Mean 8, SD 6","Mean 11, SD 5",30,1,,,,,,,,,,,,,,,,,,
12,Quiz score X: μ = 80 and σ = 10. If curved score Y = 1.1X + 5 then μY = ?,93,85,88,105,30,1,,,,,,,,,,,,,,,,,,
13,Temperature in Celsius: σC = 5. Convert F = 1.8C + 32. SD in Fahrenheit = ?,9,37,5,41,30,1,,,,,,,,,,,,,,,,,,
14,Two random variables are independent if...,Knowing one doesn't change the other's distribution,They have the same mean,They have the same SD,They are both discrete,20,1,,,,,,,,,,,,,,,,,,
15,Which requires independence: adding means or adding variances?,Adding variances requires independence,Adding means requires independence,Both require independence,Neither requires independence,20,1,,,,,,,,,,,,,,,,,,
16,If X = daily coffee spending and Y = daily food spending are NOT independent then...,We cannot use σ²(X+Y) = σ²X + σ²Y,We cannot find μ(X+Y),We cannot add them at all,Nothing changes,20,1,,,,,,,,,,,,,,,,,,
17,For independent X and Y the mean of X + Y is...,μX + μY,μX · μY,μX - μY,√(μX² + μY²),20,1,,,,,,,,,,,,,,,,,,
18,For independent X and Y the mean of X - Y is...,μX - μY,μX + μY,μY - μX,|μX - μY|,20,1,,,,,,,,,,,,,,,,,,
19,Coffee costs $4 (SD $0.50) and muffin costs $3 (SD $0.40). Mean total = ?,7,12,1,3.5,20,1,,,,,,,,,,,,,,,,,,
20,Gas cars sold: μG = 4 and σG = 1. Hybrid cars: μH = 2 and σH = 0.5. Mean of G + H = ?,6,8,2,3,20,1,,,,,,,,,,,,,,,,,,
21,THE VARIANCE TRAP: For independent X and Y the variance of X + Y is...,σ²X + σ²Y (variances ADD),σX + σY,σ²X · σ²Y,σ²X - σ²Y,20,1,,,,,,,,,,,,,,,,,,
22,THE VARIANCE TRAP: For independent X and Y the variance of X - Y is...,σ²X + σ²Y (variances STILL ADD!),σ²X - σ²Y,σX - σY,|σ²X - σ²Y|,20,1,,,,,,,,,,,,,,,,,,
23,Why do variances add even when subtracting random variables?,Combining variables increases uncertainty either way,Variance can be negative,Subtraction reverses the rule,It's just a coincidence,20,1,,,,,,,,,,,,,,,,,,
24,X and Y are INDEPENDENT with σX = 3 and σY = 4. A student says σ(X+Y) = 7. This is...,"WRONG - add the variances, then take the square root",Correct - standard deviations add directly,Correct only if X and Y are normally distributed,WRONG - you should multiply the standard deviations,20,1,,,,,,,,,,,,,,,,,,
25,If σX = 3 and σY = 4 (independent) then σ(X+Y) = ?,5,7,12,1,30,1,,,,,,,,,,,,,,,,,,
26,If Var(X) = 36 and Var(Y) = 64 (X and Y independent) then SD(X-Y) = ?,10,100,2,14,30,1,,,,,,,,,,,,,,,,,,
27,If σX = 5 and σY = 12 (independent) then σ(X-Y) = ?,13,7,-7,17,30,1,,,,,,,,,,,,,,,,,,
28,"For INDEPENDENT random variables, standard deviations _______ add directly!",NEVER,Always,Sometimes,Usually,20,1,,,,,,,,,,,,,,,,,,
29,If Var(X) = 25 and Var(Y) = 144 (independent) then SD(X+Y) = ?,13,169,17,12,30,1,,,,,,,,,,,,,,,,,,
30,"For INDEPENDENT random variables G and H, SD(G+H) = SD(G-H). Why?",Variances add either way so SD is the same,It's a coincidence,Only true for these specific numbers,This cannot be correct,20,1,,,,,,,,,,,,,,,,,,
31,A linear combination has the form...,aX + bY,a + bX,X + Y only,X - Y only,20,1,,,,,,,,,,,,,,,,,,
32,For independent X and Y: the mean of aX + bY is...,a·μX + b·μY,a + b + μX + μY,(a+b)·(μX + μY),μX + μY,20,1,,,,,,,,,,,,,,,,,,
33,For independent X and Y: the variance of aX + bY is...,a²σ²X + b²σ²Y,a·σ²X + b·σ²Y,(a+b)·(σ²X + σ²Y),aσX + bσY,20,1,,,,,,,,,,,,,,,,,,
34,If μX = 10 and μY = 6 then μ(2X + 3Y) = ?,38,32,16,60,30,1,,,,,,,,,,,,,,,,,,
35,If σX = 2 and σY = 3 (independent) then Var(2X + 3Y) = ?,97,25,13,169,30,1,,,,,,,,,,,,,,,,,,
