"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does the B in BINS stand for when checking binomial conditions?","Binary - two possible outcomes","Basic - simple random process","Balanced - equal probabilities","Bounded - limited number of trials",20,1,,,,,,,,,,,,,,,,,,
2,"A binomial setting requires outcomes that are:","Success or failure (two options only)","Equally likely to occur","Continuously distributed","Dependent on previous trials",20,1,,,,,,,,,,,,,,,,,,
3,"What does the I in BINS stand for?","Independent trials","Identical outcomes","Infinite possibilities","Increasing probability",20,1,,,,,,,,,,,,,,,,,,
4,"In a binomial setting, 'independent trials' means:","Knowing one outcome doesn't affect the probability of another","All trials have exactly the same outcome","Each trial depends on the previous result","The trials must occur simultaneously",20,1,,,,,,,,,,,,,,,,,,
5,"What does the N in BINS stand for?","Fixed Number of trials","Normal distribution required","Natural outcomes only","Negative results excluded",20,1,,,,,,,,,,,,,,,,,,
6,"A binomial distribution requires that the number of trials is:","Fixed and known in advance (n)","Variable depending on outcomes","Determined after the experiment","Always greater than 30",20,1,,,,,,,,,,,,,,,,,,
7,"What does the S in BINS stand for?","Same probability of success for each trial","Standard deviation is constant","Sample size is large","Symmetric distribution shape",20,1,,,,,,,,,,,,,,,,,,
8,"In a binomial setting, the probability p must:","Remain constant for every trial","Change based on previous results","Equal exactly 0.5","Be greater than the probability of failure",20,1,,,,,,,,,,,,,,,,,,
9,"What is a binomial random variable?","The count of successes in n independent trials","The probability of a single success","The average outcome over time","The standard deviation of trials",20,1,,,,,,,,,,,,,,,,,,
10,"If X is binomial, X represents:","The number of successes in n trials","The probability of success","The number of trials needed","The total number of outcomes",20,1,,,,,,,,,,,,,,,,,,
11,"The probability a tropical storm becomes a hurricane is 0.53. If 6 storms form, what is n?","6","0.53","0.47","53",20,1,,,,,,,,,,,,,,,,,,
12,"The probability a tropical storm becomes a hurricane is 0.53. If 6 storms form, what is p?","0.53","6","0.47","53%",20,1,,,,,,,,,,,,,,,,,,
13,"In the binomial formula P(X=x) = C(n,x) · p^x · (1-p)^(n-x), what does C(n,x) represent?","The number of ways to choose x successes from n trials","The probability of exactly x successes","The expected value of X","The standard deviation of X",20,1,,,,,,,,,,,,,,,,,,
14,"In the binomial formula, p^x represents:","The probability of x successes occurring","The number of successes","The expected number of successes","The variance of successes",20,1,,,,,,,,,,,,,,,,,,
15,"In the binomial formula, (1-p)^(n-x) represents:","The probability of (n-x) failures occurring","The probability of success","The expected number of failures","The total number of trials",20,1,,,,,,,,,,,,,,,,,,
16,"To find P(X = 5) when n=6 and p=0.53, which formula setup is correct?","C(6,5) · (0.53)^5 · (0.47)^1","C(5,6) · (0.53)^6 · (0.47)^5","6 · (0.53)^5 · (0.47)^6","C(6,5) · (0.53)^1 · (0.47)^5",20,1,,,,,,,,,,,,,,,,,,
17,"What is C(6,5) equal to?","6","5","30","720",20,1,,,,,,,,,,,,,,,,,,
18,"If P(X=5) = C(6,5)(0.53)^5(0.47)^1 = 0.118, this means:","There's an 11.8% chance exactly 5 of 6 storms become hurricanes","5 out of 6 storms will definitely become hurricanes","The expected number of hurricanes is 0.118","118 hurricanes will form",20,1,,,,,,,,,,,,,,,,,,
19,"A cumulative binomial probability involves:","Finding P(X ≥ k) or P(X ≤ k) by summing multiple values","Finding the exact probability P(X = k)","Calculating only the mean","Finding the mode of the distribution",20,1,,,,,,,,,,,,,,,,,,
20,"To find P(X ≥ 16), you would calculate:","P(X=16) + P(X=17) + P(X=18) + ... up to n","P(X=16) only","P(X=0) + P(X=1) + ... + P(X=15)","1 - P(X=16)",20,1,,,,,,,,,,,,,,,,,,
21,"To find P(X ≥ 16) using binomcdf, you would calculate:","1 - binomcdf(n, p, 15)","binomcdf(n, p, 16)","binomcdf(n, p, 15)","1 - binomcdf(n, p, 16)",20,1,,,,,,,,,,,,,,,,,,
22,"On the AP exam, writing only 'binompdf(6, 0.53, 5)' will:","NOT earn credit - you must show the distribution and parameters","Earn full credit for the calculation","Earn partial credit","Be accepted as complete work",20,1,,,,,,,,,,,,,,,,,,
23,"When solving binomial problems on the AP exam, you must:","Define the variable, identify distribution, show formula setup","Only write the calculator command","Only state the final numerical answer","Draw a histogram of the distribution",20,1,,,,,,,,,,,,,,,,,,
24,"What is the formula for the mean of a binomial distribution?","μ = np","μ = n + p","μ = n/p","μ = p/n",20,1,,,,,,,,,,,,,,,,,,
25,"If n = 40 and p = 0.21, the mean number of successes is:","8.4","40.21","19.05","0.84",20,1,,,,,,,,,,,,,,,,,,
26,"The mean of a binomial distribution μ = np represents:","The expected (average) number of successes in n trials","The probability of success","The most likely single outcome","The standard deviation",20,1,,,,,,,,,,,,,,,,,,
27,"If 21% of phone owners have cracked screens and you sample 40 people, μ = 40(0.21) = 8.4 means:","On average, 8.4 of 40 sampled people will have cracked screens","Exactly 8.4 people will have cracked screens every time","The probability of a cracked screen is 8.4%","8.4 is the standard deviation",20,1,,,,,,,,,,,,,,,,,,
28,"What is the formula for the standard deviation of a binomial distribution?","σ = √[np(1-p)]","σ = np(1-p)","σ = √(np)","σ = n√p",20,1,,,,,,,,,,,,,,,,,,
29,"If n = 40, p = 0.21, then σ = √[40(0.21)(0.79)] equals approximately:","2.58","6.64","8.4","0.17",20,1,,,,,,,,,,,,,,,,,,
30,"The standard deviation of a binomial distribution measures:","How much the number of successes typically varies from the mean","The average number of successes","The probability of success","The total number of trials",20,1,,,,,,,,,,,,,,,,,,
31,"If μ = 8.4 and σ = 2.58 for cracked screens, this means:","The number of cracked screens typically varies by about 2.58 from 8.4","Exactly 2.58 screens will be cracked","The probability is 2.58%","8.4 ± 2.58 is always the exact count",20,1,,,,,,,,,,,,,,,,,,
32,"A team has supplies for 25 repairs. If μ = 22.5 and σ = 4.37, is running out surprising?","No - one σ above mean (26.87) exceeds 25 supplies","Yes - the mean is below 25","Yes - the standard deviation is small","Cannot determine without more information",20,1,,,,,,,,,,,,,,,,,,
33,"If μ = 22.5, what is one standard deviation above the mean when σ = 4.37?","26.87","18.13","22.5","4.37",20,1,,,,,,,,,,,,,,,,,,
