"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does the chi-square statistic measure?","How far counts miss the model relative to observed counts","How far counts miss the model relative to category order","How far counts miss the model relative to expected counts","How far counts miss the model relative to sample means",20,3,,,,,,,,,,,,,,,,,,
2,"Why does adding Obs - Exp across categories give zero when totals match?","Extra count in one category must offset a shortfall elsewhere","Each category is sampled from a different random process","Every expected count is forced to be exactly the same","The chi-square formula subtracts the average difference",20,1,,,,,,,,,,,,,,,,,,
3,"Why are the differences squared in the chi-square statistic?","To convert each count into a percentage for the table","To make the sample size stop affecting the result","To force all categories to have the same probability","To keep negative and positive gaps from canceling",20,4,,,,,,,,,,,,,,,,,,
4,"Why is each squared difference divided by its expected count?","To convert every category into the same observed count","To judge each gap against the expected scale","To remove the need for a hypothesized model","To guarantee a larger value for smaller samples",20,2,,,,,,,,,,,,,,,,,,
5,"In chi-square work what is a contribution?","A category term that is added into the final chi-square","A category mean that is centered by the overall mean","A category rate that is multiplied by the sample size","A category graph that is compared with the null curve",20,1,,,,,,,,,,,,,,,,,,
6,"What does a small chi-square statistic usually suggest?","The sample mean is far above the model center","The categories were measured on a numeric scale","The counts fit the model fairly closely overall","The sample size was too large to trust the test",20,3,,,,,,,,,,,,,,,,,,
7,"Which value can a chi-square statistic never take?","A value very close to zero","A value less than zero","A value written as a decimal","A value written as a whole number",20,2,,,,,,,,,,,,,,,,,,
8,"For one categorical variable what determines the degrees of freedom?","The sample size minus one","The number of groups minus one","The largest expected count minus one","The number of categories minus one",20,4,,,,,,,,,,,,,,,,,,
9,"Which change makes a chi-square distribution less right-skewed?","Using more degrees of freedom in the curve","Using fewer categories in the table","Using smaller expected counts in each category","Using a smaller sample from the same population",20,1,,,,,,,,,,,,,,,,,,
10,"How does a chi-square distribution differ from a normal distribution?","It is symmetric around zero in every setting","It includes only nonnegative values","It is determined by the sample mean alone","It always peaks at the same horizontal value",20,2,,,,,,,,,,,,,,,,,,
11,"When is a chi-square goodness-of-fit test appropriate?","One sample gives means for one quantitative variable","Two samples give counts for one categorical variable","One sample gives slopes from one regression model","One sample gives counts for one categorical variable",20,4,,,,,,,,,,,,,,,,,,
12,"Why is this procedure called goodness of fit?","It checks whether a mean fits a target value","It checks whether two groups fit one average","It checks whether counts fit a claimed distribution","It checks whether a line fits points on a graph",20,3,,,,,,,,,,,,,,,,,,
13,"What should the null hypothesis say for a goodness-of-fit test?","The category proportions equal specified values","At least one category proportion differs from the claim","Each observed count must equal its expected count","The sample proportions should be close to one another",20,1,,,,,,,,,,,,,,,,,,
14,"If you write the null hypothesis with symbols what must you also do?","Report the p-value for each category","Define what each parameter or subscript represents","Replace every proportion with a sample count","State that each observed count is exact",20,2,,,,,,,,,,,,,,,,,,
15,"Which wording best matches the alternative hypothesis?","All category proportions are larger than claimed","Each sample proportion is smaller than expected","Every observed count differs from the null model","At least one population proportion is not as specified",20,4,,,,,,,,,,,,,,,,,,
16,"Which statement is a common error for the alternative hypothesis?","The distribution is not the same as claimed","At least one proportion is not as specified","Each proportion is different from its null value","The category pattern does not fit the model",20,3,,,,,,,,,,,,,,,,,,
17,"Why should the alternative hypothesis avoid using > or < signs?","The test looks for any mismatch in the whole distribution","The test compares sample means instead of proportions","The test requires all expected counts to be equal","The test assumes categories can be ranked in order",20,1,,,,,,,,,,,,,,,,,,
18,"Why should you not use p-hat in the hypotheses?","Hypotheses are written only after the p-value is found","Hypotheses describe parameters rather than sample statistics","Hypotheses require counts rather than any proportions","Hypotheses only apply when samples are dependent",20,2,,,,,,,,,,,,,,,,,,
19,"If one category proportion differs from the null model what else must be true?","The sample size must exceed the expected count","The chi-square value must exceed the degrees of freedom","The observed counts must all become unequal","At least one other category must also differ",20,4,,,,,,,,,,,,,,,,,,
20,"Before checking whether expected counts exceed 5 what do you need first?","The null proportions for the categories","The final p-value from the test statistic","The graph of the simulated chi-square curve","The sample proportions for the categories",20,1,,,,,,,,,,,,,,,,,,
21,"What is the correct way to find an expected count?","Use the observed count times the number of groups","Use the sample proportion times the category count","Use the null proportion times the sample size","Use the category mean times the sample size",20,3,,,,,,,,,,,,,,,,,,
22,"If the null model says all categories are equally likely then expected counts will be","Matched to the observed table exactly","Equal across all the categories","Larger for categories with longer labels","Different unless the sample is very large",20,2,,,,,,,,,,,,,,,,,,
23,"Which condition supports independence when sampling without replacement?","Every observed count is greater than five","The chi-square curve is close to symmetric","The null proportions add up to one","The sample is no more than 10 percent of the population",20,4,,,,,,,,,,,,,,,,,,
24,"Which condition is part of the large counts check?","All expected counts are greater than five","All observed counts are greater than five","At least one expected count equals five","Each sample proportion is less than one half",20,1,,,,,,,,,,,,,,,,,,
25,"Which situation would not call for a goodness-of-fit test?","One sample counts placements across four sections","One sample counts choices for one survey item","Two groups compare their category distributions","One sample counts colors from repeated trials",20,3,,,,,,,,,,,,,,,,,,
26,"Why is sample size not used to set chi-square degrees of freedom?","Degrees of freedom come from the random seed used","Degrees of freedom come from the number of categories","Degrees of freedom come from the largest expected count","Degrees of freedom come from the final chi-square value",20,2,,,,,,,,,,,,,,,,,,
27,"What usually happens as degrees of freedom increase?","The curve gets more skewed and stays near zero","The curve turns symmetric and allows negatives","The curve gets flatter and ignores the categories","The curve gets less skewed and shifts farther right",20,4,,,,,,,,,,,,,,,,,,
28,"What must be true about the data type for this procedure?","The response is categorical and recorded as counts","The response is quantitative and roughly normal","The response is paired and recorded as differences","The response is continuous and recorded as means",20,1,,,,,,,,,,,,,,,,,,
29,"What does a large chi-square statistic usually suggest?","The observed counts follow the model very closely","The sample proportions are all exactly equal","The observed counts are far from the expected pattern","The categories came from a quantitative variable",20,3,,,,,,,,,,,,,,,,,,
30,"What should you identify before naming a chi-square goodness-of-fit test?","Whether the response mean differs from a target","Whether one sample gives counts for one categorical variable","Whether the line slope is greater than zero","Whether the sample deviation is unusually small",20,2,,,,,,,,,,,,,,,,,,
31,"Which condition checks how the data were collected?","The categories must add up to one","The expected counts must be greater than five","The chi-square curve should look symmetric","The data come from a random sample or randomized experiment",20,4,,,,,,,,,,,,,,,,,,
32,"Why is this procedure called a test instead of just a description?","It asks for a decision about evidence against a model","It replaces expected counts with observed percentages","It sets sample size equal to the degrees of freedom","It compares every category with a separate population",20,1,,,,,,,,,,,,,,,,,,
